"Recorded Crime Offences (Number) by Garda Division, Type of Offence and"
"Quarter"

" "," ","2015Q1","2015Q2","2015Q3","2015Q4"
"1 ,Northern Region"
" ","113 ,Offensive weapons offences (n.e.c.)",13,7,12,11
" ","114 ,Fireworks offences",0,0,0,0
" ","12 ,Damage to property and to the environment",100,113,122,99
" ","1211 ,Arson",6,11,8,5
" ","1212 ,Criminal damage (not arson)",91,101,113,93
" ","1221 ,Litter offences",3,1,1,1
" ","13 ,Public order and other social code offences",117,169,193,210
" ","131 ,Disorderly conduct",93,135,145,160
" ","132 ,Trespass offences",10,19,20,14
" ","133 ,Liquor licensing offences",13,15,28,31
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",0,0,0,3
" ","136 ,Social code offences (n.e.c.)",1,0,0,2
" ","15 ,Offences against government, justice procedures and organisation of crime",62,78,61,84
" ","151 ,Offences against government and its agents",4,2,0,0
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",1,1,0,1
" ","157 ,Offences while in custody, breach of court orders",57,75,61,83
"22 ,Mayo Garda Division"
" ","01 ,Homicide offences",1,0,0,1
" ","0111 ,Murder",0,0,0,1
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,0,0,0
" ","02 ,Sexual offences",17,11,19,16
" ","021 ,Rape and sexual assault",13,10,18,12
" ","022 ,Other sexual offences",4,1,1,4
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",100,94,103,85
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",3,4,2,1
" ","033 ,Harassment and related offences",16,10,10,11
" ","034 ,Assault causing harm, poisoning",11,15,20,13
" ","035 ,Other assault",70,65,71,60
" ","04 ,Dangerous or negligent acts",46,52,43,50
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",39,46,42,50
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",1,0,0,0
" ","0421 ,Endangerment with potential for serious harm/death",0,2,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",6,0,0,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,4,1,0
" ","05 ,Kidnapping and related offences",5,0,3,0
" ","0511 ,False imprisonment",5,0,2,0
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,1,0
" ","06 ,Robbery, extortion and hijacking offences",1,1,5,3
" ","0611 ,Robbery of an establishment or institution",0,0,1,2
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",0,1,3,1
" ","0621 ,Blackmail or extortion",0,0,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",1,0,1,0
" ","07 ,Burglary and related offences",73,90,73,72
" ","0711 ,Aggravated burglary",2,0,1,0
" ","0712 ,Burglary (not aggravated)",71,90,72,72
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",0,0,0,0
" ","08 ,Theft and related offences",199,235,219,199
" ","081 ,Theft/taking of vehicle and related offences",16,18,10,16
" ","0821 ,Theft from person",2,4,3,2
" ","0822 ,Theft from shop",52,75,74,79
" ","084 ,Other thefts, handling stolen property",129,138,132,102
" ","09 ,Fraud, deception and related offences",17,24,26,15
" ","10 ,Controlled drug offences",30,31,33,38
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",5,1,2,4
" ","1021 ,Possession of drugs for sale or supply",2,3,9,5
" ","1022 ,Possession of drugs for personal use",23,26,22,29
" ","103 ,Other drug offences",0,1,0,0
" ","11 ,Weapons and Explosives Offences",8,3,4,16
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",0,0,1,0
" ","1122 ,Possession of a firearm",1,0,1,0
" ","113 ,Offensive weapons offences (n.e.c.)",7,3,2,5
" ","114 ,Fireworks offences",0,0,0,11
" ","12 ,Damage to property and to the environment",97,122,146,87
" ","1211 ,Arson",5,5,8,5
" ","1212 ,Criminal damage (not arson)",89,114,138,82
" ","1221 ,Litter offences",3,3,0,0
" ","13 ,Public order and other social code offences",177,190,234,236
" ","131 ,Disorderly conduct",165,165,203,216
" ","132 ,Trespass offences",8,9,9,11
" ","133 ,Liquor licensing offences",4,9,17,7
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",0,3,3,2
" ","136 ,Social code offences (n.e.c.)",0,4,2,0
" ","15 ,Offences against government, justice procedures and organisation of crime",14,15,11,28
" ","151 ,Offences against government and its agents",1,0,0,0
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,1,0,0
" ","157 ,Offences while in custody, breach of court orders",13,14,11,28
"23 ,Galway Garda Division"
" ","01 ,Homicide offences",1,1,0,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,1,0,0
" ","02 ,Sexual offences",26,20,24,28
" ","021 ,Rape and sexual assault",26,20,23,25
" ","022 ,Other sexual offences",0,0,1,3
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",196,183,197,210
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",4,0,2,7
" ","033 ,Harassment and related offences",23,16,18,17
" ","034 ,Assault causing harm, poisoning",35,43,37,39
" ","035 ,Other assault",134,124,140,147
" ","04 ,Dangerous or negligent acts",126,126,109,120
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",118,116,105,116
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",2,4,2,3
" ","0421 ,Endangerment with potential for serious harm/death",1,2,1,0
" ","0422 ,Abandoning a child, child neglect and cruelty",5,2,0,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,2,1,1
" ","05 ,Kidnapping and related offences",2,2,0,1
" ","0511 ,False imprisonment",1,2,0,1
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",1,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",10,6,11,10
" ","0611 ,Robbery of an establishment or institution",3,3,3,4
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",5,3,7,6
" ","0621 ,Blackmail or extortion",1,0,1,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",1,0,0,0
" ","07 ,Burglary and related offences",215,214,282,180
" ","0711 ,Aggravated burglary",6,1,2,2
" ","0712 ,Burglary (not aggravated)",207,211,279,175
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",2,2,1,3
" ","08 ,Theft and related offences",612,587,629,521
" ","081 ,Theft/taking of vehicle and related offences",31,18,34,23
" ","0821 ,Theft from person",34,34,52,30
" ","0822 ,Theft from shop",198,219,172,182
" ","084 ,Other thefts, handling stolen property",349,316,371,286
" ","09 ,Fraud, deception and related offences",121,87,63,65
" ","10 ,Controlled drug offences",150,136,157,134
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",3,7,4,4
" ","1021 ,Possession of drugs for sale or supply",44,27,35,17
" ","1022 ,Possession of drugs for personal use",97,87,111,109
" ","103 ,Other drug offences",6,15,7,4
" ","11 ,Weapons and Explosives Offences",14,8,12,21
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",0,1,0,2
" ","1122 ,Possession of a firearm",1,0,1,0
" ","113 ,Offensive weapons offences (n.e.c.)",13,7,10,15
" ","114 ,Fireworks offences",0,0,1,4
" ","12 ,Damage to property and to the environment",170,212,248,199
" ","1211 ,Arson",7,14,8,19
" ","1212 ,Criminal damage (not arson)",158,198,240,177
" ","1221 ,Litter offences",5,0,0,3
" ","13 ,Public order and other social code offences",490,416,455,517
" ","131 ,Disorderly conduct",428,356,376,444
" ","132 ,Trespass offences",23,20,30,19
" ","133 ,Liquor licensing offences",32,26,30,30
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",2,3,10,7
" ","136 ,Social code offences (n.e.c.)",5,11,9,17
" ","15 ,Offences against government, justice procedures and organisation of crime",74,86,78,97
" ","151 ,Offences against government and its agents",1,5,2,1
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",1,1,0,0
" ","157 ,Offences while in custody, breach of court orders",72,80,76,96
"24 ,Roscommon/Longford  Garda Division"
" ","01 ,Homicide offences",0,0,0,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",15,23,10,6
" ","021 ,Rape and sexual assault",13,20,9,6
" ","022 ,Other sexual offences",2,3,1,0
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",80,113,107,110
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",2,4,1,0
" ","033 ,Harassment and related offences",14,13,8,9
" ","034 ,Assault causing harm, poisoning",10,14,20,20
" ","035 ,Other assault",54,82,78,81
" ","04 ,Dangerous or negligent acts",40,45,37,39
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",33,43,34,36
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",2,1,0,1
" ","0421 ,Endangerment with potential for serious harm/death",0,0,1,0
" ","0422 ,Abandoning a child, child neglect and cruelty",3,1,0,1
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",2,0,2,1
" ","05 ,Kidnapping and related offences",1,1,0,2
" ","0511 ,False imprisonment",1,1,0,2
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",5,3,6,6
" ","0611 ,Robbery of an establishment or institution",3,2,2,2
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",2,1,4,4
" ","0621 ,Blackmail or extortion",0,0,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,0
" ","07 ,Burglary and related offences",107,122,87,62
" ","0711 ,Aggravated burglary",2,0,3,2
" ","0712 ,Burglary (not aggravated)",105,122,84,60
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",0,0,0,0
" ","08 ,Theft and related offences",175,218,209,195
" ","081 ,Theft/taking of vehicle and related offences",14,18,8,14
" ","0821 ,Theft from person",3,2,3,5
" ","0822 ,Theft from shop",52,62,65,81
" ","084 ,Other thefts, handling stolen property",106,136,133,95
" ","09 ,Fraud, deception and related offences",17,20,19,17
" ","10 ,Controlled drug offences",31,50,58,60
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",1,4,3,0
" ","1021 ,Possession of drugs for sale or supply",6,7,9,10
" ","1022 ,Possession of drugs for personal use",23,39,44,48
" ","103 ,Other drug offences",1,0,2,2
" ","11 ,Weapons and Explosives Offences",10,9,15,8
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",1,1,0,0
" ","1122 ,Possession of a firearm",2,1,2,0
" ","113 ,Offensive weapons offences (n.e.c.)",7,7,13,8
" ","114 ,Fireworks offences",0,0,0,0
" ","12 ,Damage to property and to the environment",95,96,114,82
" ","1211 ,Arson",6,5,9,5
" ","1212 ,Criminal damage (not arson)",87,89,103,77
" ","1221 ,Litter offences",2,2,2,0
" ","13 ,Public order and other social code offences",100,102,111,95
" ","131 ,Disorderly conduct",82,88,93,82
" ","132 ,Trespass offences",9,8,12,9
" ","133 ,Liquor licensing offences",7,4,4,3
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",0,0,2,1
" ","136 ,Social code offences (n.e.c.)",2,2,0,0
" ","15 ,Offences against government, justice procedures and organisation of crime",23,32,19,34
" ","151 ,Offences against government and its agents",2,2,1,0
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,0,1
" ","157 ,Offences while in custody, breach of court orders",21,30,18,33
"3 ,Southern Region"
" ","01 ,Homicide offences",1,5,5,1
" ","0111 ,Murder",0,4,1,1
" ","0112 ,Manslaughter",0,0,1,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,1,3,0
" ","02 ,Sexual offences",120,93,100,112
" ","021 ,Rape and sexual assault",110,82,86,99
" ","022 ,Other sexual offences",10,11,14,13
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",763,828,765,813
" ","0311 ,Murder-attempt",0,0,1,0
" ","0312 ,Murder-threat",20,19,17,21
" ","033 ,Harassment and related offences",88,66,69,58
" ","034 ,Assault causing harm, poisoning",160,149,158,179
" ","035 ,Other assault",495,594,520,555
" ","04 ,Dangerous or negligent acts",362,392,406,384
" ","0411 ,Dangerous driving causing serious bodily harm",1,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",324,352,373,347
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",16,13,13,8
" ","0421 ,Endangerment with potential for serious harm/death",9,5,4,2
" ","0422 ,Abandoning a child, child neglect and cruelty",2,9,11,8
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",10,13,5,19
" ","05 ,Kidnapping and related offences",3,4,2,9
" ","0511 ,False imprisonment",3,2,2,4
" ","0512 ,Abduction of person under 16 years of age",0,1,0,3
" ","0513 ,Human trafficking offences",0,1,0,2
" ","06 ,Robbery, extortion and hijacking offences",60,46,49,77
" ","0611 ,Robbery of an establishment or institution",9,18,13,26
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",46,23,32,47
" ","0621 ,Blackmail or extortion",4,3,2,4
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",1,2,2,0
" ","07 ,Burglary and related offences",790,807,759,633
" ","0711 ,Aggravated burglary",8,8,4,3
" ","0712 ,Burglary (not aggravated)",762,786,743,616
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",20,13,12,14
" ","08 ,Theft and related offences",2742,2699,2537,2482
" ","081 ,Theft/taking of vehicle and related offences",281,221,208,211
" ","0821 ,Theft from person",70,58,51,62
" ","0822 ,Theft from shop",971,1045,987,1042
" ","084 ,Other thefts, handling stolen property",1420,1375,1291,1167
" ","09 ,Fraud, deception and related offences",252,222,202,219
" ","10 ,Controlled drug offences",615,695,800,622
" ","1011 ,Importation of drugs",0,0,0,1
" ","1012 ,Cultivation or manufacture of drugs",14,11,9,6
" ","1021 ,Possession of drugs for sale or supply",136,133,138,125
" ","1022 ,Possession of drugs for personal use",452,532,631,475
" ","103 ,Other drug offences",13,19,22,15
" ","11 ,Weapons and Explosives Offences",94,100,81,77
" ","111 ,Explosives, chemical weapons offences",4,0,0,0
" ","1121 ,Discharging a firearm",6,7,4,5
" ","1122 ,Possession of a firearm",6,14,6,10
" ","113 ,Offensive weapons offences (n.e.c.)",77,77,70,56
" ","114 ,Fireworks offences",1,2,1,6
" ","12 ,Damage to property and to the environment",1157,1106,1012,1019
" ","1211 ,Arson",76,93,68,58
" ","1212 ,Criminal damage (not arson)",1066,1006,939,957
" ","1221 ,Litter offences",15,7,5,4
" ","13 ,Public order and other social code offences",1682,1854,1988,1837
" ","131 ,Disorderly conduct",1479,1505,1593,1482
" ","132 ,Trespass offences",75,125,84,78
" ","133 ,Liquor licensing offences",63,88,88,78
" ","134 ,Prostitution offences",4,1,2,1
" ","135 ,Regulated betting/money, collection/trading offences",8,5,11,11
" ","136 ,Social code offences (n.e.c.)",53,130,210,187
" ","15 ,Offences against government, justice procedures and organisation of crime",428,558,625,674
" ","151 ,Offences against government and its agents",32,40,30,24
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,1
" ","153 ,Perverting the course of justice",6,5,3,0
" ","157 ,Offences while in custody, breach of court orders",390,513,592,649
"31 ,Cork City Garda Division"
" ","01 ,Homicide offences",0,1,1,1
" ","0111 ,Murder",0,1,0,1
" ","0112 ,Manslaughter",0,0,1,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",30,25,26,34
" ","021 ,Rape and sexual assault",29,22,20,29
" ","022 ,Other sexual offences",1,3,6,5
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",293,285,253,268
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",8,3,1,1
" ","033 ,Harassment and related offences",23,23,21,16
" ","034 ,Assault causing harm, poisoning",61,42,47,67
" ","035 ,Other assault",201,217,184,184
" ","04 ,Dangerous or negligent acts",81,81,111,79
" ","0411 ,Dangerous driving causing serious bodily harm",1,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",75,75,102,74
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",1,3,4,0
" ","0421 ,Endangerment with potential for serious harm/death",0,1,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",1,2,3,4
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",3,0,2,1
" ","05 ,Kidnapping and related offences",1,2,0,3
" ","0511 ,False imprisonment",1,1,0,1
" ","0512 ,Abduction of person under 16 years of age",0,1,0,1
" ","0513 ,Human trafficking offences",0,0,0,1
" ","06 ,Robbery, extortion and hijacking offences",30,26,22,40
" ","0611 ,Robbery of an establishment or institution",5,14,7,15
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",24,10,12,24
" ","0621 ,Blackmail or extortion",0,0,1,1
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",1,2,2,0
" ","07 ,Burglary and related offences",273,236,181,172
" ","0711 ,Aggravated burglary",3,1,1,2
" ","0712 ,Burglary (not aggravated)",264,228,178,166
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",6,7,2,4
" ","08 ,Theft and related offences",958,1055,894,891
" ","081 ,Theft/taking of vehicle and related offences",67,64,67,62
" ","0821 ,Theft from person",31,27,11,28
" ","0822 ,Theft from shop",379,505,412,407
" ","084 ,Other thefts, handling stolen property",481,459,404,394
" ","09 ,Fraud, deception and related offences",67,57,62,70
" ","10 ,Controlled drug offences",262,290,204,240
" ","1011 ,Importation of drugs",0,0,0,1
" ","1012 ,Cultivation or manufacture of drugs",2,1,0,2
" ","1021 ,Possession of drugs for sale or supply",62,43,38,54
" ","1022 ,Possession of drugs for personal use",192,241,163,179
" ","103 ,Other drug offences",6,5,3,4
" ","11 ,Weapons and Explosives Offences",30,32,26,25
" ","111 ,Explosives, chemical weapons offences",2,0,0,0
" ","1121 ,Discharging a firearm",0,0,2,1
" ","1122 ,Possession of a firearm",0,1,3,5
" ","113 ,Offensive weapons offences (n.e.c.)",28,31,21,19
" ","114 ,Fireworks offences",0,0,0,0
" ","12 ,Damage to property and to the environment",413,357,325,382
" ","1211 ,Arson",23,36,33,22
" ","1212 ,Criminal damage (not arson)",389,318,291,360
" ","1221 ,Litter offences",1,3,1,0
" ","13 ,Public order and other social code offences",566,634,616,673
" ","131 ,Disorderly conduct",501,516,486,507
" ","132 ,Trespass offences",19,49,20,22
" ","133 ,Liquor licensing offences",13,14,15,6
" ","134 ,Prostitution offences",1,1,0,1
" ","135 ,Regulated betting/money, collection/trading offences",6,3,6,7
" ","136 ,Social code offences (n.e.c.)",26,51,89,130
" ","15 ,Offences against government, justice procedures and organisation of crime",111,142,130,154
" ","151 ,Offences against government and its agents",4,3,7,1
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",4,3,1,0
" ","157 ,Offences while in custody, breach of court orders",103,136,122,153
"32 ,Cork North Garda Division"
" ","01 ,Homicide offences",0,1,1,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,1,1,0
" ","02 ,Sexual offences",25,20,18,16
" ","021 ,Rape and sexual assault",25,15,15,13
" ","022 ,Other sexual offences",0,5,3,3
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",103,121,99,98
" ","0311 ,Murder-attempt",0,0,1,0
" ","0312 ,Murder-threat",2,5,4,1
" ","033 ,Harassment and related offences",13,13,8,11
" ","034 ,Assault causing harm, poisoning",19,24,17,20
" ","035 ,Other assault",69,79,69,66
" ","04 ,Dangerous or negligent acts",75,68,69,63
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",72,60,65,60
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",2,2,1,1
" ","0421 ,Endangerment with potential for serious harm/death",0,0,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",0,5,2,2
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",1,1,1,0
" ","05 ,Kidnapping and related offences",1,0,0,1
" ","0511 ,False imprisonment",1,0,0,0
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,1
" ","06 ,Robbery, extortion and hijacking offences",2,2,1,5
" ","0611 ,Robbery of an establishment or institution",0,0,0,3
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",2,0,1,0
" ","0621 ,Blackmail or extortion",0,2,0,2
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,0
" ","07 ,Burglary and related offences",125,114,123,90
" ","0711 ,Aggravated burglary",1,3,1,1
" ","0712 ,Burglary (not aggravated)",123,108,121,87
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",1,3,1,2
" ","08 ,Theft and related offences",311,260,258,198
" ","081 ,Theft/taking of vehicle and related offences",23,15,19,17
" ","0821 ,Theft from person",5,2,3,1
" ","0822 ,Theft from shop",107,93,75,85
" ","084 ,Other thefts, handling stolen property",176,150,161,95
" ","09 ,Fraud, deception and related offences",27,36,30,24
" ","10 ,Controlled drug offences",73,51,174,70
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",5,2,0,0
" ","1021 ,Possession of drugs for sale or supply",9,6,22,4
" ","1022 ,Possession of drugs for personal use",56,43,145,64
" ","103 ,Other drug offences",3,0,7,2
" ","11 ,Weapons and Explosives Offences",8,9,8,6
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",0,1,0,1
" ","1122 ,Possession of a firearm",0,0,0,1
" ","113 ,Offensive weapons offences (n.e.c.)",8,8,8,4
" ","114 ,Fireworks offences",0,0,0,0
" ","12 ,Damage to property and to the environment",126,133,110,91
" ","1211 ,Arson",12,9,9,1
" ","1212 ,Criminal damage (not arson)",113,124,99,90
" ","1221 ,Litter offences",1,0,2,0
" ","13 ,Public order and other social code offences",205,228,249,204
" ","131 ,Disorderly conduct",180,207,233,192
" ","132 ,Trespass offences",14,9,12,3
" ","133 ,Liquor licensing offences",9,11,3,5
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",2,0,0,1
" ","136 ,Social code offences (n.e.c.)",0,1,1,3
" ","15 ,Offences against government, justice procedures and organisation of crime",30,28,36,32
" ","151 ,Offences against government and its agents",0,0,3,1
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,0,0
" ","157 ,Offences while in custody, breach of court orders",30,28,33,31
"33 ,Cork West Garda Division"
" ","01 ,Homicide offences",0,0,0,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",13,6,10,10
" ","021 ,Rape and sexual assault",12,5,8,8
" ","022 ,Other sexual offences",1,1,2,2
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",95,99,93,98
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",3,2,1,2
" ","033 ,Harassment and related offences",21,12,13,9
" ","034 ,Assault causing harm, poisoning",17,17,15,16
" ","035 ,Other assault",54,68,64,71
" ","04 ,Dangerous or negligent acts",52,55,53,50
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",46,53,48,49
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",1,2,1,0
" ","0421 ,Endangerment with potential for serious harm/death",5,0,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",0,0,4,1
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,0,0,0
" ","05 ,Kidnapping and related offences",0,0,0,1
" ","0511 ,False imprisonment",0,0,0,1
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",1,1,2,1
" ","0611 ,Robbery of an establishment or institution",0,0,0,0
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",1,0,1,1
" ","0621 ,Blackmail or extortion",0,1,1,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,0
" ","07 ,Burglary and related offences",36,48,67,31
" ","0711 ,Aggravated burglary",0,0,0,0
" ","0712 ,Burglary (not aggravated)",36,48,67,31
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",0,0,0,0
" ","08 ,Theft and related offences",154,150,166,107
" ","081 ,Theft/taking of vehicle and related offences",6,12,8,5
" ","0821 ,Theft from person",3,1,1,3
" ","0822 ,Theft from shop",43,27,45,35
" ","084 ,Other thefts, handling stolen property",102,110,112,64
" ","09 ,Fraud, deception and related offences",34,16,13,45
" ","10 ,Controlled drug offences",46,63,121,67
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",6,6,5,2
" ","1021 ,Possession of drugs for sale or supply",9,12,14,20
" ","1022 ,Possession of drugs for personal use",31,42,98,43
" ","103 ,Other drug offences",0,3,4,2
" ","11 ,Weapons and Explosives Offences",4,2,4,4
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",1,0,0,0
" ","1122 ,Possession of a firearm",0,0,1,1
" ","113 ,Offensive weapons offences (n.e.c.)",3,2,3,3
" ","114 ,Fireworks offences",0,0,0,0
" ","12 ,Damage to property and to the environment",80,78,89,57
" ","1211 ,Arson",5,7,2,4
" ","1212 ,Criminal damage (not arson)",71,69,87,52
" ","1221 ,Litter offences",4,2,0,1
