Location,Crime type,Longitude,Latitude
On or near Latharna Houses,Anti-social behaviour,-5.82395,54.850369
On or near Sandhurst Gardens,Anti-social behaviour,-5.933985,54.579044
On or near Meadowvale Avenue,Anti-social behaviour,-5.888472,54.513071
On or near ,Anti-social behaviour,-5.938276,54.615048
On or near Acton Street,Anti-social behaviour,-5.955893,54.606416
On or near St. Leonards Street,Anti-social behaviour,-5.899853,54.599976
On or near ,Anti-social behaviour,-5.930482,54.572173
On or near Ballyoran Park,Anti-social behaviour,-6.453803,54.433011
On or near Hancock Street,Anti-social behaviour,-6.036695,54.511059
On or near Quayside,Anti-social behaviour,-5.811475,54.711425
On or near Steeple Green,Anti-social behaviour,-6.206725,54.725942
On or near ,Anti-social behaviour,-7.319508,54.983215
On or near Shaftesbury Place,Anti-social behaviour,-5.813376,54.722223
On or near Ballynure Road,Anti-social behaviour,-5.99491,54.750808
On or near Magazine Street,Anti-social behaviour,-7.321935,54.996721
On or near Abbey Street,Anti-social behaviour,-5.67411,54.656813
On or near Mckeens Avenue,Anti-social behaviour,-5.801779,54.717961
On or near Horn Drive,Anti-social behaviour,-6.011287,54.569306
On or near Ballyheather Road,Anti-social behaviour,-7.380357,54.888215
On or near Meadowvale,Anti-social behaviour,-6.261242,54.857385
On or near Parkhead Crescent,Anti-social behaviour,-6.359395,54.183132
On or near Windermere Avenue,Anti-social behaviour,-5.793399,54.727369
On or near Moat Road,Anti-social behaviour,-6.268649,54.858255
On or near ,Anti-social behaviour,-5.936127,54.581956
On or near Botanic Avenue,Anti-social behaviour,-5.933314,54.588629
On or near Mountview Drive,Anti-social behaviour,-6.556201,55.127648
On or near Evish Grove,Anti-social behaviour,-7.45461,54.823589
On or near Banbridge Road,Anti-social behaviour,-6.155978,54.412694
On or near Iveagh View,Anti-social behaviour,-6.277619,54.353655
On or near Scarva Street,Anti-social behaviour,-6.270225,54.348805
On or near Laurel Drive,Anti-social behaviour,-7.470111,54.812492
On or near Gleann Si,Anti-social behaviour,-6.183228,54.105639
On or near Kintullagh Close,Anti-social behaviour,-6.283579,54.870092
On or near Sandy Row,Anti-social behaviour,-6.441213,54.422032
On or near Movilla Street,Anti-social behaviour,-5.691355,54.592672
On or near ,Anti-social behaviour,-6.657283,54.344579
On or near Leggagh Court,Anti-social behaviour,-5.975948,54.624579
On or near Boundary Walk,Anti-social behaviour,-5.941742,54.604038
On or near ,Anti-social behaviour,-5.671969,54.660114
On or near Hallidays Road,Anti-social behaviour,-5.935346,54.613597
On or near Irish Street,Anti-social behaviour,-6.657007,54.345483
On or near Heron Lodge,Anti-social behaviour,-5.666169,54.595019
On or near ,Anti-social behaviour,-6.349432,54.889773
On or near Drumadd Green,Anti-social behaviour,-6.640691,54.34548
On or near ,Anti-social behaviour,-6.649709,55.202597
On or near Gardrum Heights,Anti-social behaviour,-7.453113,54.516045
On or near Lower Rogan Manor,Anti-social behaviour,-5.990541,54.681283
On or near ,Anti-social behaviour,-6.437169,54.420596
On or near Rathmore,Anti-social behaviour,-6.74678,54.63761
On or near Mount Oriel,Anti-social behaviour,-5.90927,54.559059
On or near Bankmore Street,Anti-social behaviour,-5.930439,54.592551
On or near Ard-Na-Maine,Anti-social behaviour,-6.345439,54.887948
On or near Enniskeen,Anti-social behaviour,-6.378907,54.448138
On or near Longfield Gardens,Anti-social behaviour,-5.863767,54.694703
On or near Ardnaglass Gardens,Anti-social behaviour,-6.191306,54.71875
On or near Anderson Park,Anti-social behaviour,-6.93245,55.044194
On or near ,Anti-social behaviour,-5.956448,54.595949
On or near Oldpark Road,Anti-social behaviour,-5.947991,54.611494
On or near Westbury Crescent,Anti-social behaviour,-6.754013,54.638601
On or near Hallidays Road,Anti-social behaviour,-5.935346,54.613597
On or near ,Anti-social behaviour,-5.943632,54.616586
On or near Thornhill House,Anti-social behaviour,-6.020538,54.550077
On or near Railway Place,Anti-social behaviour,-6.663686,55.133707
On or near Broadway,Anti-social behaviour,-5.819368,54.851015
On or near Meadowvale Avenue,Anti-social behaviour,-5.888472,54.513071
On or near Casement Street,Anti-social behaviour,-6.273808,54.858867
On or near George Street,Anti-social behaviour,-6.279436,54.865694
On or near Drummond Park,Anti-social behaviour,-7.00989,55.042163
On or near Mandeville Manor,Anti-social behaviour,-6.401228,54.44229
On or near Rathmore,Anti-social behaviour,-6.74678,54.63761
On or near Rural Gardens,Anti-social behaviour,-5.963128,54.670079
On or near Sandy Row,Anti-social behaviour,-6.441213,54.422032
On or near Demesne Avenue,Anti-social behaviour,-5.660342,54.654481
On or near Mountview Drive,Anti-social behaviour,-6.556201,55.127648
On or near Abbey Heights,Anti-social behaviour,-6.329152,54.174117
On or near Lowtown Terrace,Anti-social behaviour,-6.356769,54.889872
On or near Ashdale,Anti-social behaviour,-6.307648,54.749531
On or near Railway Street,Anti-social behaviour,-5.888182,54.214732
On or near Old Mill Drive,Anti-social behaviour,-5.922651,54.653093
On or near The Blackthorns,Anti-social behaviour,-6.323418,54.176544
On or near Ramoan Court,Anti-social behaviour,-6.262561,55.197183
On or near Sussex Square,Anti-social behaviour,-6.187219,54.720953
On or near Lewis Park,Anti-social behaviour,-5.890323,54.599316
On or near Elizabeth Place,Anti-social behaviour,-5.793027,54.720785
On or near Old Fort Lodge,Anti-social behaviour,-6.366067,54.434929
On or near Hazelbank Road,Anti-social behaviour,-6.684321,55.127482
On or near High Street,Anti-social behaviour,-5.537567,54.642512
On or near ,Anti-social behaviour,-5.927979,54.584018
On or near Kennedy Way,Anti-social behaviour,-5.980273,54.577301
On or near Roseville Walk,Anti-social behaviour,-6.033149,54.51287
On or near Juniper Park,Anti-social behaviour,-6.024945,54.553887
On or near ,Anti-social behaviour,-6.614727,54.755081
On or near Westway Gardens,Anti-social behaviour,-5.985109,54.611551
On or near Beechgrove Crescent,Anti-social behaviour,-5.948743,54.689424
On or near ,Anti-social behaviour,-5.873379,54.48018
On or near Botanic Avenue,Anti-social behaviour,-5.932404,54.586753
On or near Earl Close,Anti-social behaviour,-5.928221,54.608794
On or near Ramoan Gardens,Anti-social behaviour,-6.261954,55.198136
On or near Forthill Green,Anti-social behaviour,-6.27512,54.344293
On or near Shankill Road,Anti-social behaviour,-5.947564,54.603984
On or near Abbot Park,Anti-social behaviour,-5.66555,54.592851
On or near Ashfield Gardens,Anti-social behaviour,-5.932232,54.6234
On or near Hancock Street,Anti-social behaviour,-6.036695,54.511059
On or near Market Square,Anti-social behaviour,-6.219285,54.714583
On or near Craigadick Park,Anti-social behaviour,-6.679951,54.844226
On or near ,Anti-social behaviour,-6.083267,54.509057
On or near ,Anti-social behaviour,-5.897228,54.403324
On or near Greenhill Road,Anti-social behaviour,-6.683737,55.140465
On or near ,Anti-social behaviour,-5.679668,54.668062
On or near Mandeville Street,Anti-social behaviour,-6.446787,54.421691
On or near Kingsway,Anti-social behaviour,-6.001091,54.55204
On or near ,Anti-social behaviour,-7.300973,54.597405
On or near Longfield Gardens,Anti-social behaviour,-5.863767,54.694703
On or near Victoria Gardens,Anti-social behaviour,-6.333302,54.469045
On or near Sunningdale Park,Anti-social behaviour,-5.660609,54.650658
On or near Windmill Avenue,Anti-social behaviour,-6.662207,54.34732
On or near Hollybush Gardens,Anti-social behaviour,-5.985073,54.753403
On or near ,Anti-social behaviour,-5.718667,54.327423
On or near Cypress Crescent,Anti-social behaviour,-5.539396,54.634552
On or near Moorlough Road,Anti-social behaviour,-7.401349,54.850305
On or near Forthill Green,Anti-social behaviour,-6.27512,54.344293
On or near Castlegrange Park,Anti-social behaviour,-7.481627,54.819297
On or near Steeple Road,Anti-social behaviour,-6.203278,54.727365
On or near Garrymore,Anti-social behaviour,-6.363081,54.436371
On or near The Birches,Anti-social behaviour,-5.820337,54.722394
On or near Cleary Crescent,Anti-social behaviour,-6.343179,54.171858
On or near Oak Avenue,Anti-social behaviour,-5.465492,54.49404
On or near Drumragh Avenue,Anti-social behaviour,-7.30162,54.602116
On or near Primity Crescent,Anti-social behaviour,-7.352045,54.955995
On or near Colinward Street,Anti-social behaviour,-5.962251,54.600908
On or near Trasna Road,Anti-social behaviour,-7.432793,54.344366
On or near Dublin Road,Anti-social behaviour,-5.933066,54.591086
On or near Broughshane Road,Anti-social behaviour,-6.266415,54.87257
On or near Bankmore Street,Anti-social behaviour,-5.930439,54.592551
On or near Malone Road,Anti-social behaviour,-5.954735,54.559135
On or near Brookvale,Anti-social behaviour,-6.190843,54.720432
On or near Mossfield Estate,Anti-social behaviour,-6.503142,54.239424
On or near Woodford Drive,Anti-social behaviour,-6.634847,54.331111
On or near Queens Park North,Anti-social behaviour,-5.830809,54.459431
On or near Hillfoot Crescent,Anti-social behaviour,-5.885091,54.400641
On or near Saintfield Road,Anti-social behaviour,-5.912762,54.565157
On or near ,Anti-social behaviour,-5.933651,54.595113
On or near Gransha Road,Anti-social behaviour,-5.806467,54.583079
On or near Lower Galliagh Road,Anti-social behaviour,-7.326428,55.039108
On or near Ballymullarty Road,Anti-social behaviour,-7.374645,54.753962
On or near Winchester Park,Anti-social behaviour,-7.279915,54.999632
On or near Irish Street,Anti-social behaviour,-7.297481,54.985174
On or near Talbot Street,Anti-social behaviour,-5.929051,54.602213
On or near Hawthorn Heights,Anti-social behaviour,-6.578839,55.195594
On or near Dundrod Walk,Anti-social behaviour,-6.061781,54.507609
On or near Torwood,Anti-social behaviour,-6.231114,54.48291
On or near Gransha Park,Anti-social behaviour,-7.276112,55.019883
On or near Cleary Crescent,Anti-social behaviour,-6.343179,54.171858
On or near Empire Drive,Anti-social behaviour,-5.951435,54.58979
On or near Eastvale Avenue,Anti-social behaviour,-6.75288,54.500984
On or near Manorwood,Anti-social behaviour,-7.286046,54.986993
On or near Burrendale Park Road,Anti-social behaviour,-5.891343,54.2222
On or near Limewood,Anti-social behaviour,-6.288648,54.348861
On or near Tievecrom Road,Anti-social behaviour,-6.419701,54.060594
On or near Lancaster Street,Anti-social behaviour,-5.93009,54.606436
On or near Winchester Park,Anti-social behaviour,-7.279915,54.999632
On or near Lisnafin Park,Anti-social behaviour,-7.473973,54.820549
On or near Woodland Walk,Anti-social behaviour,-6.943072,55.03825
On or near Cromwell Road,Anti-social behaviour,-5.928906,54.587376
On or near Rathmena Drive,Anti-social behaviour,-6.008284,54.754928
On or near Haywood Avenue,Anti-social behaviour,-5.923199,54.577314
On or near Barcroft Park,Anti-social behaviour,-6.349558,54.170113
On or near Severn Street,Anti-social behaviour,-5.894924,54.601031
On or near Meetinghouse Street,Anti-social behaviour,-7.460116,54.823704
On or near Pandora Street,Anti-social behaviour,-5.946411,54.588474
On or near Parklands,Anti-social behaviour,-6.219122,54.72467
On or near Broadlands,Anti-social behaviour,-5.789295,54.734024
On or near Roe Mill Gardens,Anti-social behaviour,-6.950236,55.04301
On or near Jacqueline Way,Anti-social behaviour,-7.335052,54.994404
On or near Cairo Street,Anti-social behaviour,-5.925803,54.584511
On or near Glen Park,Anti-social behaviour,-7.030304,54.929483
On or near Portadown Road,Anti-social behaviour,-6.415959,54.358129
On or near ,Anti-social behaviour,-5.934898,54.591881
On or near Scotch Street,Anti-social behaviour,-6.653563,54.347367
On or near Top Of The Hill,Anti-social behaviour,-7.309647,54.988046
On or near Ballydown Meadows,Anti-social behaviour,-6.245007,54.342897
On or near Strand Road,Anti-social behaviour,-7.321718,54.998507
On or near Old Grange Green,Anti-social behaviour,-5.797898,54.728844
On or near ,Anti-social behaviour,-5.985766,54.669039
On or near High Street,Anti-social behaviour,-5.663009,54.663374
On or near East Bridge Place,Anti-social behaviour,-7.635719,54.343883
On or near ,Anti-social behaviour,-7.627396,54.473399
On or near Chapel Hill,Anti-social behaviour,-6.049774,54.510731
On or near College Street,Anti-social behaviour,-5.932499,54.598004
On or near Broadlands,Anti-social behaviour,-5.791115,54.734237
On or near Central Avenue,Anti-social behaviour,-6.744976,54.645884
On or near Victoria Square,Anti-social behaviour,-5.923999,54.598389
On or near Market Square,Anti-social behaviour,-6.769193,54.504646
On or near Queen Street,Anti-social behaviour,-7.643902,54.347115
On or near Broughshane Road,Anti-social behaviour,-6.263768,54.87362
On or near ,Anti-social behaviour,-5.933559,54.594177
On or near Whitla Road,Anti-social behaviour,-6.039864,54.524201
On or near Dublin Street,Anti-social behaviour,-7.378949,54.717334
On or near Chancellors Road,Anti-social behaviour,-6.374833,54.186324
On or near Edward Street,Anti-social behaviour,-6.272573,54.860808
On or near Cullybackey Road,Anti-social behaviour,-6.366144,54.851934
On or near Gleannan Park,Anti-social behaviour,-7.264589,54.609092
On or near Leighinmohr Avenue,Anti-social behaviour,-6.288382,54.862245
On or near Gortamaddy Drive,Anti-social behaviour,-6.263685,55.205635
On or near ,Anti-social behaviour,-5.894703,54.204989
On or near Mulderg Drive,Anti-social behaviour,-5.929013,54.651396
On or near ,Anti-social behaviour,-7.632829,54.354098
On or near Fountain Court,Anti-social behaviour,-5.711553,54.327351
On or near Castle Road,Anti-social behaviour,-6.236228,54.721802
On or near Cluain Mor Drive,Anti-social behaviour,-5.964027,54.597263
On or near Brewsters Close,Anti-social behaviour,-7.326193,54.999053
On or near ,Anti-social behaviour,-6.068857,54.506204
On or near West Street,Anti-social behaviour,-6.455132,54.421447
On or near The Craig Road,Anti-social behaviour,-5.732414,54.365898
On or near Melmount Road,Anti-social behaviour,-7.472003,54.816525
On or near Skerry Court,Anti-social behaviour,-6.268945,54.869507
On or near Donaghadee Road,Anti-social behaviour,-5.65936,54.662944
On or near Ardmore Close,Anti-social behaviour,-6.463078,54.421549
On or near Ardmeen Green,Anti-social behaviour,-5.701797,54.326132
On or near ,Anti-social behaviour,-5.986845,54.559764
On or near Benview Estate,Anti-social behaviour,-7.359531,55.032846
On or near Queens Parade,Anti-social behaviour,-5.931588,54.609543
On or near Ashburn Green,Anti-social behaviour,-5.863628,54.606404
On or near Laurelbank,Anti-social behaviour,-6.02437,54.56129
On or near Knocksandel Drive,Anti-social behaviour,-6.661984,55.119926
On or near ,Anti-social behaviour,-5.67074,54.661277
On or near Dudley Street,Anti-social behaviour,-5.925779,54.586208
On or near Abbey Street,Anti-social behaviour,-6.657315,54.34926
On or near Ashfield Court,Anti-social behaviour,-5.933869,54.622269
On or near Creeve Walk,Anti-social behaviour,-5.98604,54.574845
On or near ,Anti-social behaviour,-7.33003,55.002308
On or near ,Anti-social behaviour,-6.276141,54.866618
On or near Hillsborough Old Road,Anti-social behaviour,-6.037964,54.506165
On or near Burren Walk,Anti-social behaviour,-5.951492,54.256988
On or near Umgola Road,Anti-social behaviour,-6.669376,54.340113
On or near Colinbrook Avenue,Anti-social behaviour,-6.027222,54.569154
On or near Yew Tree Walk,Anti-social behaviour,-6.007646,54.545032
On or near Old School Lane,Anti-social behaviour,-7.312509,55.030802
On or near Church View Way,Anti-social behaviour,-6.306068,54.380383
On or near ,Anti-social behaviour,-5.89451,54.590161
On or near Rowantree Road,Anti-social behaviour,-6.171268,54.404885
On or near Church Meadow,Anti-social behaviour,-7.288421,54.996646
On or near Fernlea Gardens,Anti-social behaviour,-6.005117,54.749197
On or near Main Street,Anti-social behaviour,-6.952435,55.05168
On or near Lisnasure Road,Anti-social behaviour,-6.235924,54.428156
On or near Brenda Street,Anti-social behaviour,-5.894063,54.590423
On or near Hesketh Park,Anti-social behaviour,-5.969834,54.618008
On or near Cathedral Close,Anti-social behaviour,-6.654925,54.348038
On or near Margaret Square,Anti-social behaviour,-6.52365,55.073833
On or near Melmount Villas,Anti-social behaviour,-7.470133,54.822697
On or near Rath Gullion,Anti-social behaviour,-6.390342,54.124662
On or near Clareville Avenue,Anti-social behaviour,-6.011682,54.752153
On or near ,Anti-social behaviour,-6.520778,55.062974
On or near Fort Green,Anti-social behaviour,-6.21346,54.728818
On or near ,Anti-social behaviour,-6.482003,54.84909
On or near Limewood,Anti-social behaviour,-6.2881,54.349464
On or near Scarffes Entry,Anti-social behaviour,-7.300818,54.600108
On or near John Street,Anti-social behaviour,-7.318785,54.992697
On or near Carnagat Park,Anti-social behaviour,-6.356495,54.182849
On or near Hawthorn Park,Anti-social behaviour,-6.008583,54.545478
On or near Clonard Gardens,Anti-social behaviour,-5.956365,54.598841
On or near St. Colmans Drive,Anti-social behaviour,-7.465869,54.820432
On or near Bank Road,Anti-social behaviour,-5.820399,54.846334
On or near Mourne View Park,Anti-social behaviour,-6.337665,54.182582
On or near Upritchard Crescent,Anti-social behaviour,-5.654435,54.644851
On or near Springbank Drive,Anti-social behaviour,-6.031299,54.567019
On or near ,Anti-social behaviour,-6.057624,54.504739
On or near Montgomery Drive,Anti-social behaviour,-6.035936,54.508522
On or near Patrician Park,Anti-social behaviour,-6.347405,54.154602
On or near Pine Way,Anti-social behaviour,-5.927678,54.589323
On or near Queens Parade,Anti-social behaviour,-5.93151,54.609874
On or near Meetinghouse Street,Anti-social behaviour,-7.460116,54.823704
On or near Ferndale,Anti-social behaviour,-7.476816,54.806395
On or near Churchill Park,Anti-social behaviour,-6.448424,54.431379
On or near Ballydown Meadows,Anti-social behaviour,-6.247173,54.342237
On or near Pegg'S Wood Lane,Anti-social behaviour,-5.811371,54.391033
On or near Kings Square,Anti-social behaviour,-5.84594,54.589054
On or near Craigavon Avenue,Anti-social behaviour,-6.450309,54.419813
On or near Glenvale Street,Anti-social behaviour,-5.961387,54.607048
On or near Mullaghboy Crescent,Anti-social behaviour,-6.616888,54.755951
On or near Cranfield Road,Anti-social behaviour,-6.365799,54.705938
On or near ,Anti-social behaviour,-5.893296,54.402204
On or near Beatrice Road,Anti-social behaviour,-5.661727,54.662756
On or near Eglinton Street,Anti-social behaviour,-6.652727,55.203933
On or near Thames Street,Anti-social behaviour,-5.959461,54.592648
On or near Dunluce Avenue,Anti-social behaviour,-6.6517,55.202727
On or near Hogstown Road,Anti-social behaviour,-5.579514,54.6351
On or near Tresna Park,Anti-social behaviour,-6.324046,54.757144
On or near Gibson Street,Anti-social behaviour,-5.9491,54.595906
On or near ,Anti-social behaviour,-5.913632,54.565379
On or near Shore Crescent,Anti-social behaviour,-5.921768,54.63881
On or near Casement Street,Anti-social behaviour,-6.273808,54.858867
On or near Cowan Street,Anti-social behaviour,-6.330092,54.178542
On or near ,Anti-social behaviour,-5.964899,54.603675
On or near Greenvale Grove,Anti-social behaviour,-6.208651,54.711856
On or near Cromwell Road,Anti-social behaviour,-5.928265,54.587203
On or near Tullymore Downs,Anti-social behaviour,-6.665689,54.34381
On or near Lower Galliagh Road,Anti-social behaviour,-7.326428,55.039108
On or near Canada Street,Anti-social behaviour,-5.906646,54.590641
On or near Heath Lodge Square,Anti-social behaviour,-5.985066,54.605845
On or near Rathlin Drive,Anti-social behaviour,-7.345115,54.99144
On or near Drumkill Gardens,Anti-social behaviour,-6.557364,54.953078
On or near Killysorrell Road,Anti-social behaviour,-6.196294,54.397552
On or near Casement Street,Anti-social behaviour,-6.273808,54.858867
On or near Landgarve Manor,Anti-social behaviour,-6.219398,54.616717
On or near Shannon Court,Anti-social behaviour,-5.94628,54.610117
On or near ,Anti-social behaviour,-5.879515,54.367531
On or near Clooney Mews,Anti-social behaviour,-7.309657,54.995654
On or near Winchester Park,Anti-social behaviour,-7.279915,54.999632
On or near Mullacreevie Park,Anti-social behaviour,-6.673192,54.344297
On or near Fergus Avenue,Anti-social behaviour,-5.812651,54.717826
On or near Croft Close,Anti-social behaviour,-5.713003,54.328915
On or near Shandon Park,Anti-social behaviour,-7.320682,54.597535
On or near St Patrick'S Avenue,Anti-social behaviour,-5.715557,54.328604
On or near Ballyoran Park,Anti-social behaviour,-6.455059,54.434429
On or near Richmond Road,Anti-social behaviour,-5.958649,54.682421
On or near ,Anti-social behaviour,-5.960298,54.672718
On or near Killowen Park,Anti-social behaviour,-6.065223,54.522328
On or near ,Anti-social behaviour,-5.945968,54.598197
On or near Old Coach Road,Anti-social behaviour,-6.71219,55.186529
On or near Drumnakilly Road,Anti-social behaviour,-7.094159,54.603058
On or near Charles Park,Anti-social behaviour,-6.459693,54.426753
On or near Church Street,Anti-social behaviour,-6.942928,55.05264
On or near Old Colin Road,Anti-social behaviour,-6.047476,54.561135
On or near Beechland Park,Anti-social behaviour,-6.508942,54.868792
On or near Grove Hill,Anti-social behaviour,-6.292945,54.348329
On or near Cullybackey Road,Anti-social behaviour,-6.366144,54.851934
On or near Rankinstown Road,Anti-social behaviour,-6.228916,54.84593
On or near Windsor Avenue,Anti-social behaviour,-6.329955,54.462224
On or near Churchill Gardens,Anti-social behaviour,-6.448531,54.430994
On or near Glenshane Road,Anti-social behaviour,-6.731863,54.849828
On or near Fenaghy Road,Anti-social behaviour,-6.321819,54.858929
On or near Willow Court,Anti-social behaviour,-6.008236,54.539911
On or near Queens Park North,Anti-social behaviour,-5.830758,54.458648
On or near Mayfield Gardens,Anti-social behaviour,-5.980843,54.666108
On or near Ivybank Park,Anti-social behaviour,-6.809019,54.532329
On or near Grosvenor Court,Anti-social behaviour,-5.948307,54.594149
On or near Shanroy Park,Anti-social behaviour,-6.939489,54.596088
On or near Roseville Avenue,Anti-social behaviour,-6.306859,54.746106
On or near Irvines Crescent,Anti-social behaviour,-7.612882,54.355652
On or near Hightown Drive,Anti-social behaviour,-5.963783,54.668761
On or near Newcastle Road,Anti-social behaviour,-5.942252,54.253928
On or near Hillview Court,Anti-social behaviour,-5.82941,54.730077
On or near Blackthorn Manor,Anti-social behaviour,-7.273156,55.000948
On or near Bath Terrace,Anti-social behaviour,-6.651711,55.20703
On or near Silverstream Drive,Anti-social behaviour,-5.968664,54.626254
On or near Drumlough Gardens,Anti-social behaviour,-6.076845,54.508703
On or near Flowerfield Road,Anti-social behaviour,-6.706992,55.171562
On or near Mount Eagles Avenue,Anti-social behaviour,-6.050946,54.555172
On or near Main Street,Anti-social behaviour,-6.319379,54.749811
On or near Castlegrange Park,Anti-social behaviour,-7.480587,54.8179
On or near Moat Road,Anti-social behaviour,-6.269966,54.859136
On or near Hill Street,Anti-social behaviour,-6.365434,54.378434
On or near Riverdale Park East,Anti-social behaviour,-5.989629,54.572928
On or near Market Square,Anti-social behaviour,-6.219285,54.714583
On or near Main Street,Anti-social behaviour,-6.213958,54.591767
On or near Fernlea Gardens,Anti-social behaviour,-6.005117,54.749197
On or near Bank Street,Anti-social behaviour,-5.931852,54.599458
On or near Tycanny Road,Anti-social behaviour,-7.139214,54.465364
On or near Model Avenue,Anti-social behaviour,-5.815749,54.713614
On or near Glengall Street,Anti-social behaviour,-5.93543,54.595116
On or near Strand Road,Anti-social behaviour,-7.319625,55.007676
On or near Woodford Park East,Anti-social behaviour,-5.938372,54.69055
On or near Carnbrae Avenue,Anti-social behaviour,-5.897643,54.552765
On or near Great Victoria Street,Anti-social behaviour,-5.934406,54.594568
On or near Mourne Crescent,Anti-social behaviour,-6.698551,54.538629
On or near Hillview Avenue,Anti-social behaviour,-5.83194,54.730392
On or near Whitten Close,Anti-social behaviour,-6.443889,54.426613
On or near ,Anti-social behaviour,-6.011774,54.575505
On or near Lakeview Park,Anti-social behaviour,-6.38284,54.448119
On or near Dromore Road,Anti-social behaviour,-7.332928,54.502415
On or near Whitehall Gardens,Anti-social behaviour,-5.9189,54.574868
On or near Craignageeragh Road,Anti-social behaviour,-6.407146,54.860106
On or near Oval Court,Anti-social behaviour,-5.893096,54.601062
On or near Hunter'S Mill,Anti-social behaviour,-5.714389,54.32195
On or near Bann Road,Anti-social behaviour,-6.521539,55.060602
On or near Tandragee Road,Anti-social behaviour,-6.439653,54.409155
On or near Rathmore Park,Anti-social behaviour,-5.707897,54.328674
On or near Balmoral Court,Anti-social behaviour,-5.649195,54.637121
On or near Lagmore Meadows,Anti-social behaviour,-6.037108,54.553618
On or near Casement Street,Anti-social behaviour,-6.273808,54.858867
On or near ,Anti-social behaviour,-6.340574,54.172289
On or near Orby Road,Anti-social behaviour,-5.889521,54.589103
On or near Mullenakill Park,Anti-social behaviour,-6.632251,54.491576
On or near Sharonmore Avenue,Anti-social behaviour,-5.9373,54.685689
On or near Drumnaconagher Road,Anti-social behaviour,-5.789981,54.368764
On or near Market Square,Anti-social behaviour,-6.221368,54.715206
On or near Seacash Drive,Anti-social behaviour,-6.207037,54.722057
On or near Church Street,Anti-social behaviour,-6.27385,54.86592
On or near Grove Hill,Anti-social behaviour,-6.293127,54.3495
On or near Drumart Crescent,Anti-social behaviour,-6.255424,54.544665
On or near ,Anti-social behaviour,-6.339956,54.17052
On or near M3,Anti-social behaviour,-5.907837,54.601812
On or near Mossfield Estate,Anti-social behaviour,-6.503142,54.239424
On or near William Street,Anti-social behaviour,-6.338106,54.466586
On or near Patrician Park,Anti-social behaviour,-6.348787,54.155636
On or near Church Way,Anti-social behaviour,-6.547056,54.372447
On or near Main Street,Anti-social behaviour,-7.46692,54.82686
On or near Chestnut Glen,Anti-social behaviour,-6.216453,54.590618
On or near Railway Place,Anti-social behaviour,-6.663686,55.133707
On or near ,Anti-social behaviour,-5.918371,54.577977
On or near Saul Street,Anti-social behaviour,-5.713986,54.329221
On or near Druids Villas,Anti-social behaviour,-6.660705,54.347618
On or near Movilla Road,Anti-social behaviour,-5.70601,54.328881
On or near Fairgreen Avenue,Anti-social behaviour,-6.703065,54.248723
On or near Grand Court,Anti-social behaviour,-6.027665,54.519942
On or near Rathvarna Avenue,Anti-social behaviour,-6.078593,54.521804
On or near Clandeboye Street,Anti-social behaviour,-5.899932,54.593948
On or near Bow Street,Anti-social behaviour,-5.533255,54.641822
On or near Molesworth Road,Anti-social behaviour,-6.741749,54.646057
On or near Lancaster Street,Anti-social behaviour,-5.93009,54.606436
On or near Wellington Park,Anti-social behaviour,-5.942369,54.582709
On or near Carlingford Park,Anti-social behaviour,-6.324302,54.160357
On or near Woodbrook,Anti-social behaviour,-7.338839,55.029142
On or near Anderson Park,Anti-social behaviour,-6.933088,55.043733
On or near Main Street,Anti-social behaviour,-7.461722,54.824645
On or near Glebetown Drive,Anti-social behaviour,-5.712343,54.315882
On or near ,Anti-social behaviour,-5.955547,54.595727
On or near The Promenade,Anti-social behaviour,-6.71841,55.183019
On or near Dungormley Estate,Anti-social behaviour,-6.579936,54.190939
On or near Donegall Square North,Anti-social behaviour,-5.930154,54.597254
On or near Dairy Street,Anti-social behaviour,-5.96098,54.59289
On or near Bryansford Road,Anti-social behaviour,-5.893519,54.206882
On or near Huguenot Drive,Anti-social behaviour,-6.025424,54.51517
On or near Mill Street Court,Anti-social behaviour,-5.701528,54.592282
On or near Sandy Row,Anti-social behaviour,-6.441213,54.422032
On or near Atlantic Avenue,Anti-social behaviour,-5.937429,54.615573
On or near Fearon Close,Anti-social behaviour,-6.021447,54.064089
On or near Cross Street,Anti-social behaviour,-7.308804,54.994392
On or near Toome Road,Anti-social behaviour,-6.277128,54.85515
On or near Mays Meadow,Anti-social behaviour,-5.914614,54.595496
On or near Woodgrove,Anti-social behaviour,-6.44901,54.435852
On or near Belmont View,Anti-social behaviour,-6.267073,54.344016
On or near Princess Gardens,Anti-social behaviour,-6.418174,54.422559
On or near Great James Street,Anti-social behaviour,-7.322812,54.999402
On or near Main Street,Anti-social behaviour,-6.331549,54.998036
On or near Meadow Brook,Anti-social behaviour,-7.459097,54.37982
On or near Castle Lane,Anti-social behaviour,-6.329301,54.464641
On or near Sinclair Avenue,Anti-social behaviour,-5.709427,54.653847
On or near Park Avenue,Anti-social behaviour,-7.330795,55.005177
On or near Kylemore Road,Anti-social behaviour,-6.682902,55.127251
On or near North Circular Road,Anti-social behaviour,-5.944989,54.633887
On or near Main Street,Anti-social behaviour,-6.949792,55.052825
On or near Bannview Park,Anti-social behaviour,-6.521544,55.058761
On or near ,Anti-social behaviour,-6.000071,54.560873
On or near Castle Street,Anti-social behaviour,-6.250994,55.200567
On or near ,Anti-social behaviour,-5.936657,54.585541
On or near Killynure Close,Anti-social behaviour,-5.884692,54.51331
