Off_Name,Add_1,Add_2,Add_3,County,Gender,Attendance Time,Irish Language,Fee,Ethos,Number of Females 2014,Number of Males 2014,xcoord,ycoord,Long,Lat,Roll_No
St. Jarlaths College,TUAM,CO GALWAY,,Galway,Boys,Day,No subjects taught through Irish,N,Catholic,0,527,143928,252069,143928,252069,68074M
MEAN SCOIL NUA AN LEITH TRIUIGH,CAISLEAN GHRIAIRE,CO CHIARRAI,,Kerry,Mixed,Day,No subjects taught through Irish,N,Catholic,69,68,62250,113343,62250,113343,68075O
�rdscoil na Trion�ide,Rathstewart,Athy,Co Kildare,Kildare,Mixed,Day,No subjects taught through Irish,N,Catholic,411,396,268298,194388,268298,194388,68077S
GAELCHOLAISTE PHORT LAIRGE,C�irt An Easpag,Baile Mhic Ghunnair,Waterford,Waterford,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,73,87,258822,109616,258822,109616,68078U
Meanscoil Gharman,Brownswood,Enniscorthy,,Wexford,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,78,62,298037,136697,298037,136697,68080H
Scoil na Tr�on�ide Naofa,Doon,Co Limerick,,Limerick,Mixed,Day,No subjects taught through Irish,N,Catholic,353,305,183420.69,149544.23,183420.68,149544.23,68121S
Balbriggan Community College,Pine Ridge,Chapel St.,Balbriggan,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,138,381,320082,263889,320082,263889,70010V
Grange Community College,Grange Road,Donaghmede,Dublin 13,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,150,120,322630,240484,322630,240484,70020B
Col�iste de h�de,Br Thish Moth�in Thuaidh,Br Chaisle�in Thigh M�th�in,Tamhlacht,Dublin,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,164,152,310100,229128,310100,229128,70021D
Senior College Dunlaoghaire,Eblana Avenue,Dun Laoghaire,Co Dublin,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,538,330,324331.29,228601.4,324331.3,228601.4,70030E
Deansrath Community College,New Nangor Road,Clondalkin,Dublin 22,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,254,200,305301,231568,305301,231568,70040H
Collinstown Park Community College,Neilstown Rd.,Rowlagh,Clondalkin,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,339,344,306878,233512,306878,233512,70041J
St. Kevin's Community College,Fonthill Road,Clondalkin,Dublin 22,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,123,163,306228,234792,306228,234792,70042L
D�n Laoghaire Further Education Institute,Further Education,Cumberland St,Dun Laoghaire,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,260,420,323763.14,228757.28,323763.14,228757.28,70050K
College Of Further Education Dundrum,Main Street,Dundrum,Dublin 14,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,193,84,317111.9,228156.5,317111.9,228156.5,70070Q
