nome,provincia,gml_id,civico,istat,cap,comune,provincia,regione,lon,lat
Via Marco Polo,BARI,IN.NUMERICIVICI.2012.806639,16,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545575,41.127958
Via N. Quercia,BARI,IN.NUMERICIVICI.2012.806647,41,16072043,70038,TERLIZZI,BARI,PUGLIA,16.540471,41.13209
Via John Fitzgerald Kennedy,BARI,IN.NUMERICIVICI.2012.806675,8,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541625,41.131267
Via Bovio,BARI,IN.NUMERICIVICI.2012.806677,55,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537632,41.129828
Via Spineto,BARI,IN.NUMERICIVICI.2012.806766,19,16072043,70038,TERLIZZI,BARI,PUGLIA,16.549658,41.124266
Via Piscina Nuova,BARI,IN.NUMERICIVICI.2012.806795,32/25,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544089,41.126796
Via Croce,BARI,IN.NUMERICIVICI.2012.806819,29,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541147,41.131677
Via Cialdini,BARI,IN.NUMERICIVICI.2012.806848,89,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544682,41.128204
Via Leoncavallo,BARI,IN.NUMERICIVICI.2012.806855,12,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537962,41.129664
Via Alfieri,BARI,IN.NUMERICIVICI.2012.806890,6,16072043,70038,TERLIZZI,BARI,PUGLIA,16.536919,41.129597
Piazza Cavour,BARI,IN.NUMERICIVICI.2012.806987,14,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542959,41.129741
Via Alessandria,BARI,IN.NUMERICIVICI.2012.806988,31,16072043,70038,TERLIZZI,BARI,PUGLIA,16.548524,41.132613
Via Legnago,BARI,IN.NUMERICIVICI.2012.807009,16,16072043,70038,TERLIZZI,BARI,PUGLIA,16.550397,41.129728
Via Arimondi,BARI,IN.NUMERICIVICI.2012.807023,34,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541714,41.129188
Via Giuseppe Mazzini,BARI,IN.NUMERICIVICI.2012.807037,105,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545302,41.127285
Via Venezia,BARI,IN.NUMERICIVICI.2012.807059,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546372,41.128031
Via Metastasio,BARI,IN.NUMERICIVICI.2012.807117,2/h,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542018,41.127104
Via Farini,BARI,IN.NUMERICIVICI.2012.807162,65,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546952,41.129007
Via Verdi,BARI,IN.NUMERICIVICI.2012.807220,18,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538054,41.129134
Via Cavallotti,BARI,IN.NUMERICIVICI.2012.807247,6,16072043,70038,TERLIZZI,BARI,PUGLIA,16.540079,41.13067
Via Croce,BARI,IN.NUMERICIVICI.2012.807288,1,16072043,70038,TERLIZZI,BARI,PUGLIA,16.541528,41.130923
Via Isonzo,BARI,IN.NUMERICIVICI.2012.807319,15,16072043,70038,TERLIZZI,BARI,PUGLIA,16.549438,41.127607
Via Vittorio Veneto,BARI,IN.NUMERICIVICI.2012.807357,50,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544939,41.129389
Via M. Bisceglia,BARI,IN.NUMERICIVICI.2012.807364,85,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546382,41.131794
Via Diaz,BARI,IN.NUMERICIVICI.2012.807428,30,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542669,41.132443
Via De Lucia,BARI,IN.NUMERICIVICI.2012.807454,11,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546686,41.132126
Largo Plebiscito,BARI,IN.NUMERICIVICI.2012.807525,7,16072043,70038,TERLIZZI,BARI,PUGLIA,16.54056,41.128922
Via De Napoli,BARI,IN.NUMERICIVICI.2012.807534,26,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542156,41.129571
Viale Roma,BARI,IN.NUMERICIVICI.2012.807593,120,16072043,70038,TERLIZZI,BARI,PUGLIA,16.551436,41.13021
Via Urbano Rattazzi,BARI,IN.NUMERICIVICI.2012.807605,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.548095,41.130705
Via Bellini,BARI,IN.NUMERICIVICI.2012.807614,50,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538377,41.12903
Via Farini,BARI,IN.NUMERICIVICI.2012.807648,12,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546947,41.129818
Via Bixio,BARI,IN.NUMERICIVICI.2012.807672,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544545,41.129151
Via Fabrizio,BARI,IN.NUMERICIVICI.2012.807677,18,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546035,41.129006
Via Ortensio,BARI,IN.NUMERICIVICI.2012.807689,6,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545328,41.129282
Via Giuseppe Mazzini,BARI,IN.NUMERICIVICI.2012.807706,56,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544004,41.128309
Via Francesco Salamone,BARI,IN.NUMERICIVICI.2012.807751,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.549653,41.12975
Via De Bernardi,BARI,IN.NUMERICIVICI.2012.807846,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542599,41.131747
Via M. Bisceglia,BARI,IN.NUMERICIVICI.2012.807880,16,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546375,41.130689
