Latitude,Longitude,Number of casualties,Time of accident
53.967548,-1.093567,1,01:10:00
54.012897,-0.990288,3,14:45:00
54.016382,-1.062119,1,22:45:00
53.955331,-1.106542,1,15:20:00
53.950345,-1.098451,4,18:48:00
53.960889,-1.074903,1,02:45:00
53.95639,-1.04786,1,14:05:00
53.993717,-1.130706,1,15:50:00
53.956047,-1.122041,1,12:46:00
53.95375,-1.07692,1,22:50:00
53.96496,-1.108089,1,07:10:00
53.963479,-1.016222,1,08:35:00
53.960339,-1.057327,1,17:00:00
53.962615,-1.085459,2,10:30:00
53.986392,-1.054573,1,10:46:00
54.013538,-1.068547,1,22:25:00
53.960946,-1.064812,1,16:30:00
53.962053,-1.10524,1,12:20:00
53.95275,-1.07551,1,12:21:00
53.975227,-1.088125,1,11:30:00
53.956182,-1.119615,1,08:27:00
53.992844,-1.058896,1,15:32:00
53.959155,-1.090259,1,12:25:00
53.956417,-1.07424,1,19:00:00
53.916717,-1.170462,3,21:49:00
53.943688,-1.103698,1,14:00:00
53.944987,-1.122609,1,19:55:00
53.9647,-1.058752,1,15:45:00
53.955242,-1.079234,3,23:36:00
53.966075,-1.083051,1,17:20:00
53.996205,-1.090443,1,20:40:00
53.952279,-1.069166,1,10:06:00
53.957359,-1.086915,1,16:45:00
53.967994,-1.081347,1,13:30:00
53.950549,-1.085037,1,23:11:00
53.954468,-1.079206,1,12:55:00
53.965173,-1.110173,1,12:24:00
53.957598,-1.082932,1,21:30:00
54.018298,-1.095211,4,20:12:00
54.010518,-1.073238,1,08:10:00
53.948693,-1.073954,1,11:40:00
53.99181,-1.072723,1,23:30:00
53.952253,-1.068191,1,18:30:00
53.958082,-1.080483,1,13:45:00
53.956612,-1.058874,1,09:30:00
53.948676,-1.073985,1,16:15:00
53.992846,-1.103894,1,17:10:00
53.955049,-1.059031,1,14:20:00
53.963502,-1.117601,1,12:00:00
53.956082,-1.058916,1,12:44:00
54.011804,-0.992833,1,13:38:00
53.998073,-1.057527,1,07:45:00
53.983906,-1.113968,1,14:30:00
53.960046,-1.058995,2,09:57:00
53.96014,-1.085055,1,08:50:00
53.954678,-1.022708,4,16:30:00
53.962919,-1.08536,1,09:45:00
53.952102,-1.012162,3,11:07:00
53.967058,-1.081139,1,22:10:00
53.926663,-1.073939,1,08:50:00
53.956328,-1.149833,1,08:45:00
53.957321,-1.067941,3,10:00:00
53.973017,-1.096528,1,18:10:00
53.991061,-1.072404,1,15:45:00
53.93885,-1.073746,2,13:30:00
53.957383,-1.087737,1,16:30:00
53.952047,-1.135535,1,22:30:00
53.998713,-1.018427,1,03:05:00
53.985324,-1.022189,2,07:35:00
54.039482,-1.03712,1,02:24:00
53.954804,-0.973161,8,11:05:00
53.981774,-1.02,1,22:00:00
53.92838,-1.144203,1,12:07:00
53.953678,-1.040211,1,15:50:00
53.920994,-1.180732,1,07:30:00
53.96537,-1.07206,1,18:20:00
53.953757,-1.082574,1,16:40:00
53.959258,-1.088504,1,16:50:00
53.957218,-1.013413,1,15:40:00
53.972665,-1.144271,1,17:00:00
53.966593,-1.067536,1,13:10:00
