Off_Name,Add_1,Add_2,Add_3,County,Gender,Attendance Time,Irish Language,Fee,Ethos,Number of Females 2014,Number of Males 2014,xcoord,ycoord,Long,Lat,Roll_No
St Conleths College,28 Clyde Road,Ballsbridge,Dublin 4,Dublin,Mixed,Day,No subjects taught through Irish,Y,CATHOLIC,24,220,317289,232274,317289,232274,60590N
St Kilian's Deutsche Schule,Roebuck Road,Clonskeagh,Dublin 14,Dublin,Mixed,Day,No subjects taught through Irish,Y,INTER DENOMINATIONAL,147,217,318100,229603,318100,229603,60630W
Sandford Park School Ltd,Sandford Road,Ranelagh,Dublin 6,Dublin,Mixed,Day,No subjects taught through Irish,Y,CHURCH OF IRELAND,30,211,316649,231616,316649,231616,60640C
St Andrews College,Booterstown Ave,Blackrock,Co Dublin,Dublin,Mixed,Day,No subjects taught through Irish,Y,CHURCH OF IRELAND,498,495,319933,229851,319933,229851,60650F
St Patricks Cathedral G.S,St Patricks Close,Dublin 8,,Dublin,Mixed,Day,No subjects taught through Irish,Y,CHURCH OF IRELAND,38,84,315180,233459,315180,233459,60660I
The High School,Zion Road,Rathgar,Dublin 6,Dublin,Mixed,Day,No subjects taught through Irish,Y,CHURCH OF IRELAND,340,426,315155,229753,315155,229753,60670L
Dominican College,Griffith Ave,Drumcondra,Dublin 9,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,713,0,316568,237420,316568,237420,60690R
Scoil Chaitriona,Bóthar Mobhí,Glasnaíon,Ath Cliath 9,Dublin,Mixed,Day,All pupils taught all subjects through Irish,N,CATHOLIC,232,190,315700,237430,315700,237430,60700R
Muckross Park College,Donnybrook,Dublin 4,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,712,0,317160,231570,317160,231570,60710U
Saint Dominic's Secondary School,Kylemore Road,Ballyfermot,Dublin 10,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,373,0,310131,233968,310131,233967.99,60720A
St Dominics College,Cabra,Dublin 7,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,875,0,312724,236996,312724,236996,60731F
Caritas College,Drumfinn Road,Dublin 10,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,280,0,309290,234429,309290,234429,60732H
St Michaels Secondary School,Wellmount Road,Finglas,Dublin 11,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,591,0,313050,238767,313050,238767,60741I
Holy Faith Secondary School,1 Belgrove Road,Clontarf,Dublin 3,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,637,0,320053,235931,320053,235931,60750J
St Mary's Secondary School,Holy Faith Convent,Glasnevin,Dublin 11,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,723,0,315003,237588,315003,237588,60770P
St Marys Secondary School,Brookwood Meadow,Killester,Dublin 5,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,390,0,319696,238017,319696,238017,60791A
Presentation College,Warrenmount,Dublin 8,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,278,0,314772,233105,314772,233105,60792C
Loreto College,Crumlin Road,Dublin 12,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,459,0,313464,232347,313464,232347,60800V
Loreto College,Swords,Co Dublin,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,629,0,316593,246327,316593,246327,60810B
Loreto College,53 St Stephens Green,Dublin 2,,Dublin,Girls,Day,No subjects taught through Irish,Y,CATHOLIC,577,0,316199,233234,316199,233234,60820E
Maryfield College,Glandore Road,Drumcondra,Dublin 9,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,666,0,317504,237626,317504,237626,60840K
Rosary College,Armagh Road,Crumlin,Dublin 12,Dublin,Mixed,Day,No subjects taught through Irish,N,CATHOLIC,80,93,312842,231133,312842,231133,60841M
St Josephs Secondary School,Stanhope St,Dublin 7,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,228,0,314465,234954,314465,234954,60843Q
Assumption Secondary School,Walkinstown,Dublin 12,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,338,0,311223,231490,311223,231490,60851P
Mater Christi,Cappagh,Finglas,Dublin 11,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,202,0,311628,239281,311628,239281,60852R
Mount Carmel Secondary School,Kings Inn Street,Dublin 1,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,323,0,315360,234905,315360,234905,60853T
Our Ladys School,Templeogue Rd,Terenure,Dublin 6W,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,762,0,313640,229094,313640,229094,60860Q
Our Lady Of Mercy College,Beaumont,Dublin 9,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,375,0,317768,238830,317768,238830,60870T
Mercy College Coolock,St Brendans Drive,Coolock,Dublin 5,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,422,0,319926,238807,319926,238807,60871V
Mercy Secondary School,Goldenbridge,Inchicore,Dublin 8,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,174,0,311826,233123,311826,233123,60872A
St Louis High School,Charleville Road,Rathmines,Dublin 6,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,656,0,315305,231494,315305,231494,60890C
Jesus and Mary College,Our Lady's Grove,Goatstown Road,Dublin 14,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,364,0,317717,229251,317717,229251,60891E
The Teresian School,12 Stillorgan Road,Donnybrook,Dublin 4,Dublin,Girls,Day,No subjects taught through Irish,Y,CATHOLIC,188,0,318151,230845,318151,230845,60892G
St Pauls Secondary School,Greenhills,Dublin 12,,Dublin,Girls,Day,No subjects taught through Irish,N,CATHOLIC,601,0,311237,229889,311237,229889,60902G
Alexandra College,Milltown,Dublin 6,,Dublin,Girls,Mixed,No subjects taught through Irish,Y,CHURCH OF IRELAND,443,0,316694,230314,316694,230314,60910F
Rosemont School,Enniskerry Road,Sandyford,Dublin 18,Dublin,Girls,Day,No subjects taught through Irish,Y,CATHOLIC,97,0,321691,229069,321691,229069,60930L
Ardscoíl Éanna (Meanscoil Chroimghlinne),314/318 Crumlin Road,Crumlin,Dublin 12,Dublin,Mixed,Day,No subjects taught through Irish,N,CATHOLIC,54,83,312454,232064,312454,232064,60990G
Our Lady Of Mercy Secondary School,Mourne Road,Drimnagh,Dublin 12,Dublin,Mixed,Day,No subjects taught through Irish,N,CATHOLIC,140,142,312027,232480,312027,232480,60991I
Wesley College,Ballinteer,Dublin 16,,Dublin,Mixed,Mixed,No subjects taught through Irish,Y,METHODIST,415,468,317352,226585,317352,226585,61010U
Stratford College,1 Zion Road,Rathgar,Dublin 6,Dublin,Mixed,Day,No subjects taught through Irish,Y,JEWISH,48,49,315075,230186,315075,230186,61020A
