Lista,Turno,Provincia,Comune,Cod ISTAT,TORNATA,VOTI,Cognome Candidato Sindaco collegato,Nome Candidato Sindaco collegato
ROVEREDO FUTURA,Primo Turno,Pordenone,Roveredo in Piano,93036,Comunali del 25/05/2014,266,GIACOMINI,MARA
PARTITO DEMOCRATICO,Primo Turno,Pordenone,Roveredo in Piano,93036,Comunali del 25/05/2014,734,GIACOMINI,MARA
FRATELLI D'ITALIA - ALLEANZA NAZIONALE,Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,199,CERAOLO,ROBERTO
LEGA NORD,Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,1011,CERAOLO,ROBERTO
FORZA ITALIA - BERLUSCONI PER CERAOLO,Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,1883,CERAOLO,ROBERTO
CERAOLO SINDACO - CIVICA PER SACILE,Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,1616,CERAOLO,ROBERTO
ATTIVA SACILE.IT - FARE,Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,425,CERAOLO,ROBERTO
MOVIMENTO 5 STELLE,Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,938,ZUZZI,GIANFRANCO
CITTADINI PER SACILE,Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,203,BASSO,FRANCO
SINISTRA ECOLOGIA LIBERTA',Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,105,BASSO,FRANCO
SACILE Partecipata e Sostenibile,Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,226,BASSO,FRANCO
PARTITO SOCIALISTA ITALIANO,Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,166,BASSO,FRANCO
PARTITO DEMOCRATICO,Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,2111,BASSO,FRANCO
INSIEME,Primo Turno,Pordenone,Sacile,93037,Comunali del 25/05/2014,253,ZORZETTO,NEVIO
UNITI PER S. MARTINO,Primo Turno,Pordenone,San Martino al Tagliamento,93039,Comunali del 25/05/2014,427,D'ANDREA,VANIA
EQUITA',Primo Turno,Pordenone,San Martino al Tagliamento,93039,Comunali del 25/05/2014,445,DEL BIANCO,FRANCESCO
Obiettivi Comuni,Primo Turno,Pordenone,Sesto al Reghena,93043,Comunali del 25/05/2014,704,DEL ZOTTO,MARCELLO
Cittadini Attivi,Primo Turno,Pordenone,Sesto al Reghena,93043,Comunali del 25/05/2014,715,DEL ZOTTO,MARCELLO
Progetto Comune - Voltiamo pagina con Elisa Coassin,Primo Turno,Pordenone,Sesto al Reghena,93043,Comunali del 25/05/2014,926,COASSIN,ELISA
Prospettiva Comune,Primo Turno,Pordenone,Sesto al Reghena,93043,Comunali del 25/05/2014,302,ZOPPOLATO,BEPPINO
Onestamente si può,Primo Turno,Pordenone,Sesto al Reghena,93043,Comunali del 25/05/2014,384,ZOPPOLATO,BEPPINO
UNITI PER LA VALLE,Primo Turno,Pordenone,Tramonti di Sopra,93045,Comunali del 25/05/2014,125,TITOLO,ANTONINO
CIVICA TRAMONTI DI SOPRA,Primo Turno,Pordenone,Tramonti di Sopra,93045,Comunali del 25/05/2014,137,URBAN,GIACOMO
TRAMONTI VIVE,Primo Turno,Pordenone,Tramonti di Sotto,93046,Comunali del 25/05/2014,148,BIDOLI,GIAMPAOLO
FORZA TRAMONTI DI SOTTO,Primo Turno,Pordenone,Tramonti di Sotto,93046,Comunali del 25/05/2014,34,MONGIAT,GABRIELE
PER LA VALLE UNITA,Primo Turno,Pordenone,Tramonti di Sotto,93046,Comunali del 25/05/2014,100,CAPPELLO,ARTURO
Partito Democratico - Zilli Sindaco,Primo Turno,Pordenone,Valvasone,93048,Comunali del 25/05/2014,276,ZILLI,DANIELE
PER VALVASONE - PAR VOLESON,Primo Turno,Pordenone,Valvasone,93048,Comunali del 25/05/2014,395,MAURMAIR,MARKUS
ViVa - Vivi Valvasone,Primo Turno,Pordenone,Valvasone,93048,Comunali del 25/05/2014,345,MAURMAIR,MARKUS
"INSIEME PER VIVARO-RINNOVAMENTO, IMPEGNO E TRASPARENZA",Primo Turno,Pordenone,Vivaro,93050,Comunali del 25/05/2014,485,CANDIDO,MAURO
VIVERE BENE TUTTI,Primo Turno,Pordenone,Vivaro,93050,Comunali del 25/05/2014,236,VASCOTTO,FEDERICO
