"row ID","Sum(Students)","new column (#1)","Sum(Census_2011)"
"Row0_Row0_Row0",44741,7322.0,273051
"Row0_Row0_Row1",44741,7322.0,273051
"Row0_Row0_Row2",44741,7322.0,273051
"Row0_Row0_Row3",44741,7322.0,273051
"Row0_Row0_Row4",44741,7322.0,273051
"Row0_Row0_Row5",44741,7322.0,273051
"Row0_Row0_Row6",44741,7322.0,273051
"Row0_Row0_Row7",44741,7322.0,273051
"Row0_Row0_Row8",44741,7322.0,273051
"Row0_Row0_Row9",44741,7322.0,273051
"Row0_Row0_Row10",44741,7322.0,273051
"Row0_Row0_Row11",44741,7322.0,273051
"Row0_Row0_Row12",44741,7322.0,273051
"Row0_Row0_Row13",44741,7322.0,273051
"Row0_Row0_Row14",44741,7322.0,273051
"Row0_Row0_Row15",44741,7322.0,273051
"Row0_Row0_Row16",44741,7322.0,273051
"Row0_Row0_Row17",44741,7322.0,273051
"Row0_Row0_Row18",44741,7322.0,273051
"Row0_Row0_Row19",44741,7322.0,273051
"Row0_Row0_Row20",44741,7322.0,273051
"Row0_Row0_Row21",44741,7322.0,273051
"Row0_Row0_Row22",44741,7322.0,273051
"Row0_Row0_Row23",44741,7322.0,273051
"Row0_Row0_Row24",44741,7322.0,273051
"Row0_Row0_Row25",44741,7322.0,273051
"Row0_Row0_Row26",44741,7322.0,273051
"Row0_Row0_Row27",44741,7322.0,273051
"Row0_Row0_Row28",44741,7322.0,273051
"Row0_Row0_Row29",44741,7322.0,273051
"Row0_Row0_Row30",44741,7322.0,273051
"Row0_Row0_Row31",44741,7322.0,273051
"Row0_Row0_Row32",44741,7322.0,273051
"Row0_Row0_Row33",44741,7322.0,273051
"Row0_Row0_Row34",44741,7322.0,273051
"Row0_Row0_Row35",44741,7322.0,273051
"Row0_Row0_Row36",44741,7322.0,273051
"Row0_Row0_Row37",44741,7322.0,273051
"Row0_Row0_Row38",44741,7322.0,273051
"Row0_Row0_Row39",44741,7322.0,273051
"Row0_Row0_Row40",44741,7322.0,273051
"Row0_Row0_Row41",44741,7322.0,273051
"Row0_Row1_Row0",44741,7322.0,273051
"Row0_Row1_Row1",44741,7322.0,273051
"Row0_Row1_Row2",44741,7322.0,273051
"Row0_Row1_Row3",44741,7322.0,273051
"Row0_Row1_Row4",44741,7322.0,273051
"Row0_Row1_Row5",44741,7322.0,273051
"Row0_Row1_Row6",44741,7322.0,273051
"Row0_Row1_Row7",44741,7322.0,273051
"Row0_Row1_Row8",44741,7322.0,273051
"Row0_Row1_Row9",44741,7322.0,273051
"Row0_Row1_Row10",44741,7322.0,273051
"Row0_Row1_Row11",44741,7322.0,273051
"Row0_Row1_Row12",44741,7322.0,273051
"Row0_Row1_Row13",44741,7322.0,273051
"Row0_Row1_Row14",44741,7322.0,273051
"Row0_Row1_Row15",44741,7322.0,273051
"Row0_Row1_Row16",44741,7322.0,273051
"Row0_Row1_Row17",44741,7322.0,273051
"Row0_Row1_Row18",44741,7322.0,273051
"Row0_Row1_Row19",44741,7322.0,273051
"Row0_Row1_Row20",44741,7322.0,273051
"Row0_Row1_Row21",44741,7322.0,273051
"Row0_Row1_Row22",44741,7322.0,273051
"Row0_Row1_Row23",44741,7322.0,273051
"Row0_Row1_Row24",44741,7322.0,273051
"Row0_Row1_Row25",44741,7322.0,273051
"Row0_Row1_Row26",44741,7322.0,273051
"Row0_Row1_Row27",44741,7322.0,273051
"Row0_Row1_Row28",44741,7322.0,273051
"Row0_Row1_Row29",44741,7322.0,273051
"Row0_Row1_Row30",44741,7322.0,273051
"Row0_Row1_Row31",44741,7322.0,273051
"Row0_Row1_Row32",44741,7322.0,273051
"Row0_Row1_Row33",44741,7322.0,273051
"Row0_Row1_Row34",44741,7322.0,273051
"Row0_Row1_Row35",44741,7322.0,273051
"Row0_Row1_Row36",44741,7322.0,273051
"Row0_Row1_Row37",44741,7322.0,273051
"Row0_Row1_Row38",44741,7322.0,273051
"Row0_Row1_Row39",44741,7322.0,273051
"Row0_Row1_Row40",44741,7322.0,273051
"Row0_Row1_Row41",44741,7322.0,273051
"Row0_Row2_Row0",44741,7322.0,273051
"Row0_Row2_Row1",44741,7322.0,273051
"Row0_Row2_Row2",44741,7322.0,273051
"Row0_Row2_Row3",44741,7322.0,273051
"Row0_Row2_Row4",44741,7322.0,273051
"Row0_Row2_Row5",44741,7322.0,273051
