Lat,Long,District,Decision
53.27305202,-6.16837318,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30179472,-6.260934408,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27121568,-6.202764066,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27906721,-6.121411392,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2115787,-6.11341164,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30749894,-6.19717142,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2855537,-6.201575875,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28569252,-6.170538425,Dun Laoghaire Rathdown,GRANT PERMISSION
53.3044251,-6.264564022,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28900852,-6.237413626,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27983161,-6.16520575,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30494601,-6.261360252,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.28909984,-6.142507607,Dun Laoghaire Rathdown,GRANT PERMISSION
53.23501477,-6.122042971,Dun Laoghaire Rathdown,GRANT PERMISSION
53.22600254,-6.169584664,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28861972,-6.259608753,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28982176,-6.168025548,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29222508,-6.167293664,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28931832,-6.139411093,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29358946,-6.139872303,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.28389242,-6.248544091,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29908916,-6.259617963,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2725231,-6.103864102,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28758667,-6.114471777,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26522643,-6.154744597,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2923732,-6.148416251,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27490201,-6.245011399,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30419754,-6.225953541,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28618293,-6.141945855,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30677159,-6.25360559,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27770557,-6.211043064,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27647147,-6.17699748,Dun Laoghaire Rathdown,GRANT PERMISSION
