Scheme/Project Name,Funding Programme,LA ,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
"Thornwood, Beaumont",CALF CONSTRUCTION TURNKEY,Dublin City,22,The Housing Association,,,,,Scheme started on site in Q1 2016,
"Merville Court, Merville Avenue, Fairview",CALF CONSTRUCTION TURNKEY,Dublin City,5,Co-operative Ireland,,,,,Scheme started on site in Q2 2016,
"Stormanstown Hall, Ballymun Road, (revised)",CALF CONSTRUCTION TURNKEY,Dublin City,42,Oaklee Housing Trust,,,,,Scheme started on site in Q4 2016,
"Broome Lodge, Dunmanus, Dublin 7",CAS CONSTRUCTION,Dublin City,10,Cluid Housing Association,,,,,Scheme started on site in Q1 2016,
"St Agathas Court, North William Street, Dublin 1",CAS CONSTRUCTION,Dublin City,11,Peter McVerry,,,,,Scheme started on site in Q2 2016,
180-187 Townsend Street,CAS CONSTRUCTION,Dublin City,18,Peter McVerry,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"High Park, Dublin City",CAS CONSTRUCTION,Dublin City,8,Respond!  ,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Beechill, Dublin 4",CAS CONSTRUCTION,Dublin City,20,RHDVHA,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Ellis Court, Dublin",CAS CONSTRUCTION,Dublin City,23,The Housing Association,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Rafter's Lane, Dublin 12",CAS CONSTRUCTION,Dublin City,15,Walkinston Housing,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Dolphin House, D8 Phase 1",REGENERATION,Dublin City,100,*N/A,,,,,Scheme started on site in Q4 2016,
Dominick Street,REGENERATION,Dublin City,73,*N/A,The scheme was Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
Sackville Avenue Cottages,REGENERATION,Dublin City,12,*N/A,The scheme was Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
O'Devaney Gardens,REGENERATION,Dublin City,56,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
Maxwell Road,REGENERATION,Dublin City,9,*N/A,,,,,,Scheme completed in Q2 2016
"Bunratty Road Phase 1c, Dublin 17",SHIP CONSTRUCTION,Dublin City,62,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Cornamona, Ballyfermot, Dublin 12",SHIP CONSTRUCTION,Dublin City,60,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"North King Street, Dublin 7",SHIP CONSTRUCTION,Dublin City,30,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
"Infirmary Road, Dublin 7",SHIP CONSTRUCTION,Dublin City,30,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Belcamp B, Dublin 17",SHIP CONSTRUCTION,Dublin City,12,*N/A,,The scheme was Stage 2 approved in Q3 2015 full design/tender being prepared,,,,
"Belcamp C, Dublin 17",SHIP CONSTRUCTION,Dublin City,16,*N/A,,The scheme was Stage 2 approved in Q3 2015 full design/tender being prepared,,,,
"Ballybough Road, Dublin 1",SHIP CONSTRUCTION,Dublin City,7,*N/A,,,,,Scheme started on site in Q4 2016,
"Priory Hall, Dublin 13",SHIP CONSTRUCTION,Dublin City,35,*N/A,,,,,Scheme started on site in Q4 2014,
"Hampton Wood, Finglas, Dublin 11 (Pt.V)",SHIP CONSTRUCTION,Dublin City,25,*N/A,,,,,,Scheme completed in Q4 2016
"Poppintree, Ballymun",SHIP CONSTRUCTION RAPID,Dublin City,22,*N/A,,,,,,Scheme completed in Q2 2016
"Cherry Orchard, Ballyfermot",SHIP CONSTRUCTION RAPID,Dublin City,24,*N/A,,,,,Scheme started on site in Q4 2016,
Mourne Road,SHIP CONSTRUCTION RAPID,Dublin City,29,*N/A,,,,,Scheme started on site in Q3 2016,
"St Helenas, Finglas",SHIP CONSTRUCTION RAPID,Dublin City,40,*N/A,,,,,Scheme started on site in Q4 2016,
"Belcamp, Dublin 17",SHIP CONSTRUCTION RAPID,Dublin City,38,*N/A,,,,,Scheme started on site in Q3 2016,
Wood bank/Rathvilly,SHIP CONSTRUCTION RAPID,Dublin City,17,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
Cherry Orchard,SHIP CONSTRUCTION RAPID,Dublin City,53,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
Bunratty Road,SHIP CONSTRUCTION RAPID,Dublin City,60,*N/A,,,Scheme now being tendered,,,
"Castlegrange (2), Clonsilla",CALF CONSTRUCTION TURNKEY,Fingal,19,The Housing Association,,,,,,Scheme completed in Q2 2016
"Castlegrange (2), Clonsilla",CALF CONSTRUCTION TURNKEY,Fingal,25,The Housing Association,,,,,Scheme started on site in Q4 2015,
"Hansfield, Clonsilla, Dublin 15",CALF CONSTRUCTION TURNKEY,Fingal,98,The Housing Association,,,,,Scheme started on site in Q3 2016,
"Dun Emer, Lusk",CALF CONSTRUCTION TURNKEY,Fingal,54,The Housing Association,,,,Approval of turnkey/construction project Q4 2016,,
"The Gallery, Donabate",CALF CONSTRUCTION TURNKEY,Fingal,43,Oaklee Housing Trust,,,,Approval of turnkey/construction project Q3 2016,,
"Darcystown, Ringfort, Balrothery, Co Dublin",CAS CONSTRUCTION,Fingal,9,"North & East Housing 
Association",,,,,Scheme started on site in Q2 2016,
"Estuary Road, Malahide, Co Dublin",CAS CONSTRUCTION,Fingal,8,"Society of Saint Vincent 
de Paul",,,The scheme was Stage 3 approved in Q3 2016 scheme now being tendered,,,
"22 College Street, Baldoyle, Co Dublin",CAS CONSTRUCTION,Fingal,4,Cluid Housing Association,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Church Road/Ladyswell Road, Mulhuddart",CAS CONSTRUCTION,Fingal,22,Cluid Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Balglass Road, Howth",CAS CONSTRUCTION,Fingal,15,Fold Ireland Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
Ravenswood,CAS CONSTRUCTION,Fingal,6,Peter McVerry,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
"St. Conan's Cottages, Swords",SHIP CONSTRUCTION,Fingal,1,*N/A,,,,,,Scheme completed in Q2 2016
"St. Cronan's Green, Swords",SHIP CONSTRUCTION,Fingal,14,*N/A,,,,,,Scheme completed in Q2 2016
Cappaghfinn (Phase 1),SHIP CONSTRUCTION,Fingal,14,*N/A,,,,,,Scheme completed in Q2 2016
"Racecourse Common, Lusk (Phase 2)",SHIP CONSTRUCTION,Fingal,74,*N/A,,,,,Scheme started on site in Q4 2016,
"The Grange, Ballyboughal",SHIP CONSTRUCTION,Fingal,8,*N/A,,,,,Scheme started on site in Q4 2016,
"Rathbeale Road, Swords",SHIP CONSTRUCTION,Fingal,24,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
Cappaghfinn (Phase 2),SHIP CONSTRUCTION,Fingal,32,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
Castlelands Part View (Phase 3),SHIP CONSTRUCTION,Fingal,24,*N/A,,,,,Scheme started on site in Q4 2016,
Wellview Mulhuddart,SHIP CONSTRUCTION RAPID,Fingal,20,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
"Pinewood, Balbriggan",SHIP CONSTRUCTION RAPID,Fingal,25,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
Letterfrack (Phase 1),CAS CONSTRUCTION,Galway County,13,Cluid Housing Association,,,,,,Scheme completed in Q2 2016
"Dunlo Hill, Ballinasloe",CAS CONSTRUCTION,Galway County,17,Cluid Housing Association,,,The scheme was Stage 3 approved in Q1 2016 scheme now being tendered,,,
Mountbellew,CAS CONSTRUCTION,Galway County,5,Mountbellew Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Eanach Mheain, Carraroe",CAS CONSTRUCTION,Galway County,13,Tearmann Eanna Teo,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Rossaveal Cottages, Ros a Mhil, South Connemara",CAS CONSTRUCTION,Galway County,8,Tearmann Eanna Teo,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
Claregalway,CAS CONSTRUCTION,Galway County,12,Claregalway Housing Association,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Weir Road, Tuam",SHIP CONSTRUCTION,Galway County,30,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Garbally Drive, Ballinasloe",SHIP CONSTRUCTION,Galway County,10,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
"Spiddal Cottages, Co Galway",CALF CONSTRUCTION,Galway County,31,Cluid Housing Association,,,,Approval of turnkey/construction project Q1 2016,,
"Esker Fields, Ballinasloe",SHIP CONSTRUCTION,Galway County,2,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Gilmartin Road, Tuam",SHIP CONSTRUCTION,Galway County,40,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Gort Mhailor, Athenry (Phase 2)",SHIP CONSTRUCTION,Galway County,10,*N/A,The scheme was Stage 1 approved in Q2 2015 - Scheme is on hold while drainage issues are addressed.,,,,,
"Reilean, Roscam, Block 5 Galway",CALF CONSTRUCTION TURNKEY,Galway City,12,The Housing Association,,,,,Scheme started on site in Q4 2015,
"Reilean, Roscam,Block 4 Galway",CALF CONSTRUCTION TURNKEY,Galway City,12,The Housing Association,,,,,Scheme started on site in Q4 2015,
" Ballinasloe Area, Galway",CALF CONSTRUCTION TURNKEY,Galway City,39,Cluid Housing Association,,,,Approval of turnkey/construction project Q3 2016,,
"Maoilin, Ballymoneen Road, Galway",CALF CONSTRUCTION TURNKEY,Galway City,6,The Housing Association,,,,,Scheme started on site in Q2 2015,
47 Forster Street,CAS CONSTRUCTION,Galway City,9,"Cope, Galway",,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Cul Garrai, Rahoon",CAS CONSTRUCTION,Galway City,6,Peter Triest Housing Association,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
97/98 Rockfield,CAS CONSTRUCTION,Galway City,4,Carrig Dubh Housing Association,,,,,Scheme started on site in Q3 2016,
Ballymoneen Road (Phase 1),SHIP CONSTRUCTION,Galway City,14,*N/A,,,The scheme was Stage 3 approved in Q1 2016 scheme now being tendered,,,
Ballymoneen Road (Phase 2),SHIP CONSTRUCTION,Galway City,55,*N/A,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
"Boireann Beag, Ros Cam, Galway",CALF CONSTRUCTION TURNKEY,Galway City ,16,Cluid Housing Association,,,,,,Scheme completed in Q4 2016
"The Parsonage, Caherciveen",CAS CONSTRUCTION,Kerry,5,"Caherciveen Social 
Services",The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
Mitchels-Boherbee,CAS CONSTRUCTION,Kerry,16,Cluid Housing Association,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
Mitchels-Hawley Park,CAS CONSTRUCTION,Kerry,15,"Kingdom Voluntary 
Housing",The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"22 College Road, Castleisland",CAS CONSTRUCTION,Kerry,4,Kerry Immigrants.,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Armagh House, Killarney",CAS CONSTRUCTION,Kerry,6,Cluid Housing Association,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Urban Terrace, Tralee",REGENERATION,Kerry,2,*N/A,,,,,,Scheme completed in Q4 2016
"Clonmore Road, Tralee",REGENERATION,Kerry,3,*N/A,,,,,,Scheme completed in Q4 2016
"The Park, Killarney",SHIP CONSTRUCTION,Kerry,20,*N/A,,,The scheme was Stage 3 approved in Q2 2016 scheme now being tendered,,,
Single Rural Dwellings,SHIP CONSTRUCTION,Kerry,3,*N/A,,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
Bill Kinnerk Road,SHIP CONSTRUCTION,Kerry,4,*N/A,,,The scheme was Stage 3 approved in Q2 2016 scheme now being tendered,,,
Lixnaw,SHIP CONSTRUCTION,Kerry,4,*N/A,,,,The scheme was Stage 4 approved in Q4 2016 scheme is now fully approved,,
"Killeen, Tralee",SHIP CONSTRUCTION,Kerry,21,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
Listowel,SHIP CONSTRUCTION,Kerry,7,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
Milltown,SHIP CONSTRUCTION,Kerry,9,*N/A,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
Kenmare,SHIP CONSTRUCTION,Kerry,22,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
Listowel,SHIP CONSTRUCTION,Kerry,1,*N/A,,,,,Scheme started on site in Q3 2016,
Rathmore/Barraduff,SHIP CONSTRUCTION,Kerry,20,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Ardmoneel, Killorglin",SHIP CONSTRUCTION,Kerry,14,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Cathair Lakes Farrantoreen Road, Killorglin, Co Kerry",CALF CONSTRUCTION TURNKEY,Kerry ,6,Cluid Housing Association,,,,,,Scheme completed in Q2 2016
"Cro¡lar Na Mistaelach, Tralee",REGENERATION,Kerry ,11,*N/A,,,Pre tender approved Q4 2016,,,
"St Martin's Park, Tralee",REGENERATION,Kerry ,4,*N/A,,,Pre tender approved Q4 2016,,,
"Dingle Road, Tralee",REGENERATION,Kerry ,1,*N/A,,,,Approval of planned construction project Q4 2016,,
"Roseberry Hill, Newbridge",CALF CONSTRUCTION TURNKEY,Kildare,45,The Housing Association,,,,,Scheme started on site in Q2 2016,
"Craddockstown, Naas",CAS CONSTRUCTION,Kildare,4,KARE,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Main St., Kilcullen",CAS CONSTRUCTION,Kildare,4,Camphill Communities of Ireland,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Jigginstown House, Naas",CAS CONSTRUCTION,Kildare,14,Homeless Care Ltd,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"El Kantara, Newbridge",CAS CONSTRUCTION,Kildare,2,KARE,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
"27 Mansfield Grove, Athy",CAS CONSTRUCTION,Kildare,4,KARE,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
"Athgarvan Road, Newbridge",SHIP CONSTRUCTION,Kildare,13,*N/A,,,The scheme was Stage 3 approved in Q1 2016 scheme now being tendered,,,
Kilcock (Phase 2),SHIP CONSTRUCTION,Kildare ,20,*N/A,,,,,Scheme started on site in Q4 2016,
Bishopsland,SHIP CONSTRUCTION,Kildare ,34,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
Rathagan,SHIP CONSTRUCTION,Kildare ,18,*N/A,The scheme was Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
Prosperous,SHIP CONSTRUCTION,Kildare ,12,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Rathasker, Naas",SHIP CONSTRUCTION,Kildare ,50,*N/A,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
Athgarvan,SHIP CONSTRUCTION,Kildare ,30,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Walkin Street, Kilkenny",CALF CONSTRUCTION,Kilkenny,43,Oaklee Housing Trust,,,,Approval of turnkey/construction project Q1 2014,,
"Golf Links Road, Kilkenny",CALF CONSTRUCTION TURNKEY,Kilkenny,39,Respond!,,,,Approval of turnkey/construction project Q4 2015,,
North Kilkenny,CALF CONSTRUCTION TURNKEY,Kilkenny,9,Oaklee Housing Trust,,,,Approval of turnkey/construction project Q4 2016,,
"Friary Walk, Callan",CAS CONSTRUCTION,Kilkenny,12,Cluid Housing Association,,,,,,Scheme completed in Q3 2016
"""Brooke House"", Thomastown",CAS CONSTRUCTION,Kilkenny,5,Camphill Communities of Ireland,,,,,Scheme started on site in Q3 2016,
Good Shepherd Centre Wing 1952,CAS CONSTRUCTION,Kilkenny,12,"The Good Shepherd 
Centre",The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
Nimble Spaces Project at Callan,CAS CONSTRUCTION,Kilkenny,16,Camphill Communities of Ireland,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Greenshill, Kilkenny",CAS CONSTRUCTION,Kilkenny,6,"The Good Shepherd 
Centre",The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Ballytobin, Callan",CAS CONSTRUCTION,Kilkenny,4,Camphill Communities of Ireland,The scheme was Stage 1 approved in Q3 2014 outline design and costs now being prepared,,,,,
"Golf Links Road, Kilkenny",CAS CONSTRUCTION,Kilkenny,15,Respond!  ,The scheme was Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
"Gaol Rooad, Kilkenny",SHIP CONSTRUCTION,Kilkenny,10,*N/A,,,,,,Scheme completed in Q3 2016
"Rosehill, Kiells Road, Kilkenny",SHIP CONSTRUCTION,Kilkenny,6,*N/A,,,,,,Scheme completed in Q4 2016
"The Butts, Kilkenny",SHIP CONSTRUCTION,Kilkenny,22,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Abbeyquarter Vicar Street, Kilkenny",SHIP CONSTRUCTION,Kilkenny,30,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Donaguile, Castlecomer",SHIP CONSTRUCTION,Kilkenny,18,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Bolton, Callan",SHIP CONSTRUCTION,Kilkenny,39,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Robertshill, Kilkenny",SHIP CONSTRUCTION,Kilkenny,10,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Main Street, Piltown",SHIP CONSTRUCTION,Kilkenny,18,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Station Road, Ballyragget",SHIP CONSTRUCTION,Kilkenny,14,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Newpark, Casltecomer Road, Kilkenny",SHIP CONSTRUCTION TURNKEY,Kilkenny ,7,*N/A,,,,,Scheme started on site in Q1 2016,
"Togher Way, Urlingford",SHIP CONSTRUCTION TURNKEY,Kilkenny ,11,*N/A,,,,Approval of turnkey/construction project Q4 2016,,
Cluin Inn Mountrath,CALF CONSTRUCTION,Laois,11,Oaklee Housing Trust,,,,Approval of turnkey/construction project Q2 2015,,
"Wilton Lawns, Portarlington, Co. Laois",CALF CONSTRUCTION TURNKEY,Laois,2,The Housing Association,,,,Approval of turnkey/construction project Q4 2016,,
"Abbeyleix Road, Portlaoise",CAS CONSTRUCTION,Laois,16,Respond!  ,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"St. Fintan's Hospital, Dublin Road, Portlaoise",CAS CONSTRUCTION,Laois,8,Oaklee Housing Trust,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Ballymorris Road, Portarlington",SHIP CONSTRUCTION,Laois,20,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Conniberry Way, Old Knockmay Road, Portlaoise",SHIP CONSTRUCTION,Laois ,33,*N/A,,,,,Scheme started on site in Q4 2016,
"Shannon Street, Mountrath",SHIP CONSTRUCTION,Laois ,8,*N/A,,The scheme was Stage 2 approved in Q1 2016 full design/tender being prepared,,,,
Pattison Est. Mountmellick,SHIP CONSTRUCTION,Laois ,10,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Harpurs Lane, Portlaoise ",SHIP CONSTRUCTION,Laois ,1,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Gleann na Glaise, Ballyroan",SHIP CONSTRUCTION,Laois ,10,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
Ballinamore,CAS CONSTRUCTION,Leitrim,2,"Society of Saint Vincent 
de Paul",,,The scheme was Stage 3 approved in Q4 2016 scheme now being tendered,,,
"Taobh Tire, Manorhamilton (Phase 2)",SHIP CONSTRUCTION,Leitrim ,7,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Hyde Road, Limerick City",CALF CONSTRUCTION,Limerick,20,Cluid Housing Association,,,,,Scheme started on site in Q3 2016,
Mirth Thomondgate,CALF CONSTRUCTION,Limerick,18,Associated Charities Trust,,,,Approval of turnkey/construction project Q1 2014,,
"Mungret Area , Co Limerick",CALF CONSTRUCTION TURNKEY,Limerick,8,Cluid Housing Association,,,,,Scheme started on site in Q4 2016,
"Cuan Mhuire, Bruree",CAS CONSTRUCTION,Limerick,6,"Cuan Mhuire, Bruree",,,,The scheme was Stage 4 approved in Q4 2016 scheme is now fully approved,,
"Speakers Corner, Limerick City ",CAS CONSTRUCTION,Limerick,4,Mid West Simon,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Drominbeg, Rhebogue",CAS CONSTRUCTION,Limerick,21,NABCO,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
Cappamore,CAS CONSTRUCTION,Limerick,12,Cappamore Housing Association,The scheme was Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
"Lord Edward Street, P2: Main Contract*",REGENERATION,Limerick,81,*N/A,,,,,Scheme started on site in Q1 2016,
Gaol Lane New Build,REGENERATION,Limerick,1,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
Sheep / Athlunkards Street,REGENERATION,Limerick,8,*N/A,,The scheme was Stage 2 approved in Q2 2014 full design/tender being prepared,,,,
"Churchfield, Phase 1",REGENERATION,Limerick,42,*N/A,,,,,Scheme started on site in Q3 2016,
"Churchfield, Phase 2",REGENERATION,Limerick,38,*N/A,,The scheme was Stage 2 approved in Q4 2014 full design/tender being prepared,,,,
Cosgrave Park,REGENERATION,Limerick,30,*N/A,,The scheme was Stage 2 approved in Q1 2015 full design/tender being prepared,,,,
Palm Close,REGENERATION,Limerick,26,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
Orchard Site,REGENERATION,Limerick,27,*N/A,The scheme was Stage 1 approved in Q1 2013 outline design and costs now being prepared,,,,,
176-177 Cliona Park ,REGENERATION,Limerick,2,*N/A,,,,,,Scheme completed in Q2 2016
Cliona Park Phase 2,REGENERATION,Limerick,10,*N/A,,,,,Scheme started on site in Q4 2015,
8-10 Gaol Lane,REGENERATION,Limerick,3,*N/A,,,,,,Scheme completed in Q4 2016
1-3 Weston Gardens,REGENERATION,Limerick,3,*N/A,,,,,,Scheme completed in Q2 2016
Moyross Rebuild,REGENERATION,Limerick,6,*N/A,,,,,,Scheme completed in Q4 2016
Southhill Rebuild,REGENERATION,Limerick,8,*N/A,,,,,,Scheme completed in Q4 2016
St. Mary's Park Rebuild,REGENERATION,Limerick,9,*N/A,,,,,,Scheme completed in Q4 2016
BCW Rebuild,REGENERATION,Limerick,14,*N/A,,,,,,Scheme completed in Q4 2016
St. Mary's Park Infills,REGENERATION,Limerick,19,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
Cliona Park Phase 3,REGENERATION,Limerick,18,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
Carew Park,REGENERATION,Limerick,37,*N/A,The scheme was Stage 1 approved in Q1 2015 outline design and costs now being prepared,,,,,
45-46 Cliona Park,REGENERATION,Limerick,2,*N/A,,The scheme was Stage 2 approved in Q1 2016 full design/tender being prepared,,,,
Dalgaish Park,REGENERATION,Limerick,17,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
Markievicz Drive,REGENERATION,Limerick,13,*N/A,The scheme was Stage 1 approved in Q1 2015 outline design and costs now being prepared,,,,,
"Clonmacken, Limerick City",SHIP CONSTRUCTION,Limerick,40,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Deerpark, Adare",SHIP CONSTRUCTION,Limerick,30,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Glenview Drive, Hospital",SHIP CONSTRUCTION,Limerick,20,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Lisheen Park, Patrickswell",SHIP CONSTRUCTION,Limerick,20,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Wallers Well, Limerick City (Phase 2)",SHIP CONSTRUCTION,Limerick,18,*N/A,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Joseph Street, Limerick City",SHIP CONSTRUCTION,Limerick,3,*N/A,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Rathbane Road, Limerick City",SHIP CONSTRUCTION,Limerick,2,*N/A,The scheme was Stage 1 approved in Q4 2013 outline design and costs now being prepared,,,,,
"Sycamore Avenue, Limerick City",SHIP CONSTRUCTION,Limerick,4,*N/A,The scheme was Stage 1 approved in Q4 2013 outline design and costs now being prepared,,,,,
"Clare Street, Limerick City",SHIP CONSTRUCTION,Limerick,6,*N/A,The scheme was Stage 1 approved in Q1 2014 outline design and costs now being prepared,,,,,
"Hassett Villas, Thomondgate",SHIP CONSTRUCTION,Limerick,3,*N/A,The scheme was Stage 1 approved in Q1 2014 outline design and costs now being prepared,,,,,
"Kilmurry Court, Garryowen",SHIP CONSTRUCTION,Limerick,6,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
"Site Adj. to Athlunkard Boat Club, Limerick City",SHIP CONSTRUCTION,Limerick,4,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
Sexton Street North & Kileely Court,SHIP CONSTRUCTION,Limerick,10,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Childers Road, Limerick City",SHIP CONSTRUCTION,Limerick,24,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Gough Place, Rosbrien Road, Limerick",SHIP CONSTRUCTION,Limerick,7,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Chas Flats, Limerick City",SHIP CONSTRUCTION,Limerick,3,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"1-12 Burke Avenue, Limerick City ",SHIP CONSTRUCTION,Limerick,12,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Cartrun Breac, Lisbrack Rd, Longford",CALF CONSTRUCTION TURNKEY,Longford,7,Cluid Housing Association,,,,,Scheme started on site in Q3 2016,
