Official Name,Add_1,Add_2,Add_3,County,Ethos,DEIS,Number of Males in 2014,Number of Females in 2014,Total number of Students in 2014,xcoord,ycoord,Long,Lat,Roll_No
S N NAOMH EOIN,PORTARLINGTON,CO LAOIS,,Laois,CATHOLIC,N,218,169,387,257077,209248,-7.14718,53.1307,18641O
S N NAOMH COLMCILLE,ERRILL,PORTLAOISE,CO LAOIS,Laois,CATHOLIC,N,30,30,60,222028,177887,-7.67298,52.8515,18780F
ST. PAULS PRIMARY SCHOOL,BORRIS ROAD,PORTLAOISE,CO LAOIS,Laois,CATHOLIC,N,385,36,421,247565,198876,-7.29082,53.0385,18828H
S N MHUIRE,PRESENTATION CONVENT,PORTLAOISE,CO LAOIS,Laois,CATHOLIC,N,123,308,431,247172,198464,-7.29674,53.0348,19286C
ST PAULS N S,ST PAULS RECTORY,MOUNTMELLICK,CO LAOIS,Laois,CHURCH OF IRELAND,N,14,10,24,245150,207419,-7.32563,53.1155,19369G
SCOIL BHRIDE NS,PORTLAOISE,CO LAOIS,,Laois,CATHOLIC,Y,373,383,756,246071,198704,-7.31312,53.0371,19747M
SCOIL MHUIRE,ABBEYLEIX,CO LAOIS,,Laois,CATHOLIC,N,184,163,347,244260,185480,-7.34192,52.9184,19750B
Scoil Tíghearnach Naofa,Cullohill,Rathdowney,Co Laois,Laois,CATHOLIC,N,60,56,116,235270,174539,-7.47677,52.8207,19791P
OUR LADYS MEADOW NATIONAL SCHOO,DURROW,CO LAOIS,,Laois,CATHOLIC,N,102,91,193,240616,177298,-7.39712,52.8451,20065Q
SCOIL BHRIDE,RATHDOWNEY,CO LAOIS,,Laois,CATHOLIC,N,108,91,199,227922,178242,-7.58546,52.8544,20071L
GAELSCOIL PHORT LAOISE,Bóthar Maighéan Rátha,Portlaoise,Co. Laoise,Laois,CATHOLIC,N,117,132,249,246138,198399,-7.31216,53.0343,20081O
SCOIL BHRIDE,CLUAIN NA SLI,MOINTEACH MILIC,CO LAOIS,Laois,CATHOLIC,N,73,51,124,231786,211130,-7.52486,53.1498,20118L
CASTLETOWN N.S,PORTLAOISE,CO LAOIS,,Laois,CATHOLIC,N,73,73,146,234184,191810,-7.49106,52.976,20169F
GAELSCOIL AN TSLI DALA,BOIRIS MOR OSSARI,CONTAE LAOISE,,Laois,INTER DENOMINATIONAL,N,15,22,37,220616,189919,-7.69318,52.9597,20224K
Portlaoise Educate Together NS,Summerhill/Downs,Stradbally Road,Portlaoise,Laois,MULTI DENOMINATIONAL,N,147,119,266,246937,198529,-7.30023,53.0354,20347D
St Coleman's National School,Stradbally,Laois,,Laois,CATHOLIC,N,141,131,272,257460,196244,-7.14377,53.0139,20353V
LEITRIM MXD N S,CARRICK ON SHANNON,CO LEITRIM,,Leitrim,CATHOLIC,N,128,90,218,195657,304820,-8.06622,53.9926,01125B
MASTERSONS N S,MANORHAMILTON,CO LEITRIM,,Leitrim,CHURCH OF IRELAND,N,11,3,14,188811,339595,-8.1719,54.3049,08390J
THE HUNT N S,CASTLE STREET,MOHILL,CO. LEITRIM,Leitrim,CHURCH OF IRELAND,N,16,22,38,208908,297021,-7.8644,53.9224,08673V
NEWTOWNGORE N S 1,CARRICK ON SHANNON,CO LEITRIM,,Leitrim,CHURCH OF IRELAND,N,14,14,28,220938,309769,-7.68039,54.0366,09353I
S N BRID NAOFA,BEAL AN ATHA MOIR,CARRICK ON SHANNON,CO LEITRIM,Leitrim,CATHOLIC,N,22,71,93,212695,311461,-7.80615,54.0521,13614J
ANNADUFF MXD N S,AGHAMORE,CARRICK ON SHANNON,CO LEITRIM,Leitrim,CATHOLIC,N,69,83,152,203062,294750,-7.95341,53.9021,13656C
BALLAGHAMEEHAN N S,ROSSINVER,SLIGO,,Leitrim,CATHOLIC,N,8,7,15,192958,348121,-8.10839,54.3816,13908D
AUGHAVAS NS,CARAIGALLEN,CO LEITRIM,,Leitrim,CATHOLIC,Y,30,34,64,218544,300598,-7.71749,53.9543,14339S
DRUMEELA N S,CARRIGALLEN PO,CO LEITRIM,VIA CAVAN,Leitrim,CATHOLIC,Y,16,13,29,223114,307291,-7.64737,54.0143,14898I
ARDVARNEY MXD N S,DROMAHAIR,CO LEITRIM,,Leitrim,CATHOLIC,Y,24,16,40,184511,330277,-8.23748,54.2211,15116D
NAOMH CAILLIN,FIODHNACH FOXFIELD,CARRICK ON SHANNON,CO LEITRIM,Leitrim,CATHOLIC,N,66,55,121,210862,307742,-7.83427,54.0187,15194A
DRUMLEASE N S,DROMAHAIR,CO LEITRIM,,Leitrim,CATHOLIC,N,67,60,127,180854,331164,-8.29361,54.2289,15382B
GORTLETTERAGH CENTRAL,FORNOCHT,CARA DROMA RUISC,CO LEITRIM,Leitrim,CATHOLIC,N,39,37,76,212105,292162,-7.81592,53.8787,15960P
ST JOSEPHS N S,KILLENUMERY,DROMAHAIR,CO LEITRIM,Leitrim,CATHOLIC,N,37,29,66,180084,327295,-8.30516,54.1941,16130C
CARRIGALLEN N S,CARRIGALLEN,CO LEITRIM,,Leitrim,CATHOLIC,Y,76,50,126,223224,302798,-7.64603,53.9739,16474L
AUGHAWILLAN NS,GARADICE,CO LEITRIM,,Leitrim,CATHOLIC,N,15,15,30,217210,314005,-7.73706,54.0748,16932P
S N NA CRAOIBHELEITHE,DRUMKEERAN,CO LEITRIM,,Leitrim,CATHOLIC,Y,6,8,14,189391,328779,-8.16261,54.2077,16951T
DIFFEREEN N S,MANORHAMILTON,CO LEITRIM,,Leitrim,CATHOLIC,Y,20,16,36,179204,341704,-8.31964,54.3236,17125O
GLEBE N S,LARGY N S,KINLOUGH,CO LEITRIM,Leitrim,CATHOLIC,N,18,14,32,183925,344174,-8.24722,54.3459,17206O
MANORHAMILTON B N S,SCOIL SAN CLAR,MANORHAMILTON,LEITRIM,Leitrim,CATHOLIC,N,112,115,227,188987,339313,-8.16919,54.3024,17233R
S N NAOMH PADRAIG,TEARMON SPENCER HARBOUR,CARRICK-ON-SHANNON,CO LEITRIM,Leitrim,CATHOLIC,Y,10,20,30,194035,319867,-8.09125,54.1277,18139H
St. Hugh's N.S.,DOWRA,(via Carrick-on-Shannon),Co. Leitrim,Leitrim,CATHOLIC,N,28,18,46,199439,326325,-8.00859,54.1858,18181G
S N NAOMH MHUIRE,LECKANN,CO LEITRIM,,Leitrim,CATHOLIC,N,21,17,38,180985,336314,-8.29193,54.2752,18329M
S N NAOMH BRIGHID,COILL NA GCROS,CARRICK ON SHANNON,CO LEITRIM,Leitrim,CATHOLIC,N,38,28,66,202972,304090,-7.95469,53.986,18492A
S N MHIC DIARMADA,COILLTE CLOCHAIR,CO LEITRIM,,Leitrim,CATHOLIC,N,10,11,21,197699,345228,-8.03539,54.3556,18589P
