Official Name,Add_1,Add_2,Add_3,County,Ethos,DEIS,Number of Males in 2014,Number of Females in 2014,Total number of Students in 2014,xcoord,ycoord,Long,Lat,Roll_No
BORRIS MXD N S,BORRIS,CO CARLOW,,Carlow,CATHOLIC,N,100,94,194,273199,150324,-6.91956,52.5993,00651R
BALLYCONNELL N S,Ballyconnell,Tullow,Co Carlow,Carlow,CATHOLIC,N,80,79,159,292481,174367,-6.62828,52.8124,00977B
BAILE AN CHUILINN N S,MUINEBEAG,CO CARLOW,,Carlow,CATHOLIC,N,56,55,111,272463,155784,-6.92923,52.6485,01116A
NEWTOWN DUNLECKNEY MXD,MUINEBEAG,CO CARLOW,,Carlow,CATHOLIC,N,69,61,130,275959,164072,-6.87567,52.7225,01215C
RATHOE NS,RATHOE,CO CARLOW,,Carlow,CATHOLIC,N,92,86,178,281027,171359,-6.79887,52.7872,01415K
SCOIL NAIS MOLAISE,OLD LEIGHLIN,VIA BILBOA,CO CARLOW,Carlow,CATHOLIC,N,74,66,140,265307,165801,-7.03297,52.7394,02124E
SCOIL NAIS BHRIDE,GRANGE,TULLOW,CO CARLOW,Carlow,CATHOLIC,N,88,71,159,282120,176948,-6.78127,52.8373,04077I
SCOIL NAIS MHUIRE,DROIMFEIGH,BAGENALSTOWN,CO CARLOW,Carlow,CATHOLIC,N,53,47,100,278553,156943,-6.83898,52.6581,09320Q
ST MARYS N S,MUINEBEAG,CO CARLOW,,Carlow,CHURCH OF IRELAND,N,39,41,80,270371,161495,-6.95892,52.7001,11135K
ST BRIDGETS MONASTERY,MUINEBEAG,CO CARLOW,,Carlow,CATHOLIC,N,116,1,117,270696,161495,-6.95411,52.7,13105L
S N MUIRE LOURDES,TULLOW,CO CARLOW,,Carlow,CATHOLIC,N,0,217,217,285444,172887,-6.73301,52.8003,13507I
ST COLUMBAS N S,TULLOW,CO CARLOW,,Carlow,CHURCH OF IRELAND,N,30,35,65,285514,173275,-6.73187,52.8037,13607M
S N PEADAR AGUS POL,BALLON,CO CARLOW,,Carlow,CATHOLIC,N,142,139,281,283204,165930,-6.76798,52.7381,14837L
S N PHADRAIG NAOFA,PATRICIAN BROTHERS,TULLOW,CO CARLOW,Carlow,CATHOLIC,N,229,0,229,285520,173189,-6.7318,52.803,16080N
FR CULLEN MEMORIAL N S,TINRYLAND,CO CARLOW,,Carlow,CATHOLIC,N,81,89,170,274499,172123,-6.89544,52.795,16938E
BISHOP FOLEY MEMORIAL SCHOOL,Station Road,Co Carlow,,Carlow,CATHOLIC,N,268,0,268,272512,177195,-6.92377,52.8409,17053P
S N NMH FHINGIN,GARRYHILL,MUINEBHEAG,CO CARLOW,Carlow,CATHOLIC,Y,21,12,33,277649,159052,-6.85184,52.6771,17096K
ST JOSEPHS NS,HACKETSTOWN,CO CARLOW,,Carlow,CATHOLIC,Y,73,73,146,297277,180092,-6.55546,52.863,17127S
SCOIL N MOLING-GLYNN,ST MULLINS,KILKENNY,,Carlow,CATHOLIC,N,21,36,57,274201,139477,-6.9072,52.5017,17330P
SCOIL NAIS MHICHIL,BAILE NUA,BORRIS,CO CARLOW,Carlow,CATHOLIC,N,26,21,47,274418,144438,-6.9029,52.5463,17462J
ST BRENDANS N S,DRUMMOND,ST MULLINS,KILKENNY,Carlow,CATHOLIC,N,12,8,20,274710,136225,-6.90043,52.4724,17481N
Bennekerry National School,Bennekerry,Co Carlow,,Carlow,CATHOLIC,N,200,199,399,276212,176121,-6.86912,52.8307,17501Q
S N CLUAIN NA GALL,CLONEGAL,ENNISCORTHY,CO WEXFORD,Carlow,CATHOLIC,N,62,55,117,291401,161388,-6.64791,52.696,17514C
ST PATRICKS N S,RATHVILLY,CO CARLOW,,Carlow,CATHOLIC,N,96,95,191,288216,181805,-6.68951,52.8799,17663T
S N TREASA NAOMHA,CILL TEAGAIN,CO CILLE MANNTAIN,,Carlow,CATHOLIC,Y,32,33,65,293017,183185,-6.61781,52.8915,17669I
BALLINABRANNA MXD N S,MILFORD,CO CARLOW,,Carlow,CATHOLIC,N,83,85,168,268668,170962,-6.98213,52.7854,17756D
Our Lady's National School,Nurney,Carlow,Co Carlow,Carlow,CATHOLIC,N,22,22,44,273518,166934,-6.91115,52.7485,17796P
S N FHOIRTCHEIRN/FHININ,MIDHISEAL,CO CEATHARLACH,,Carlow,CATHOLIC,N,60,63,123,282544,160140,-6.77921,52.6862,17994T
SCOIL MUIRE GAN SMAL,ARD AITINN,CO CEATHARLACH,,Carlow,CATHOLIC,N,45,36,81,287428,167987,-6.70491,52.7559,18024N
S N CILL DAMHAIN,CILL DAMHAIN,INIS CORTHAIGH,CO LOCH GORMAN,Carlow,CATHOLIC,N,52,47,99,288933,160048,-6.68477,52.6844,18090D
QUEEN OF UNIVERSE N S,MUINEBHEAG,CO CARLOW,,Carlow,CATHOLIC,N,94,187,281,270129,161621,-6.96247,52.7012,18183K
S N MUIRE GAN SMAL,GREEN LANE,CARLOW,,Carlow,CATHOLIC,N,0,439,439,272633,176860,-6.92205,52.8378,18363M
SCOIL NAIS IOSEF NAOFA,CARLOW,CO CARLOW,,Carlow,CATHOLIC,N,164,1,165,272598,176948,-6.92255,52.8386,18424G
St Patrick's National School,Ballymurphy,Borris,Co Carlow (via Kilkenny),Carlow,CATHOLIC,N,24,27,51,277310,147230,-6.85962,52.571,18510W
S N FIONTAIN NAOFA,RATHMORE,TULLOW,CO CARLOW,Carlow,CATHOLIC,N,13,14,27,285279,179321,-6.73378,52.8581,18609S
S N CEATHARLACH,GREEN ROAD,CARLOW,,Carlow,CHURCH OF IRELAND,N,73,59,132,271992,175585,-6.93185,52.8265,18615N
HOLY FAMILY B N S,ASKEA,CARLOW,CO CARLOW,Carlow,CATHOLIC,Y,385,0,385,273297,176670,-6.91224,52.836,19477J
Holy Family Girls N S,ASKEA,CARLOW,CO CARLOW,Carlow,CATHOLIC,Y,0,371,371,273325,176589,-6.91185,52.8353,19478L
ST LASERIANS MXD NS,LEIGHLINBRIDGE,CO CARLOW,,Carlow,CATHOLIC,N,95,83,178,269499,165370,-6.971,52.735,19784S
GAELSCOIL EOGHAIN UÍ THUAIRISC,Garrán na Fuinseoige,Ceatharlach,,Carlow,CATHOLIC,N,219,260,479,273395,175932,-6.91096,52.8294,19811S
S.N. NAOMH FHIACH,GRAIGUECULLEN,CO CARLOW,,Carlow,CATHOLIC,N,268,248,516,271106,176780,-6.94473,52.8373,19958C
Carlow Educate Together NS,Bestfield,Athy Road,Carlow Town,Carlow,MULTI DENOMINATIONAL,Y,99,77,176,270598,177131,-6.95219,52.8405,20295K
KILNALECK MIXED N S,KILNALECK,CO CAVAN,,Cavan,CATHOLIC,Y,40,31,71,244694,290228,-7.32065,53.8595,01356U
BAILIEBORO MODEL N S,BAILIEBORO,CO CAVAN,,Cavan,CHURCH OF IRELAND,N,52,37,89,267435,296887,-6.97357,53.9169,05627W
St Patrick's NS,Corlough,Belturbet,C/O Belturbet Post Office,Cavan,CATHOLIC,Y,25,19,44,213643,318831,-7.79134,54.1183,06998Q
S N MHUIRE,MUILEANN LARAINN,SWANLINBAR,CO CAVAN,Cavan,CATHOLIC,Y,32,28,60,219258,326916,-7.70495,54.1908,08143P
S N CRUABANAI,CRUABANAI,CO CAVAN,,Cavan,CATHOLIC,N,88,69,157,244571,301985,-7.32081,53.9652,08453H
ST CLARES PRIMARY SCHOOL,CAVAN,CO CAVAN,,Cavan,CATHOLIC,Y,115,384,499,242225,304903,-7.35615,53.9916,08490N
MILLTOWN N S,BELTURBET,CO CAVAN,,Cavan,CATHOLIC,N,58,47,105,234408,312922,-7.47443,54.0642,08948L
CORLISS N S,KILLESHANDRA,CO CAVAN,,Cavan,CATHOLIC,N,7,17,24,233039,302950,-7.49642,53.9747,10146K
KILLESHANDRA National School ( C of I),KILLESHANDRA,CO CAVAN,,Cavan,CHURCH OF IRELAND,N,33,29,62,230978,307164,-7.52741,54.0127,11205F
BALLYCONELL CENTRAL N S,BALLYCONNELL,CO CAVAN,,Cavan,CHURCH OF IRELAND,N,19,11,30,227006,318767,-7.58697,54.1172,11409V
CAVAN 1 N S,CAVAN,CO CAVAN,,Cavan,CHURCH OF IRELAND,N,38,41,79,241842,304726,-7.36202,53.99,11517B
DROMAILI S N,CAVAN,CO CAVAN,,Cavan,CATHOLIC,N,134,104,238,240443,306138,-7.38316,54.0028,11541V
BILLIS N S,NEW INN,BALLYJAMESDUFF,CO CAVAN,Cavan,CHURCH OF IRELAND,N,45,46,91,256245,293373,-7.14452,53.8867,12099O
DARLEY N S,COOTEHILL,CO CAVAN,,Cavan,CHURCH OF IRELAND,N,45,38,83,259843,314487,-7.08566,54.076,12312L
CORRATOBER N S,ARVA,CO CAVAN,,Cavan,CATHOLIC,N,10,8,18,229273,294729,-7.55461,53.9011,12713G
ST PATRICKS MXD N S,GOWNA,CO CAVAN,,Cavan,CATHOLIC,N,56,48,104,230665,291702,-7.53374,53.8738,13203L
FAIRGREEN N S,BELTURBET,CO CAVAN,,Cavan,CHURCH OF IRELAND,N,26,16,42,236445,316779,-7.44285,54.0987,13271F
CASTLETARA N S,BALLYHAISE,CO CAVAN,,Cavan,CATHOLIC,N,73,48,121,246504,309267,-7.29024,54.0304,14073G
S N LATHRACH 2,KINGSCOURT,CO CAVAN,,Cavan,CATHOLIC,N,66,54,120,274865,295421,-6.86086,53.9027,14211P
CORLEA N S,KINGSCOURT,CO CAVAN,,Cavan,CATHOLIC,N,16,10,26,274039,300029,-6.87231,53.9442,14320U
SEARCOG I N S,SHERCOCK,VIA DUNDALK,CO CAVAN,Cavan,CATHOLIC,N,86,97,183,272663,305342,-6.892,53.9922,14336M
KILLYGARRY N S,KILLYGARRY,CO CAVAN,,Cavan,CATHOLIC,N,95,95,190,245599,304329,-7.30479,53.9862,14399N
SCOIL BHRIDE,MOUNTNUGENT,CO CAVAN,,Cavan,CATHOLIC,N,56,73,129,249231,285300,-7.25248,53.8149,14732U
KILLYCONNAN N S,STRADONE,CO CAVAN,,Cavan,CATHOLIC,N,47,47,94,248761,301767,-7.257,53.9629,15120R
KILDALLON N S,ARDLOUGHER,BELTURBET,CO CAVAN,Cavan,CATHOLIC,N,25,27,52,229472,313032,-7.54981,54.0655,15452T
KILLINKERE N S,VIRGINIA,CO CAVAN,,Cavan,CATHOLIC,N,91,95,186,261279,293362,-7.06796,53.886,15502I
CONVENT OF MERCY N S,BELTURBET,CO CAVAN,,Cavan,CATHOLIC,N,34,116,150,236262,316964,-7.44563,54.1004,16057S
VIRGINIA MXD N S,VIRGINIA,CO CAVAN,,Cavan,CATHOLIC,N,203,181,384,260905,287700,-7.07477,53.8352,16083T
BALLYCONNELL MXD N S,BALLYCONNELL,CO CAVAN,,Cavan,CATHOLIC,N,70,63,133,227405,318357,-7.5809,54.1135,16093W
ST MARYS N S,ARVA,CO CAVAN,,Cavan,CATHOLIC,N,62,56,118,227583,296978,-7.58012,53.9214,16316Q
SCOIL BHRIDE,KILLSHANDRA,CO CAVAN,,Cavan,CATHOLIC,N,46,42,88,231118,306486,-7.52534,54.0066,16390F
ST MARY'S N.S.,DRUNG,BALLYHAISE,CO CAVAN,Cavan,CATHOLIC,N,24,32,56,250944,310589,-7.22226,54.0419,16520P
CORONEA N S,ARVA,CO CAVAN,,Cavan,CATHOLIC,N,17,15,32,231340,298854,-7.52274,53.938,16767D
S N BEAL ATHA NA NEACH,BALLINAGH,CO CAVAN,,Cavan,CATHOLIC,N,115,104,219,238579,298192,-7.41259,53.9316,16921K
S N CORRABHA,GLANGEVLIN N S,CARRICK ON SHANNON,CO LEITRIM,Cavan,CATHOLIC,N,12,11,23,204966,327372,-7.92391,54.1952,16959M
SCOIL NAOMH BRID,"CILL UACHTAIR,","AN CNOC RUA,",CO. AN CHABHAIN.,Cavan,CATHOLIC,N,40,36,76,244914,315374,-7.3136,54.0855,17230L
S N TAMHNACH DHUIBH,BAILIEBORO,CO CAVAN,,Cavan,CATHOLIC,N,51,38,89,261808,301526,-7.05827,53.9593,17240O
S N NAOMH FEIDHLIM,CAVAN,CO CAVAN,,Cavan,CATHOLIC,Y,224,3,227,241791,304810,-7.36278,53.9908,17326B
S N NAOMH MAODHOG,CILL NA BHEART,BEAL ATHA CONAILL,CO CAVAN,Cavan,CATHOLIC,N,50,29,79,223896,315804,-7.63477,54.0907,17440W
SCOIL MHUIRE,LACKEN,BALLINAGH,CO CAVAN,Cavan,CATHOLIC,Y,47,45,92,236935,296511,-7.43782,53.9166,17479D
BAILE NA MONA,BAILIEBORO,CO CAVAN,,Cavan,CATHOLIC,N,59,51,110,268864,294673,-6.95232,53.8968,17531C
S N DOIRE NA CEISE,AN MHUINCHILLE,CO CAVAN,,Cavan,CATHOLIC,N,60,85,145,262881,309410,-7.0403,54.03,17601U
CNOC AN TEAMPAILL,VIRGINIA,CO CAVAN,,Cavan,CATHOLIC,N,97,75,172,260114,284158,-7.08748,53.8035,17625L
S N MAODHOG,CNOC BRIGHDE,BAILIEBORO,CO CAVAN,Cavan,CATHOLIC,N,24,22,46,265998,304733,-6.99375,53.9876,17630E
BALLYHAISE N S,CAVAN,CO CAVAN,,Cavan,CATHOLIC,N,62,71,133,244623,310845,-7.31872,54.0448,17780A
S N DROM CNAMH,DROM CNAMH,CO CAVAN,,Cavan,CATHOLIC,N,24,17,41,244417,305505,-7.32264,53.9968,17990L
BAILIEBORO N S,BAILIEBORO,CO CAVAN,,Cavan,CATHOLIC,N,135,142,277,267409,296758,-6.974,53.9158,18059J
S N MHUIRE,BELTURBET,CO CAVAN,,Cavan,CATHOLIC,N,74,0,74,236465,316694,-7.44256,54.098,18127A
S N PADRAIG,LIOS BO DUIBHE,AN MHUINCHILLE,CO CAVAN,Cavan,CATHOLIC,N,27,21,48,250734,313983,-7.2249,54.0724,18340A
S N GREACH RATHAIN,BEAL TAIRBEIRT,CO CAVAN,,Cavan,CATHOLIC,N,30,31,61,230560,316646,-7.53283,54.0979,18346M
KNOCKNAGILLA N S,AN SRAITH DOIMHIN,CO CAVAN,,Cavan,CATHOLIC,N,57,52,109,251287,298652,-7.21904,53.9346,18355N
S N CILLIN,CROS RIABHACH,MULLACH,CEANNANUS MOR,Cavan,CATHOLIC,N,44,27,71,265046,289851,-7.01142,53.854,18393V
S N CORR LORGAN,CABHAN,CO CAVAN,,Cavan,CATHOLIC,N,56,40,96,242151,301420,-7.35776,53.9603,18518P
S N LEITIR,CILL CATHLAIGH,CO CAVAN,,Cavan,CATHOLIC,N,84,92,176,264986,298015,-7.0106,53.9274,18564W
S N LATHRACH,LATHRACH,SRAITH AN DOMHAIN,CO AN CHABHAIN,Cavan,CATHOLIC,N,59,64,123,251480,305159,-7.215,53.9931,18833A
S N CARRAIG A BRUIS,VIRGINIA,CO CAVAN,,Cavan,CATHOLIC,N,64,72,136,263800,284012,-7.03157,53.8017,18857O
DRUMKILLY NS,KILNALECK,CO CAVAN,,Cavan,CATHOLIC,N,58,67,125,243237,293637,-7.34232,53.8903,19202Q
KILL N S,COOTEHILL,CO CAVAN,,Cavan,CATHOLIC,N,29,35,64,257828,310006,-7.11729,54.0359,19285A
KILMORE CENTRAL N S,KILMORE CENTRAL N S,KILMORE,CO CAVAN,Cavan,CHURCH OF IRELAND,N,37,21,58,238064,302676,-7.41987,53.9719,19322D
BUTLERSBRIDGE NS,CAVAN,CO CAVAN,,Cavan,CATHOLIC,N,93,93,186,240920,310927,-7.37524,54.0458,19326L
MULLAHORAN CENTRAL N S,KILCOGY,VIA LONGFORD,CO CAVAN,Cavan,CATHOLIC,Y,68,82,150,237295,287887,-7.43339,53.8391,19363R
BALLYNARRY N S,BALLYHEELAN,KILNALECK,CO CAVAN,Cavan,CATHOLIC,N,55,34,89,242963,287741,-7.34731,53.8374,19378H
CASTLERAHAN CENTRAL NS,CASTLERAHAN,BALLYJAMESDUFF,CO CAVAN,Cavan,CATHOLIC,N,73,81,154,254065,286013,-7.17897,53.8208,19418Q
CROSSKEYS CENTRAL N S,CROSSKEYS,CO CAVAN,,Cavan,CATHOLIC,N,59,71,130,248382,296933,-7.26354,53.9195,19432K
CABRA CENTRAL N S,CABRA,KINGSCOURT,CO CAVAN,Cavan,CHURCH OF IRELAND,N,25,35,60,278127,297437,-6.81073,53.9204,19527V
ST PATRICKS,BRUSKEY CARRIGANS PO,BALLINAGH,CO CAVAN,Cavan,CATHOLIC,N,24,33,57,238996,293077,-7.40689,53.8856,19568M
CROSSERLOUGH N S,CROSSERLOUGH,CO. CAVAN,,Cavan,CATHOLIC,N,56,67,123,246884,292072,-7.28708,53.8759,19596R
ST KILLIANS N S,MULLAGH,CO CAVAN,,Cavan,CATHOLIC,N,196,172,368,268884,285304,-6.95412,53.8127,19608V
S N AODHAIN NAOFA,AN BABHUN BUI,BEAL TAIRBIRT,CO AN CHABHAIN,Cavan,CATHOLIC,N,42,21,63,221077,318868,-7.67764,54.1184,19679V
ST PATRICKS N S,KILLINAGH,BLACKLION  VIA SLIGO,CO CAVAN,Cavan,CATHOLIC,N,34,37,71,205536,337352,-7.91499,54.2849,19871N
DRUNG NO 2 NS,DRUNG,CO CAVAN,,Cavan,CHURCH OF IRELAND,N,19,17,36,250303,310718,-7.23203,54.0431,19921C
ST CLARES NS,BALLYJAMESDUFF,CO CAVAN,,Cavan,CATHOLIC,N,212,222,434,252725,290999,-7.19846,53.8657,19983B
Gaelscoil Bhreifne,Halla na nGasóga,Bóthar an Iarnróid,An Cábhán,Cavan,MULTI DENOMINATIONAL,N,18,10,28,241656,304884,-7.36483,53.9915,20026G
ST MICHAELS N. S.,STRADONE,CAVAN,CO  CAVAN,Cavan,CATHOLIC,N,36,30,66,254140,301451,-7.1751,53.9595,20134J
ST JOSEPHS N S,KINGSCOURT,CO CAVAN,,Cavan,CATHOLIC,N,217,179,396,278597,295309,-6.80412,53.9012,20172R
St Michaels National School,Cootehill,Co Cavan,,Cavan,CATHOLIC,Y,109,77,186,260627,314280,-7.07372,54.074,20277I
S N MHUIRE,FEAKLE,CO CLARE,,Clare,CATHOLIC,N,34,35,69,156382,186087,-8.64861,52.9239,02439G
TOONAGH N S,TOONAGH,ENNIS,CO CLARE,Clare,CATHOLIC,N,48,63,111,130426,182614,-9.03379,52.8899,03898U
MULLACH N S,MULLACH,ENNIS,CO CLARE,Clare,CATHOLIC,Y,27,31,58,104321,172978,-9.41874,52.7994,03928D
SCOIL SEANAIN NAOFA,CLUAINLARA,CO AN CHLAIR,,Clare,CATHOLIC,N,181,159,340,162600,163750,-8.5536,52.7236,04548V
CRATLOE N S,CRATLOE,CO CLARE,,Clare,CATHOLIC,N,124,147,271,148977,161133,-8.75482,52.699,04919H
O CALLAGHANS MILLS N S,OCALLAGHANS MILLS,CO CLARE,,Clare,CATHOLIC,N,25,35,60,154753,176784,-8.67154,52.8402,05253H
HOLY FAMILY SNR,ENNIS,CO CLARE,,Clare,CATHOLIC,Y,164,201,365,133925,177182,-8.9807,52.8416,07315N
ROCKMOUNT MIXED N S,MILTOWN MALBAY,CO CLARE,,Clare,CATHOLIC,N,28,21,49,109322,180570,-9.34671,52.8684,09390O
RINEEN N S,MILTOWN MALBAY,CO CLARE,,Clare,CATHOLIC,N,25,18,43,106561,183081,-9.38842,52.8905,09425H
S N CUIBHREANN,CILL CHAOI,CO AN CHLAIR,,Clare,CATHOLIC,N,11,9,20,91974,154947,-9.59582,52.6351,10568N
BOSTON N S,TUBBER,GORT,CO GALWAY,Clare,CATHOLIC,N,8,12,20,137472,198241,-8.93212,53.0312,10763L
TUBBER N S,TUBBER,CO CLARE,,Clare,CATHOLIC,N,9,11,20,140007,193609,-8.89348,52.9899,10886E
CLOHANBEG N S,CREE,KILRUSH,CO. CLARE,Clare,CATHOLIC,N,16,13,29,106196,168727,-9.38973,52.7615,11234M
BANSHA N S,KILKEE,CO CLARE,,Clare,CATHOLIC,N,34,22,56,92562,161860,-9.58939,52.6973,11714D
DOONBEG N S,DOONBEG,CO CLARE,,Clare,CATHOLIC,N,16,19,35,96773,165537,-9.52827,52.7311,11765U
BODYKE N S,BODYKE,CO CLARE,,Clare,CATHOLIC,N,14,10,24,159867,181450,-8.59622,52.8825,11990E
COOLMEEN N S,KILMURRAY MCMAHON,KILRUSH,CO CLARE,Clare,CATHOLIC,N,7,9,16,117983,157176,-9.21226,52.6596,12633I
DOONAHA N S,KILKEE,CO CLARE,,Clare,CATHOLIC,Y,6,9,15,88457,153667,-9.64732,52.6228,12848G
S N PADRAIG NFA FANOIR,BALLYVAUGHAN,CO CLARE,,Clare,CATHOLIC,N,11,9,20,114077,208117,-9.28343,53.1167,13379C
BALLYEA MIXED N S,SN  BAILE AODHA,DARRAGH,ENNIS,Clare,CATHOLIC,N,102,91,193,130579,170758,-9.02899,52.7834,13418J
DROIMDIOGACH N S,KILLMURRY MC MAHON,CO CLARE,,Clare,CATHOLIC,N,18,24,42,111316,157681,-9.31091,52.6631,13478E
KILNAMONA N S,ENNIS,CO CLARE,,Clare,CATHOLIC,N,66,49,115,127416,180168,-9.07796,52.8676,13625O
CLOHANES N S,MULLACH,CO CLARE,,Clare,CATHOLIC,N,17,24,41,100424,169538,-9.47546,52.7678,13730L
BURRANE N S,KILRUSH,CO CLARE,,Clare,CATHOLIC,N,32,38,70,108057,153546,-9.35792,52.6254,13738E
S N NA CRANNAIGHE,CRANNACH,CILL ROIS,CO CLARE,Clare,CATHOLIC,N,12,14,26,117269,160895,-9.22375,52.6929,13804O
KILMIHIL N.S.,KILMIHIL,ENNIS,CO CLARE,Clare,CATHOLIC,N,54,50,104,110920,164290,-9.31855,52.7224,13826B
KILKISHEN N S,SN MUIRE NA D CHOMHAIRL,CILL  CHISIN,ENNIS,Clare,CATHOLIC,N,44,60,104,149964,172877,-8.74201,52.8046,13870E
MOVEEN N S,KILKEE,CO CLARE,,Clare,CATHOLIC,N,35,34,69,86047,155978,-9.68369,52.6431,13876Q
S N CILL MUIRE,INIS,CO CLARE,,Clare,CATHOLIC,N,80,58,138,147218,169951,-8.78226,52.7781,13942D
CROSS N S,KILRUSH,CO CLARE,,Clare,CATHOLIC,N,12,13,25,79757,151179,-9.77484,52.5986,14111L
KILMALEY N S,ENNIS,CO CLARE,,Clare,CATHOLIC,N,61,64,125,125218,174911,-9.10939,52.82,14468G
TOMGRANEY N S,TOMGRANEY,LIMERICK,,Clare,CATHOLIC,N,46,48,94,163627,183100,-8.54055,52.8976,14571W
EIDHNEACH N S,INIS,CO CLARE,,Clare,CATHOLIC,N,81,56,137,120664,181338,-9.17849,52.8771,14622N
S N MHAINISTIR CHUINCHE,QUIN,CO CLARE,,Clare,CATHOLIC,N,131,141,272,142024,174341,-8.86001,52.817,14757N
BAREFIELD MIXED N S,ENNIS,CO CLARE,,Clare,CATHOLIC,N,205,179,384,136518,182572,-8.94327,52.8903,14830U
ENNIS N S,ENNIS,CO CLARE,,Clare,CATHOLIC,N,302,289,591,133520,177128,-8.9867,52.841,15042A
ANNAGH N S,MILTOWN MALBAY,CO CLARE,,Clare,CATHOLIC,Y,51,27,78,104696,175463,-9.4139,52.8218,15221A
CLOONEY N S,CLOONEY NS,TULLA,ENNIS,Clare,CATHOLIC,N,52,47,99,142037,180339,-8.86088,52.8709,15279I
KILDYSART N S,ENNIS ROAD,KILDYSART,CO CLARE,Clare,CATHOLIC,N,75,76,151,125446,159060,-9.1024,52.6776,15301V
STONEHALL N S,NEWMARKET ON FERGUS,CO CLARE,,Clare,CATHOLIC,N,55,55,110,138560,164136,-8.90947,52.7249,15350L
KILLALOE BOYS N S,KILLALOE,CO CLARE,,Clare,CATHOLIC,N,118,0,118,170056,172640,-8.44405,52.804,15370R
CONNOLLY N S,ENNIS,CO CLARE,,Clare,CATHOLIC,N,22,24,46,120460,176113,-9.18025,52.8302,15408Q
LAKYLE N S,WHITEGATE VIA LIMERICK,CO CLARE,,Clare,CATHOLIC,N,26,26,52,175710,189185,-8.36144,52.9529,15981A
INCH N S,ENNIS,CO CLARE,,Clare,CATHOLIC,N,52,58,110,128691,175123,-9.05792,52.8224,16186G
BUNSCOIL NA MBRAITHRE,ENNIS,CO CLARE,,Clare,CATHOLIC,N,350,296,646,134191,177899,-8.9769,52.8481,16677C
SIXMILEBRIDGE N S,ENNIS,CO CLARE,,Clare,CATHOLIC,N,265,227,492,147472,166073,-8.77787,52.7432,16908S
SCOIL AN SRAITH  S N,TULACH BRACH,CILL ROIS,CO AN CHLAIR,Clare,CATHOLIC,N,15,7,22,99067,162414,-9.49337,52.7035,16930L
SN AN PHAIRTIN MIXED,PARTEEN,CO LIMERICK,,Clare,CATHOLIC,N,183,185,368,158470,160579,-8.61432,52.6948,16946D
QUILTY NS,QUILTY,ENNIS,CO CLARE,Clare,CATHOLIC,Y,23,23,46,101958,174237,-9.45414,52.8103,17020A
CLARECASTLE NATIONAL SCHOOL,INIS,CO CLARE,,Clare,CATHOLIC,N,191,192,383,134620,174409,-8.96983,52.8167,17026M
S N CLUAIN AN ATHA,EIDHNEACH,INIS,CO CLARE,Clare,CATHOLIC,N,12,17,29,114292,180363,-9.27287,52.8674,17246D
S N COLM CILLE,INIS DIOMAIN,CO CLARE,,Clare,CATHOLIC,N,20,21,41,117387,187493,-9.22872,52.9319,17270A
DOOLIN MIXED N S,ENNIS,CO CLARE,,Clare,CATHOLIC,N,40,32,72,107975,196670,-9.37128,53.0129,17517I
OGONNELLOE NATIONAL SCHOOL,OGONNELLOE,TUAMGRANEY,SCARIFF,Clare,CATHOLIC,N,57,48,105,169181,180208,-8.45774,52.8719,17563P
S N CNOC AN EIN,INIS,CO CLARE,,Clare,CATHOLIC,N,136,142,278,137487,178553,-8.9281,52.8543,17583V
S N EOIN BAISTE,BALLYVAUGHAN,VIA GALWAY,CO CLARE,Clare,CATHOLIC,N,23,19,42,122761,207661,-9.15364,53.1139,17633K
S N TULACH CRUINN,CILL RUIS,CO CLARE,,Clare,CATHOLIC,N,13,5,18,108683,160790,-9.35069,52.6906,17687K
S N NA MAIGHDINE MUIRE,BROADFORD,CO CLARE,,Clare,CATHOLIC,N,67,58,125,157370,172678,-8.63217,52.8035,17801F
COORACLARE B N S,CILL ROIS,CO CLARE,,Clare,CATHOLIC,N,55,54,109,103970,162497,-9.42087,52.7051,17816S
KILNABOY N S,ENNIS,CO CLARE,,Clare,CATHOLIC,N,39,51,90,127533,191776,-9.07881,52.9719,17832Q
S N AIBHISTIN NAOFA,CILL SEANAIGH,INIS,CO AN CHLAIR,Clare,CATHOLIC,N,16,13,29,112662,193284,-9.30054,52.9832,17847G
S N IOSEP NAOFA,BROADFORD,VIA LIMERICK,CO CLARE,Clare,CATHOLIC,N,4,2,6,161880,172745,-8.5653,52.8044,17898A
ENNIS CONVENT INF N S,ENNIS,CO CLARE,,Clare,CATHOLIC,Y,109,100,209,133938,177253,-8.98052,52.8422,17957N
S N CLUAIN MUINGE,CLONMONEY,NEWMARKET-ON-FERGUS,CO CLARE,Clare,CATHOLIC,N,79,72,151,143532,163113,-8.83571,52.7162,18032M
S N INIS CEALTRACH,MOUNTSHANNON,CO. CLARE,VIA LIMERICK,Clare,CATHOLIC,N,36,29,65,170355,186944,-8.44092,52.9325,18109V
S N AN CHRIOCH,AN CHRIOCH,CO AN CHLAIR,,Clare,CATHOLIC,N,16,25,41,103421,167136,-9.43036,52.7467,18168O
S N CRONAIN NFA AN CARN,INIS,CO CLARE,,Clare,CATHOLIC,N,9,12,21,127927,199076,-9.07457,53.0375,18190H
S N MHUIRE MILIUC,LUIMNEACH,CO LUIMNI,,Clare,CATHOLIC,N,75,73,148,154483,160813,-8.67333,52.6966,18225A
SCOIL MHUIRE NAISIUNTA,CORA  FINNE,CO AN CHLAIR,,Clare,CATHOLIC,N,65,68,133,128880,188753,-9.0581,52.9449,18227E
