Official Name,Add_1,Add_2,Add_3,County,Ethos,DEIS,Number of Males in 2014,Number of Females in 2014,Total number of Students in 2014,xcoord,ycoord,Long,Lat,Roll_No
OUR LADY ASSUMPTION BNS,SIURACHA NA CARTHANACHA,BAILE UAILCIN,BAILE ATHA CLIATH 12,Dublin,Catholic,N,236,0,236,311176,231600,-6.33134,53.323,18171D
S N AN PHAROISTE,FINGLAS,DUBLIN 11,,Dublin,CHURCH OF IRELAND,N,32,33,65,312922,238893,-6.30255,53.3881,18205R
SN PAROISTE MAITIU NFA,CRANFIELD PLACE,SANDYMOUNT,DUBLIN 4,Dublin,CHURCH OF IRELAND,N,106,101,207,318542,233348,-6.22019,53.3371,18282M
SCOIL BHREANDAIN,COOLOCK,DUBLIN 5,,Dublin,Catholic,Y,159,0,159,320073,238615,-6.19521,53.3841,18360G
S N CAITRIONA C,COOLOCK,DUBLIN 5,,Dublin,Catholic,Y,0,184,184,319941,238691,-6.19717,53.3848,18361I
S N CAITRIONA NAIONAIN,COOLOCK,DUBLIN 5,,Dublin,Catholic,Y,94,129,223,319972,238709,-6.1967,53.3849,18362K
MARIST NATIONAL SCHOOL,CLOGHER ROAD,CRUMLIN,DUBLIN 12,Dublin,Catholic,Y,87,220,307,313769,231977,-6.2923,53.3258,18386B
OUR LADY OF ASSUMPTION,SIURACHA NA CARTHANACHA,BAILE UAILCIN,BAILE ATHA CLIATH 12,Dublin,Catholic,N,0,238,238,311143,231629,-6.33183,53.3233,18455R
SCOIL NA MBRATHAR,FRANCIS STREET,DUBLIN 8,,Dublin,Catholic,Y,130,0,130,315044,233719,-6.27254,53.3412,18477E
SN BANRION NA NAINGEAL1,BALLYFERMOT,DUBLIN 10,,Dublin,Catholic,Y,128,0,128,309193,234137,-6.36022,53.3462,18585H
S N EOIN BOSCO NAI BUAC,NAVAN RD,DUBLIN 7,,Dublin,Catholic,N,257,0,257,312248,236650,-6.31347,53.3681,18632N
SPRINGDALE N S,SPRINGDALE NS,LOUGH DERG RD,RAHENY,Dublin,CHURCH OF IRELAND,N,106,78,184,321186,238421,-6.17857,53.3821,18646B
ST CANICES B N S,FINGLAS,DUBLIN 11,,Dublin,Catholic,Y,431,0,431,313682,239008,-6.29108,53.389,18682F
ST CANICES G N S,FINGLAS,DUBLIN 11,,Dublin,Catholic,Y,0,418,418,313367,239027,-6.29581,53.3892,18683H
S N SEOSAMH NA MBRATHAR,FAIRVIEW,DUBLIN 3,,Dublin,Catholic,Y,167,0,167,317635,236284,-6.23271,53.3637,18726W
S N BRIGHDE,CULLENSWOOD HOUSE,BR FEADHA CUILINN,RAGHNALLACH,Dublin,Catholic,N,198,231,429,316181,231568,-6.25627,53.3216,18817C
BAINRION NA N-AINGAL 2,BALLYFERMOT UPPER,DUBLIN 10,,Dublin,Catholic,Y,101,0,101,309148,234143,-6.36089,53.3463,18843D
BANTIARNA NA MBUANNA B,BAILE MUNNA,DUBLIN 9,,Dublin,Catholic,Y,185,0,185,315345,238989,-6.26611,53.3885,18910P
BANTIARNA NA MBUANNA G,BAILE MUNNA,DUBLIN 9,,Dublin,Catholic,Y,0,155,155,315264,239027,-6.26731,53.3888,18911R
ST MALACHYS B N S,EDENMORE,RAHENY,DUBLIN 5,Dublin,Catholic,Y,217,0,217,321101,239074,-6.17959,53.3879,18968A
ST EITHNES SENIOR G N S,EDENMORE,RAHENY,DUBLIN 5,Dublin,Catholic,Y,0,135,135,321083,239222,-6.17981,53.3893,18969C
EOIN BAISDE B SOIS,SEAFIELD RD,CLONTARF,DUBLIN 3,Dublin,Catholic,N,327,0,327,320068,236294,-6.19617,53.3632,19006Q
EOIN BAISDE C NAOIDH,SEAFIELD ROAD,CLONTARF,DUBLIN 3,Dublin,Catholic,N,0,259,259,319916,236314,-6.19844,53.3634,19007S
ST JOSEPHS G N S,BARRY AVENUE,FINGLAS WEST,DUBLIN 11,Dublin,Catholic,Y,0,196,196,312515,239736,-6.30836,53.3958,19015R
ST MONICAS N S,EDENMORE,RAHENY,DUBLIN 5,Dublin,Catholic,Y,0,65,65,321096,239206,-6.17962,53.3891,19037E
ST KEVINS B N S,BARRY AVENUE,FINGLAS NORTH-WEST,DUBLIN 11,Dublin,Catholic,Y,173,0,173,312480,239642,-6.30892,53.3949,19197D
HOLY SPIRIT B N S,SILLOGE RD,BAILE MUNNA,ATHA CLIATH 11,Dublin,Catholic,Y,338,0,338,315137,239790,-6.26894,53.3957,19208F
SN AN SPIORAID NAIOMH C,SILLOGUE RD,BALLYMUN,DUBLIN 11,Dublin,Catholic,Y,0,273,273,315058,239755,-6.27014,53.3954,19209H
OUR LADY OF VICTORIES INFANT N S,BALLYMUN ROAD,DUBLIN 9,,Dublin,Catholic,Y,122,124,246,315376,238991,-6.26564,53.3885,19242F
CROMCASTLE GREEN B N S,KILMORE RD WEST,ARTANE,DUBLIN 5,Dublin,Catholic,Y,218,0,218,318461,239785,-6.21899,53.3949,19297H
SCOIL NAIS IDE CAILINI,KILMORE ROAD WEST,ARTANE,DUBLIN 5,Dublin,Catholic,Y,0,185,185,318459,239752,-6.21903,53.3946,19298J
SN NA MAIGHDINE MUIRE B,BALLYMUN,DUBLIN 9,,Dublin,Catholic,Y,131,0,131,315766,239780,-6.25949,53.3955,19302U
NA MAIGHDINE MHUIRE,SHANGAN ROAD,BALLYMUN,DUBLIN 9,Dublin,Catholic,Y,0,127,127,315727,239787,-6.26007,53.3955,19303W
ST BRIGIDS BOYS N S,HOWTH ROAD,KILLESTER,DUBLIN 5,Dublin,Catholic,N,387,0,387,320151,237562,-6.19444,53.3746,19308J
SCOIL NEASAIN,BAILE HARMAIN,BAILE ATH CLIATH 5,,Dublin,Catholic,N,126,125,251,320063,238374,-6.19545,53.3819,19309L
SCOIL MOBHI,BOTHAR MOBHI,GLASNAOIN,BAILE ATHA CLIATH 9,Dublin,Catholic,N,124,135,259,315643,237299,-6.26225,53.3732,19395H
HOLY TRINITY SEN N S,GRANGE ROAD,DONAGHMEDE,DUBLIN 13,Dublin,Catholic,N,179,149,328,322403,240121,-6.15963,53.397,19406J
SCOIL AN TSEACHTAR LAOCH,BALLYMUN ROAD,DUBLIN 11,,Dublin,Catholic,Y,106,104,210,315485,239434,-6.26384,53.3924,19430G
ST JOSEPHS JNR,BALCURRIS,BALLYMUN,DUBLIN 11,Dublin,Catholic,Y,73,71,144,315088,240365,-6.26947,53.4009,19431I
DARNDALE NS JUNIOR,OUR LADY IMMAC JUN NS,DARNDALE,MALAHIDE ROAD,Dublin,Catholic,Y,113,95,208,320207,240517,-6.19248,53.4011,19454U
ST PAULS JUNIOR NATIONAL SCHOOL,AYRFIELD,MALAHIDE RD,DUBLIN 13,Dublin,Catholic,N,131,102,233,320878,239824,-6.18266,53.3947,19471U
SCOIL BHRIDE,DONAGHMEDE,DUBLIN 13,,Dublin,Catholic,N,175,168,343,322370,240109,-6.16013,53.3969,19473B
ST PATRICKS,ST PATRICKS CLOSE,DUBLIN 8,,Dublin,CHURCH OF IRELAND,N,20,9,29,315163,233464,-6.27085,53.3389,19480V
SN NAOMH FINNIN,GLENTIES PARK,RIVERMOUNT,FINGLAS SOUTH,Dublin,Catholic,Y,149,79,228,312370,238017,-6.31115,53.3804,19489Q
SCOIL FHIACHRA SOISIR,BEAUMONT,DUBLIN 5,,Dublin,Catholic,N,358,328,686,318038,238890,-6.22568,53.387,19496N
OUR LADY IMMAC SEN N S,OUR LADY IMMAC SEN NS,DARNDALE,DUBLIN 17,Dublin,Catholic,Y,133,105,238,320208,240569,-6.19244,53.4016,19524P
ST KEVINS JUNIOR N S,NEWBROOK AVE,DONAGHMEDE,DUBLIN 13,Dublin,Catholic,N,53,50,103,322589,240047,-6.15686,53.3963,19538D
ST OLIVER PLUNKETT N S,ST OLIVER PLUNKETT NS,ST HELENAS DRIVE,FINGLAS,Dublin,Catholic,Y,91,57,148,313187,238175,-6.29882,53.3816,19546C
ST JOSEPHS SENIOR N S,ST JOSEPHS SENIOR NS,BALCURRIS,BALLYMUN,Dublin,Catholic,Y,59,70,129,314989,240391,-6.27094,53.4011,19583I
GAELSCOIL INSE CHOR,DROICHEAD NA HINSE,BAILE ATHA CLIATH 8,,Dublin,Catholic,N,134,102,236,312485,233948,-6.31087,53.3438,19589U
SCOIL NAOMH COLMCILLE,NEWBROOK RD,DONAGHMEDE,DUBLIN 13,Dublin,Catholic,N,84,49,133,322491,240071,-6.15832,53.3966,19611K
ST PAULS SEN NS,AYRFIELD,MALAHIDE RD,DUBLIN 13,Dublin,Catholic,N,121,112,233,320869,239856,-6.18278,53.395,19618B
ST MALACHYS NS,RIVERMOUNT,FINGLAS,DUBLIN 11,Dublin,Catholic,Y,75,60,135,313184,238235,-6.29885,53.3822,19619D
ST FIACHRAS SEN N S,BEAUMONT,MONTROSE,DUBLIN 5,Dublin,Catholic,N,312,307,619,318186,238945,-6.22344,53.3874,19628E
