COORDINATELAT,COORDINATELON,NOMESITO,INDIRIZZOIMPIANTO
43.85520427,11.08001075,AZIENDA U.S.L. N. 4 DI PRATO,VIA ROMA 427
43.878113,11.101453,IDEA TELEFONIA,PZZA SAN MARCO
43.81413564,11.01825115,PALAZZO COMUNALE - CARMIGNANO,PIAZZA GIACOMO MATTEOTTI
44.05356448,11.15600485,PALAZZO COMUNALE - VERNIO,PIAZZA DEL COMUNE
43.86666696,11.11130835,ACI PRATO - VIA FERRUCCI 195,VIA FERRUCCI 195
44.09074999,11.15438946,PROLOCO DI MONTEPIANO,VIA DELLA BADIA
44.02164768,11.0773934,CENTRO VISITE - CANTAGALLO,VIA NAPOLEONE DA CANTAGALLO
43.815827,11.057798,BIBLIOTECA - POGGIO A CAIANO,VIA LORENZO IL MAGNIFICO
43.86477352,11.10839833,TRIBUNALE DI PRATO ,PIAZZA FALCONE E BORSELLINO
43.86477452,11.10839733,TRIBUNALE DI PRATO ,PIAZZA FALCONE E BORSELLINO
43.86477552,11.10839633,TRIBUNALE DI PRATO ,PIAZZA FALCONE E BORSELLINO
43.814078,11.019303,RISTORANTE BARCO REALE,PIAZZA GIACOMO MATTEOTTI
43.880027,11.095203,BAR CAFFETTERIA DEL CORSO,VIA RINALDESCA 28
43.854121,11.060022,ACI - UFFICIO PROVINCIALE,VIA DEI FOSSI 14
43.880086,11.09691601,PALAZZO PROVINCIA SALA OVALE,VIA RICASOLI 25
43.88568,11.05345,CIRCOLO RENZO INNOCENTI - GALCIANA,VIA COSTA 62
43.898534,11.075656,CONFARTIGIANATO IMPRESE PRATO 06,VIA DINO SACCENTI 19/21
43.898534,11.075656,CONFARTIGIANATO IMPRESE PRATO 00,VIA DINO SACCENTI 19/21
43.898534,11.075656,CONFARTIGIANATO IMPRESE PRATO 01,VIA DINO SACCENTI 19/21
43.898534,11.075656,CONFARTIGIANATO IMPRESE PRATO 02,VIA DINO SACCENTI 19/21
43.898534,11.075656,CONFARTIGIANATO IMPRESE PRATO 03,VIA DINO SACCENTI 19/21
43.898534,11.075656,CONFARTIGIANATO IMPRESE PRATO 04,VIA DINO SACCENTI 19/21
43.898534,11.075656,CONFARTIGIANATO IMPRESE PRATO 05,VIA DINO SACCENTI 19/21
43.877976,11.061297,ScuolaDatini01,VIA REGGIANA 26
43.877976,11.061297,ScuolaDatini02,VIA REGGIANA 26
43.877976,11.061297,ScuolaDatini03,VIA REGGIANA 26
43.93021,11.031386,FARMACIA FORMACELLE - FARMACOM1,VIA MONTALESE 621
43.827881,11.038032,FARMACIA IL POGGETTO - FARMACOM2,VIA MONTICELLO 5
43.908595,11.028984,FARMACIA 1 OSTE - FARMACOM3,VIA SCARPETTINI 370/1
44.052467,11.15579,FARMACIA VERNIO - FARMACOM4,VIA ROMA 40
43.828143,11.016131,FARMACIA CARMIGNANO - FARMACOM5,VIA LAME 3
43.880086,11.09691601,Palazzo Provincia - jolly12,VIA RICASOLI 25
44.05519,11.17915,CCIAA_2_02 - Ag. Corte Fiorita,STRADA COMUNALE DELLA TORRICELLA IL GALLO
44.0528,11.1634,CCIAA_2_03 - Ag. Corboli,STRADA COMUNALE S. QUIRICO LA ROCCA 62
44.0099,11.1769,Az Agricola Santo Stefano,SANTO STEFANO MONTECUCCOLI
43.86816,11.10081,AbitCoop,VIA EMILIO BONI 124
43.87975,11.09621,Biblioteca Roncioniana,PIAZZA SAN FRANCESCO 27
43.88606,11.0982,Sophia SCRL,VIA MAZZONI 13
43.85068,11.1107,La Maglia SRL,VIA TRAVERSA DI MAIANO 70
43.88237,11.0672,ACCENTI SRL - CCIAA2_08,VIA GALCIANESE 107/H
43.96277,11.12774,BIBLIOTECA BASAGLIA VAIANO,VIA MAZZINI 27
43.96277,11.12774,PARCO DI CANGIONE VAIANO,VIA ALDO MORO 6
43.87169,11.0726,OBSTOCK01,VIA SAN GIUSTO 10C
43.87169,11.0726,OB STOCK 02,VIA SAN GIUSTO 10C
43.8846995,11.098517,Stazione al Serraglio,Piazza Università
43.8790819,11.0980106,Piazza delle Carceri,Piazza delle Carceri
43.884012,11.0959864,Piazza S. Agostino,Piazza Sant'Agostino
43.8777732,11.1017205,Piazza San Marco,Piazza San Marco
43.9095956,11.0882069,Parco di Galceti Villa Fiorelli,Parco di Galceti Villa Fiorelli
43.9089499,11.0873436,Parco di Galceti HS1,Galceti
43.9084667,11.0862629,Parco di Galceti HS2,Parco di Galceti HS3
43.8812481,11.1008141,Piazza Mercatale HS1,Piazza Mercatale HS2
43.8801742,11.1018069,Piazza Mercatale HS2,Piazza Mercatale HS3
43.8795015,11.1026995,Piazza Mercatale HS3,Piazza Mercatale HS4
43.8817116,11.0942875,Piazza San Domenico,Piazza San Domenico
43.8822432,11.0973993,Piazza del Duomo,Piazza del Duomo
43.8439418,11.0603118,Cascine di Tavola,Cascine di Tavola
43.8461176,11.0619422,Cascine di Tavola Parcheggio,Cascine di Tavola Parcheggio
43.8784412,11.098942,Piazza delle Carceri,Piazza delle Carceri
43.8771201,11.0898656,Officina Giovani,Officina Giovani
43.8798162,11.0931736,Rete Civica,Rete Civica
43.893056,11.090522,Biblioteca Corridoni,Biblioteca Corridoni
43.883097,11.1052381,Teatro Magnolfi,Teatro Magnolfi
43.8797437,11.099377,Teatro Metastasio,Teatro Metastasio
43.8768346,11.0985898,Biblioteca Lazzerini,Biblioteca Lazzerini
43.8805715,11.096517,Museo Palazzo Pretorio,Museo Palazzo Pretorio
43.8808556,11.0967299,Palazzo Comunale,Palazzo Comunale
43.8906758,11.0643358,Ospedale S. Stefano,Ospedale S. Stefano
