Planning_Authority,Tier,Planning_Reference,ITM_X_Coordinate,ITM_Y_Coordinate,Planning_Permission_(Units_Permitted),Units_Completed_to_Date,Units_Under_Construction,Activity_On_Site,Units_Permitted_But_Not_Commenced,Planning_Search_URL
South Dublin County Council,1,SD14A/0183,710534,727906,13,0,0,No,13,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD14A/0222,712367,726210,172,0,0,No,172,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD15A/0005,711077,729930,61,0,0,No,61,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD15A/0027,711323,729668,12,0,0,No,12,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD15A/0036,712919,728860,16,0,0,No,16,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD15A/0105,707483,734100,40,0,0,No,40,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD15A/0150,711206,725631,74,0,0,No,74,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD15A/0257,707371,733130,10,0,0,No,10,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD15A/0384,708132,727660,14,0,0,No,14,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD16A/0060,710765,729861,26,0,0,No,26,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD16A/0079,714354,727070,29,0,0,No,29,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD16A/0117,700475,728836,48,0,0,No,48,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD16A/0165,713642,729162,16,0,0,No,16,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD16A/0210,705157,727558,111,0,0,No,111,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,SD16A/0249,707163,734246,27,0,0,No,27,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,"SD03A/0857,SD06A/0434,SD05A/0582,SD03A/0857/EP,SD03A/0857/FEP",705123,727050,370,263,0,No,107,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,"SD05A/0090,SD09A/0002,SD08A/0203,SD15A/0012,SD05A/0090/EP",705938,735141,450,312,0,No,138,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,"SD09A/0016,SD10A/0041,SD09A/0318",712360,726079,122,0,0,No,122,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,"SD09A/0021,SD09A/0021/EP",708189,735243,102,0,0,No,102,http://www.sdublincoco.ie/index.aspx?pageid=144
South Dublin County Council,1,"SD11A/0189,SD13A/0268",705137,728382,60,0,0,No,60,http://www.sdublincoco.ie/index.aspx?pageid=144
