STREET NAME / ADDRESS,DATE GRANTED
BLOOMFIELD AVENUE,29-Jun-12
FRANKFORT AVENUE,29-Jun-12
DARTMOUTH SQUARE,01-Jul-12
GREENVILLE TERRACE,01-Jul-12
ROSEMOUNT ROAD,22-Jun-12
PLEASANTS STREET,27-Jun-12
NORTHBROOK ROAD,27-Jun-12
CASTLEWOOD TERRACE,23-Jun-12
SAINT COLUMBA'S ROAD LOWER,20-Jun-12
ELGIN ROAD,20-Jun-12
HOPE STREET,28-Jun-12
ADELAIDE ROAD,07-Jul-12
BARROW STREET,23-Jun-12
BATH AVENUE,23-Jun-12
SARSFIELD STREET,16-Jun-12
SARSFIELD STREET,16-Jun-12
RATHMORE VILLAS,17-Jun-12
DARTMOUTH SQUARE,15-Jun-12
HAROLD'S CROSS ROAD,21-Jun-12
SION HILL AVENUE,21-Jun-12
HOLLYBANK ROAD,21-Jun-12
GROSVENOR PLACE,21-Jun-12
NORTHBROOK ROAD,13-Jun-12
MAYFIELD ROAD,27-Jun-12
SAINT VINCENT STREET,27-Jun-12
BELGRAVE SQUARE,16-Jun-12
CASIMIR ROAD,17-Jun-12
SOUTH CIRCULAR ROAD,21-Jun-12
ARRANMORE ROAD,21-Jun-12
LANSDOWNE PARK,21-Jun-12
WIGAN ROAD,21-Jun-12
CLONSKEAGH ROAD,17-Jun-12
GREENMOUNT LANE,28-Jun-12
CLONTARF ROAD,29-Jun-12
KENILWORTH PARK,14-Jun-12
SYNGE STREET,21-Jun-12
LEESON PARK,28-Jun-12
SAINT JOHN'S ROAD,05-Jul-12
VICTORIA STREET,06-Jul-12
MOREHAMPTON ROAD,24-Jun-12
ORMOND ROAD SOUTH,29-Jun-12
ǁRD RIGH ROAD,01-Jul-12
ASHFIELD ROAD,01-Jul-12
KILLEEN ROAD,01-Jul-12
NORTH GREAT GEORGE'S STREET,04-Jul-12
NORSEMAN PLACE,04-Jul-12
WARRINGTON PLACE,04-Jul-12
BELMONT GARDENS,04-Jul-12
HOLLYBANK ROAD,20-Jun-12
MOUNT TEMPLE ROAD,20-Jun-12
MERTON DRIVE,21-Jun-12
INGRAM ROAD,30-Jun-12
SAINT JOSEPH'S PARADE,30-Jun-12
AILESBURY PARK,30-Jun-12
THOMAS DAVIS STREET WEST,06-Jul-12
CHERRYMOUNT PARK,06-Jul-12
SAINT JOHN'S ROAD,06-Jul-11
GRAND CANAL STREET LOWER,07-Jul-11
BROOKFIELD STREET,07-Jul-12
REUBEN AVENUE,01-Jul-12
KENILWORTH PARK,05-Jul-12
LENNOX PLACE,23-Jun-12
VERNON GROVE,05-Jul-12
BLACKHALL PLACE,05-Jul-11
CLONTARF ROAD,05-Jul-12
HOLLYBANK ROAD,08-Jul-11
ALBERT PLACE EAST,08-Jul-11
BOTANIC AVENUE,11-Jul-12
BOTANIC AVENUE,11-Jul-12
BOTANIC AVENUE,11-Jul-12
MANNIX ROAD,11-Jul-12
BOTANIC AVENUE,11-Jul-12
SOUTH DOCK STREET,11-Jul-11
DUFFERIN AVENUE,05-Aug-11
MADISON ROAD,05-Aug-12
WILLIAMS PARK,09-Aug-11
KENILWORTH ROAD,18-Aug-12
YORK ROAD,18-Aug-12
BARROW STREET,18-Aug-12
ANGLESEA ROAD,18-Aug-12
GROSVENOR ROAD,18-Aug-12
MANOR STREET,18-Aug-11
INCHICORE ROAD,18-Aug-11
REUBEN STREET,19-Aug-11
BELMONT AVENUE,19-Aug-12
DUNVILLE AVENUE,19-Aug-11
WESLEY ROAD,19-Aug-11
SAINT AUDEON'S TERRACE,18-Aug-12
DUFFERIN AVENUE,22-Aug-11
GARVILLE AVENUE UPPER,22-Aug-11
PRUSSIA STREET,23-Aug-12
BELMONT AVENUE,23-Aug-11
LOMBARD STREET WEST,24-Aug-12
BEECHWOOD AVENUE LOWER,24-Aug-11
ASHFIELD ROAD,08-Aug-12
ASHFIELD ROAD,08-Aug-12
PARK LANE,09-Aug-12
DOWLINGS COURT,09-Aug-12
MALACHI ROAD,09-Aug-12
MEATH SQUARE,09-Aug-11
BRIGHTON ROAD,22-Aug-12
VIKING ROAD,22-Aug-11
CRANMER LANE,22-Aug-11
LOMBARD STREET EAST,22-Aug-11
MOUNTAIN VIEW ROAD,19-Aug-12
KENILWORTH PARK,19-Aug-11
DOWLINGS COURT,19-Aug-12
PALMERSTON ROAD,24-Aug-11
MOUNTPLEASANT SQUARE,24-Aug-11
RATHGAR AVENUE,24-Aug-11
HOLLYBANK AVENUE,24-Aug-11
HOLLYBROOK ROAD,24-Aug-11
MARINE DRIVE,24-Aug-12
GARDINER PLACE,24-Aug-11
SAINT PATRICK'S ROAD,24-Aug-11
PEMBROKE STREET UPPER,24-Aug-12
HAROLD'S CROSS ROAD,24-Aug-12
LEINSTER ROAD,09-Aug-11
CARLINGFORD ROAD,09-Aug-11
PARK LANE,09-Aug-12
JOY STREET,10-Aug-11
THE CRESCENT,22-Aug-12
GORDON STREET,22-Aug-11
MANOR PLACE,22-Aug-12
CLONSKEAGH ROAD,22-Aug-11
NELSON STREET,22-Aug-11
KILMAINHAM LANE,22-Aug-11
ARGYLE ROAD,22-Aug-11
HANNAVILLE PARK,23-Aug-11
HANNAVILLE PARK,23-Aug-11
WINDSOR ROAD,23-Aug-11
NICHOLAS AVENUE,24-Aug-12
SAINT MARY'S ROAD,24-Aug-11
MUNSTER STREET,24-Aug-12
HEYTESBURY STREET,22-Aug-12
MEATH SQUARE,22-Aug-12
MEATH SQUARE,22-Aug-12
OXFORD ROAD,22-Aug-11
OAKLEY ROAD,22-Aug-12
RATHMINES ROAD UPPER,25-Aug-11
GROVE PARK,26-Aug-11
WINDSOR TERRACE,10-Aug-11
CULLENSWOOD PARK,10-Aug-12
KILLESTER AVENUE,10-Aug-12
KILLARNEY PARADE,10-Aug-11
MEATH SQUARE,10-Aug-12
SEAFORT VILLAS,10-Aug-11
,12-Aug-11
SHANDON ROAD,12-Aug-11
THE CRESCENT,25-Aug-11
CRAWFORD AVENUE,25-Aug-11
CRAWFORD AVENUE,25-Aug-11
CRAWFORD AVENUE,25-Aug-11
SANDYMOUNT AVENUE,25-Aug-12
SANDYMOUNT AVENUE,25-Aug-12
KINGSLAND PARADE,25-Aug-11
MARTIN STREET,25-Aug-12
COLLIER'S AVENUE,25-Aug-12
CASTLEWOOD PARK,25-Aug-11
PEMBROKE LANE,25-Aug-12
VERNON STREET,25-Aug-11
STAMER STREET,25-Aug-11
CULLENSWOOD PARK,25-Aug-12
AUGHRIM STREET,25-Aug-11
KINGRAM PLACE,25-Aug-11
BALLSBRIDGE AVENUE,25-Aug-11
HADDINGTON ROAD,25-Aug-11
VIKING ROAD,23-Aug-12
JOHN DILLON STREET,26-Aug-11
ELGIN ROAD,12-Aug-11
MANOR STREET,12-Aug-11
BELMONT AVENUE,23-Aug-12
HANNAVILLE PARK,23-Aug-12
HANNAVILLE PARK,23-Aug-12
DANIEL STREET,23-Aug-11
GROSVENOR ROAD,23-Aug-12
BEECHWOOD AVENUE UPPER,23-Aug-11
HADDINGTON ROAD,23-Aug-11
GREENFIELD PARK,23-Aug-12
GREENMOUNT ROAD,26-Aug-12
HADDINGTON ROAD,26-Aug-11
SAINT ALPHONSUS' ROAD LOWER,26-Aug-12
RATHDOWN PARK,15-Aug-12
WOLSELEY STREET,15-Aug-11
MURTAGH ROAD,15-Aug-11
WINTON AVENUE,15-Aug-12
BRIGHTON SQUARE,15-Aug-11
SAINT ALBAN'S ROAD,25-Aug-12
CAMAC COURT,25-Aug-11
SAINT ALPHONSUS' ROAD LOWER,26-Aug-11
CRESCENT PLACE,26-Aug-11
KILLARNEY STREET,26-Aug-11
GRATTAN PARADE,26-Aug-11
MYRTLE STREET,26-Aug-11
MARTIN STREET,26-Aug-12
MURTAGH ROAD,24-Aug-11
SALLYMOUNT AVENUE,24-Aug-11
ASHFIELD ROAD,16-Aug-12
INNISFALLEN PARADE,16-Aug-11
CONNAUGHT STREET,16-Aug-12
MARTIN STREET,16-Aug-11
SAINT JOHN'S ROAD,16-Aug-12
CHELMSFORD AVENUE,16-Aug-11
GRAND CANAL STREET UPPER,26-Jul-11
AVONDALE AVENUE,26-Jul-11
AILESBURY ROAD,21-Jul-12
WINTON AVENUE,05-Aug-11
TRITONVILLE COURT,17-Aug-12
MAIN STREET,17-Aug-11
ASHFIELD AVENUE,17-Aug-12
MORNINGTON ROAD,17-Aug-11
SAINT JOSEPH STREET,29-Jul-12
PEARSE SQUARE,29-Jul-12
MANOR STREET,29-Jul-11
LEINSTER SQUARE,29-Jul-12
ASHFIELD AVENUE,28-Jul-11
ASHDALE ROAD,28-Jul-11
DOWLINGS COURT,03-Aug-12
INCHICORE ROAD,03-Aug-11
DOWLINGS COURT,03-Aug-12
NORTH GREAT GEORGE'S STREET,25-Jul-11
MOUNTPLEASANT PARADE,25-Jul-12
KILLARNEY STREET,03-Aug-11
KILLARNEY STREET,03-Aug-11
KIRWAN STREET COTTAGES,03-Aug-12
CASIMIR ROAD,03-Aug-11
BROOKFIELD ROAD,17-Aug-11
AUBURN STREET,17-Aug-12
MANOR STREET,17-Aug-11
LENNOX STREET,17-Aug-12
LANSDOWNE PARK,26-Jul-11
MERTON AVENUE,27-Jul-11
CHELMSFORD AVENUE,27-Jul-12
SOUTH LOTTS ROAD,08-Aug-12
HAROLD'S CROSS ROAD,08-Aug-11
CARLINGFORD ROAD,08-Aug-11
VICTORIA STREET,08-Aug-11
MOUNTPLEASANT AVENUE LOWER,03-Aug-12
ANGLESEA ROAD,03-Aug-11
JOHN DILLON STREET,03-Aug-11
BELMONT PARK,04-Aug-11
CULLENSWOOD PARK,04-Aug-12
BLESSINGTON STREET,05-Aug-11
SERPENTINE ROAD,08-Aug-12
NELSON STREET,15-Aug-11
INNISFALLEN PARADE,16-Aug-11
ORMOND SQUARE,16-Aug-11
KILLARNEY STREET,16-Aug-11
FAIRVIEW AVENUE LOWER,28-Jul-11
LANSDOWNE PARK,28-Jul-11
ARRANMORE ROAD,29-Jul-12
EATON SQUARE,29-Jul-12
ULSTER STREET,29-Jul-11
PRIMROSE STREET,25-Jul-11
AUBURN AVENUE,25-Jul-12
BELVEDERE ROAD,25-Jul-12
LEINSTER ROAD,10-Aug-12
INCHICORE ROAD,10-Aug-12
EBLANA VILLAS,10-Aug-11
GROVE PARK,22-Jul-11
MAIN STREET,22-Jul-11
KILLEEN ROAD,26-Jul-11
MEATH SQUARE,08-Aug-11
PARK LANE,08-Aug-12
PARK LANE,08-Aug-11
GROSVENOR PLACE,28-Jul-11
MANNIX ROAD,28-Jul-12
NEWBRIDGE AVENUE,28-Jul-12
HADDINGTON ROAD,28-Jul-11
MOUNTPLEASANT TERRACE,28-Jul-12
ADDISON ROAD,28-Jul-11
YORK ROAD,28-Jul-12
HOLLYBROOK ROAD,28-Jul-12
MANOR PLACE,29-Jul-12
NORTH CIRCULAR ROAD,27-Jul-11
SAINT JOSEPH'S ROAD,27-Jul-11
INCHICORE ROAD,02-Aug-11
INCHICORE ROAD,02-Aug-12
INCHICORE ROAD,02-Aug-12
INCHICORE ROAD,02-Aug-11
MOUNTPLEASANT PLACE,02-Aug-11
RICHMOND STREET SOUTH,02-Aug-12
DOWLINGS COURT,04-Aug-12
BLOOMFIELD AVENUE,05-Aug-11
MOREHAMPTON TERRACE,05-Aug-12
YORK ROAD,03-Aug-11
CURZON STREET,03-Aug-11
TYRCONNELL ROAD,03-Aug-11
BEECHWOOD AVENUE UPPER,03-Aug-11
EDENVALE ROAD,04-Aug-12
WIGAN ROAD,04-Aug-11
BELMONT PARK,04-Aug-11
CLONSKEAGH ROAD,04-Aug-11
KILBRIDE ROAD,04-Aug-12
VICTORIA STREET,04-Aug-11
MOUNTPLEASANT PLACE,04-Aug-11
ASHFIELD PARK,08-Aug-12
SAINT PATRICK'S ROAD,08-Aug-11
HOLLYBANK AVENUE,08-Aug-11
MOUNT STREET UPPER,08-Aug-11
VICTORIA STREET,08-Aug-11
LEINSTER ROAD,09-Aug-12
DUFFERIN AVENUE,10-Aug-12
HAROLD'S CROSS ROAD,26-Jul-11
MANNIX ROAD,22-Jul-12
MERLYN ROAD,22-Jul-12
BLOOMFIELD AVENUE,22-Jul-11
GRANGEGORMAN LOWER,22-Jul-12
ADDISON ROAD,05-Aug-11
WESLEY ROAD,05-Aug-12
MEATH PLACE,08-Aug-12
MOUNTPLEASANT SQUARE,03-Aug-11
MOREHAMPTON ROAD,03-Aug-12
BALLSBRIDGE AVENUE,05-Aug-11
JOY STREET,05-Aug-12
AILESBURY PARK,05-Aug-12
LEINSTER ROAD,05-Aug-11
HAROLD'S CROSS COTTAGES,05-Aug-11
DOWLINGS COURT,05-Aug-11
PARK LANE,09-Aug-12
BASIN STREET LOWER,09-Aug-12
BOTANIC AVENUE,25-Jul-11
SAINT JOSEPH'S AVENUE,02-Aug-11
PRIMROSE STREET,02-Aug-11
HADDINGTON ROAD,02-Aug-11
LONG LANE,02-Aug-11
ANNA VILLA,02-Aug-11
MERLYN PARK,02-Aug-12
MARTIN STREET,09-Aug-11
BLOOMFIELD AVENUE,09-Aug-12
RATHMINES ROAD UPPER,09-Aug-11
BASIN STREET LOWER,10-Aug-12
NORSEMAN PLACE,10-Aug-11
REUBEN AVENUE,10-Aug-11
KILBRIDE ROAD,11-Aug-12
REUBEN STREET,21-Jul-11
BOTANIC AVENUE,22-Jul-12
MOUNT PLEASANT AVENUE UPPER,22-Jul-11
AUGHRIM STREET,22-Jul-11
AILESBURY ROAD,22-Jul-11
VICTORIA AVENUE,26-Jul-12
SOUTH DOCK STREET,27-Jul-11
GREENVILLE AVENUE,28-Jul-11
EMMET ROAD,28-Jul-12
MEATH STREET,27-Jul-11
BELGRAVE ROAD,27-Jul-11
BOTANIC AVENUE,29-Jul-12
CHERRYFIELD AVENUE,29-Jul-11
NELSON STREET,08-Aug-11
FITZWILLIAM SQUARE SOUTH,09-Aug-12
KENILWORTH PARK,09-Aug-11
GROSVENOR PLACE,09-Aug-11
GREENMOUNT ROAD   ,09-Aug-11
GARDINER PLACE,11-Aug-11
BERKELEY ROAD,22-Jul-11
CABRA PARK,22-Jul-11
PENROSE STREET,22-Jul-11
EGLINTON TERRACE,22-Jul-11
WILLIAMS PARK,22-Jul-11
SAINT CATHERINE'S  AVENUE,22-Jul-12
HADDINGTON ROAD,22-Jul-11
INCHICORE ROAD,28-Jul-12
RATHMINES ROAD UPPER,28-Jul-11
ANNA VILLA,28-Jul-11
CAMBRIDGE ROAD,09-Aug-12
WILLIAMS PARK,27-Jul-11
KILLARNEY STREET,04-Aug-11
SAINT ALPHONSUS' ROAD LOWER,11-Aug-11
MOUNT EDEN ROAD,11-Aug-12
BOTANIC AVENUE,11-Aug-11
MOUNTPLEASANT AVENUE LOWER,11-Aug-11
MARLBOROUGH ROAD,15-Aug-12
PARK LANE,15-Aug-12
ǁRD RIGH ROAD,15-Aug-11
GRATTAN PLACE,15-Aug-12
GORDON STREET,15-Aug-12
GORDON STREET,02-Aug-12
INCHICORE ROAD,02-Aug-12
GARVILLE AVENUE,02-Aug-11
INCHICORE ROAD,02-Aug-12
INCHICORE ROAD,02-Aug-12
DOWLINGS COURT,02-Aug-12
INCHICORE ROAD,02-Aug-12
HAROLD ROAD,28-Jul-11
KENILWORTH SQUARE,28-Jul-12
BEECHWOOD AVENUE LOWER,09-Aug-12
KENILWORTH PARK,11-Aug-12
DARTMOUTH SQUARE,11-Aug-11
HEYTESBURY LANE,11-Aug-11
SAINT VINCENT STREET,11-Aug-11
MOREHAMPTON ROAD,11-Aug-11
DOWLINGS COURT,11-Aug-11
CULLENSWOOD PARK,11-Aug-11
PENROSE STREET,11-Aug-11
BLESSINGTON STREET,12-Aug-11
INCHICORE ROAD,12-Aug-12
SUSSEX ROAD,12-Aug-12
TOWNSEND STREET,12-Aug-11
BEECHWOOD AVENUE LOWER,12-Aug-11
ǁRD RIGH ROAD,12-Aug-12
BLESSINGTON STREET,12-Aug-12
MANOR PLACE,16-Aug-12
LOMBARD STREET WEST,16-Aug-12
HEALTHFIELD ROAD,16-Aug-11
BELMONT PARK,16-Aug-12
EGLINTON ROAD,17-Aug-12
LEINSTER ROAD WEST,17-Aug-11
EMOR STREET,17-Aug-11
EMOR STREET,17-Aug-11
LEESON STREET UPPER,17-Aug-11
GARVILLE AVENUE,26-Jul-11
DARGLE ROAD,26-Jul-11
ADDISON ROAD,26-Jul-11
LINENHALL TERRACE,12-Aug-12
BASIN STREET LOWER,12-Aug-11
HILL STREET,12-Aug-11
STANHOPE STREET,12-Aug-12
ELMPARK AVENUE,12-Aug-11
VILLIERS ROAD,12-Aug-12
LONGWOOD AVENUE,15-Aug-12
INCHICORE ROAD,17-Aug-11
ARNOTT STREET,17-Aug-12
CLONSKEAGH ROAD,17-Aug-11
BRIGHTON ROAD,17-Aug-12
VILLIERS ROAD,17-Aug-11
HAROLD'S CROSS ROAD,17-Aug-11
LINENHALL STREET,16-Aug-11
SUSSEX TERRACE,16-Aug-12
SUSSEX TERRACE,16-Aug-12
BELMONT PARK,17-Aug-11
MOYNE ROAD,18-Aug-11
CRESCENT VILLAS,19-Aug-11
ADELAIDE ROAD,19-Aug-11
PARK LANE,19-Aug-11
DOWLINGS COURT,19-Aug-12
MURTAGH ROAD,19-Aug-11
MAYFIELD ROAD EAST,19-Aug-12
ADDISON ROAD,03-Aug-11
BRIGHTON SQUARE,04-Aug-11
SAINT JOSEPH'S ROAD,04-Aug-11
LEINSTER ROAD,08-Nov-11
PEMBROKE ROAD,18-Nov-11
IVAR STREET,18-Nov-11
MOREHAMPTON ROAD,18-Nov-12
SARSFIELD STREET,18-Nov-11
RICHMOND STREET SOUTH,18-Nov-11
HAROLD'S CROSS ROAD,18-Nov-12
DARTMOUTH SQUARE,18-Nov-11
PRINCE ARTHUR TERRACE,18-Nov-11
PRINCE ARTHUR TERRACE,18-Nov-11
EMMET STREET,25-Nov-11
SAINT KEVIN'S PARADE,28-Nov-12
EMORVILLE AVENUE,28-Nov-11
BLOOMFIELD AVENUE,28-Nov-11
LENNOX STREET,28-Nov-11
GROVE PARK,28-Nov-11
HEYTESBURY LANE,28-Nov-12
EFFRA ROAD,28-Nov-12
CADOGAN ROAD,28-Nov-11
CONNAUGHT STREET,29-Nov-11
RATHMINES PARK,29-Nov-11
HADDINGTON ROAD,29-Nov-11
WIGAN ROAD,23-Nov-11
SAINT ALBAN'S PARK,23-Nov-11
REGINALD STREET,23-Nov-11
REGINALD STREET,23-Nov-11
LOMBARD STREET WEST,29-Nov-11
WARRINGTON PLACE,30-Nov-11
SALLYMOUNT AVENUE,30-Nov-11
WARRINGTON PLACE,30-Nov-11
MONTPELIER HILL,01-Dec-11
GRANTHAM STREET,02-Dec-12
KENILWORTH PARK,02-Dec-11
PHIBSBOROUGH ROAD,02-Dec-11
SEAFORT AVENUE,22-Nov-11
BEECHWOOD AVENUE LOWER,23-Nov-12
PERCY PLACE,25-Nov-11
SUNBURY GARDENS,25-Nov-11
GLENGARRIFF PARADE,25-Nov-12
MARGARET PLACE,25-Nov-11
GROVE PARK,25-Nov-11
HAROLD'S CROSS COTTAGES,25-Nov-11
ELMWOOD AVENUE,25-Nov-11
MOUNT PLEASANT AVENUE UPPER,25-Nov-12
ISLAND VILLAS,25-Nov-11
HEALTHFIELD ROAD,25-Nov-12
MEATH PLACE,29-Nov-11
MEATH PLACE,29-Nov-12
WILLIAMS PARK,29-Nov-11
HAROLD'S CROSS COTTAGES,29-Nov-11
NORFOLK ROAD,14-Nov-11
GROSVENOR PLACE,14-Nov-11
HOWARD STREET,14-Nov-11
BELVEDERE ROAD,21-Nov-11
BLOOMFIELD AVENUE,29-Nov-11
GREENVILLE TERRACE,30-Nov-11
MONTPELIER HILL,02-Dec-11
BRIGHTON SQUARE,05-Dec-12
LENNOX STREET,05-Dec-11
MARTIN STREET,05-Dec-11
MACKEN STREET,05-Dec-11
HASTINGS STREET,05-Dec-12
COLLINS AVENUE EXTENSION,05-Dec-11
AUBURN STREET,05-Dec-12
ǁRD RǍ PLACE,05-Dec-11
BLESSINGTON STREET,05-Dec-12
ELMPARK AVENUE,09-Nov-11
LEINSTER ROAD WEST,09-Nov-11
MAGENNIS SQUARE,09-Nov-11
CRAWFORD AVENUE,09-Nov-11
GRANTHAM STREET,09-Nov-12
SAINT CATHERINE'S AVENUE,02-Dec-12
VICTORIA STREET,06-Dec-11
ASHFIELD PARK,06-Dec-11
SUSSEX ROAD,06-Dec-12
SAINT BRIGID'S ROAD LOWER,06-Dec-12
MORNINGTON ROAD,06-Dec-11
RICHMOND STREET SOUTH,06-Dec-11
GREENVILLE TERRACE,07-Dec-11
NOTTINGHAM STREET,07-Dec-11
CADOGAN ROAD,07-Dec-12
ENNISKERRY ROAD,01-Dec-12
PEMBROKE ROAD,01-Dec-11
NORTHBROOK AVENUE,01-Dec-11
BOTANIC AVENUE,01-Dec-11
ALMA COURT,01-Dec-11
SAINT PETER'S ROAD,01-Dec-11
AUGHRIM STREET,02-Dec-11
FORTFIELD TERRACE,05-Dec-12
FORTFIELD TERRACE,05-Dec-12
FORTFIELD TERRACE,05-Dec-12
FORTFIELD TERRACE,05-Dec-12
FORTFIELD TERRACE,05-Dec-11
FORTFIELD TERRACE,05-Dec-11
FORTFIELD TERRACE,05-Dec-11
NORFOLK ROAD,22-Nov-12
FAIRFIELD ROAD,07-Dec-12
FORTFIELD TERRACE,07-Dec-11
HOLLYBANK ROAD,07-Dec-11
EMMET STREET,07-Dec-11
SANDYMOUNT ROAD,07-Dec-11
FORTFIELD TERRACE,07-Dec-11
MOREHAMPTON ROAD,07-Dec-11
LONGWOOD AVENUE,08-Dec-11
RATHGAR AVENUE,08-Dec-11
PHIBSBOROUGH ROAD,08-Dec-11
BOTANIC AVENUE,08-Dec-11
HAROLD'S CROSS COTTAGES,08-Dec-12
KILLEEN ROAD,08-Dec-11
FORTFIELD TERRACE,05-Dec-12
FORTFIELD TERRACE,05-Dec-12
FORTFIELD TERRACE,05-Dec-12
FORTFIELD TERRACE,05-Dec-12
FORTFIELD TERRACE,05-Dec-12
FORTFIELD TERRACE,05-Dec-12
FORTFIELD TERRACE,05-Dec-12
JOHN DILLON STREET,07-Dec-11
HAROLD'S CROSS COTTAGES,07-Dec-11
DUFFERIN AVENUE,07-Dec-11
SAINT KEVIN'S PARADE,09-Dec-11
AUBURN STREET,09-Dec-12
BATH AVENUE,09-Dec-12
GERALDINE STREET,22-Nov-12
GRAY STREET,22-Nov-11
SYNGE STREET,22-Nov-11
KENILWORTH SQUARE,22-Nov-11
BELVEDERE ROAD,22-Nov-11
HENDRICK STREET,22-Nov-11
RAGLAN LANE,23-Nov-11
ONTARIO TERRACE,23-Nov-11
FITZGERALD STREET,08-Dec-11
FORTFIELD TERRACE,08-Dec-12
DARLEY STREET,08-Dec-11
DAVIS PLACE,09-Dec-11
SEAFORT VILLAS,12-Dec-11
FORTFIELD TERRACE,12-Dec-12
FORTFIELD TERRACE,12-Dec-12
NORTH CIRCULAR ROAD,12-Dec-11
FORTFIELD TERRACE,12-Dec-11
FORTFIELD TERRACE,15-Dec-12
HOLLYBANK ROAD,15-Dec-11
LEINSTER ROAD WEST,15-Dec-11
GROVE PARK,15-Dec-11
EGLINTON ROAD,13-Dec-12
LONG LANE,24-Nov-11
GROSVENOR PLACE,24-Nov-11
KIRWAN STREET COTTAGES,24-Nov-11
ANNESLEY PARK,24-Nov-12
WILFRID TERRACE,24-Nov-12
SUNBURY GARDENS,24-Nov-11
SANDYMOUNT CASTLE DRIVE,24-Nov-12
GROVE PARK,24-Nov-11
BEECHWOOD AVENUE LOWER,24-Nov-11
ANNA VILLA,24-Nov-11
LINDSAY ROAD,28-Nov-12
GROSVENOR ROAD,28-Nov-11
SAINT CLEMENT'S ROAD,28-Nov-11
THE COOMBE,12-Dec-11
ALBANY ROAD,13-Dec-11
LAD LANE,13-Dec-11
WALWORTH ROAD,13-Dec-11
WALWORTH ROAD,13-Dec-11
PEMBROKE LANE,13-Dec-12
BEECHWOOD PARK,13-Dec-11
MACKIES PLACE,13-Dec-11
REUBEN AVENUE,14-Dec-11
HUME STREET,14-Dec-12
SYNGE STREET,13-Dec-11
ANNESLEY PARK,13-Dec-12
ANNESLEY PARK,13-Dec-12
LEO STREET,13-Dec-11
VICTORIA STREET,13-Dec-11
FORTFIELD TERRACE,13-Dec-11
CASIMIR ROAD,15-Dec-11
RATHMORE VILLAS,16-Dec-12
MANOR STREET,05-Dec-11
KENILWORTH PARK,05-Dec-11
MANOR STREET,05-Dec-11
PRINCE ARTHUR TERRACE,05-Dec-11
LEINSTER ROAD,12-Dec-11
FORTFIELD TERRACE,12-Dec-12
FORTFIELD TERRACE,12-Dec-12
SOUTH CIRCULAR ROAD,13-Dec-11
MARTIN STREET,13-Dec-11
KILMAINHAM LANE,08-Dec-12
ELY PLACE UPPER,14-Dec-11
PARK DRIVE,15-Dec-12
PARK DRIVE,15-Dec-12
GOLDSMITH STREET,15-Dec-12
EMMET ROAD,16-Dec-11
SAINT ALBAN'S ROAD,16-Dec-11
SANDYMOUNT ROAD,16-Dec-12
INCHICORE ROAD,16-Dec-11
CHELMSFORD ROAD,16-Dec-11
EFFRA ROAD,16-Dec-11
PALMERSTON ROAD,30-Nov-11
TEMPLE ROAD,30-Nov-12
DARTMOUTH ROAD,30-Nov-12
DAVIS PLACE,30-Nov-11
RATHMINES ROAD UPPER,16-Dec-11
MALACHI ROAD,14-Dec-11
FORTFIELD TERRACE,14-Dec-12
FORTFIELD TERRACE,14-Dec-12
WARREN STREET,14-Dec-11
YORK ROAD,14-Dec-11
FORTFIELD TERRACE,14-Dec-11
FORTFIELD TERRACE,14-Dec-11
LEESON PARK,14-Dec-12
SYDNEY PARADE AVENUE,14-Dec-12
FORTFIELD TERRACE,14-Dec-11
MARTIN STREET,14-Dec-11
RICHMOND ROW,15-Dec-11
WINDSOR ROAD,14-Nov-11
MERTON DRIVE,14-Nov-12
DORIS STREET,14-Nov-11
SYNGE STREET,18-Nov-11
WINDSOR ROAD,18-Nov-12
ESTATE AVENUE,18-Nov-12
CLAUDE ROAD,17-Nov-11
DARTMOUTH SQUARE,17-Nov-11
FAIRFIELD ROAD,17-Nov-12
HANNAVILLE PARK,17-Nov-11
BOTANIC AVENUE,17-Nov-11
CRANMER LANE,17-Nov-11
BOTANIC AVENUE,17-Nov-11
PRINCE ARTHUR TERRACE,17-Nov-12
ANNESLEY PARK,17-Nov-11
PALMERSTON ROAD,15-Nov-11
EFFRA ROAD,15-Nov-11
SAINT JOHN'S ROAD,15-Nov-11
NORFOLK ROAD,12-Dec-11
VICTORIA STREET,12-Dec-11
BELGRAVE ROAD,12-Dec-11
DRUMMOND PLACE,14-Dec-11
MAYFIELD ROAD,14-Dec-12
FRANKFORT AVENUE,14-Dec-11
THOMAS DAVIS STREET SOUTH,08-Nov-11
ARDEE ROAD,08-Nov-11
DORIS STREET,09-Nov-11
KILBRIDE ROAD,09-Nov-11
CLONTARF ROAD,09-Nov-12
MURTAGH ROAD,09-Nov-12
SOUTH CIRCULAR ROAD,09-Nov-11
BELGRAVE SQUARE,09-Nov-11
NORTHBROOK AVENUE LOWER,09-Nov-11
TYRCONNELL ROAD,09-Nov-12
ELMPARK AVENUE,09-Nov-11
FAIRFIELD PARK,09-Nov-11
CABRA PARK,09-Nov-11
DUFFERIN AVENUE,09-Nov-11
CABRA PARK,09-Nov-11
SOUTH CIRCULAR ROAD,11-Nov-11
SERPENTINE TERRACE,11-Nov-11
MOUNTPLEASANT AVENUE LOWER,11-Nov-11
RATHMINES ROAD UPPER,11-Nov-11
CURZON STREET,11-Nov-12
FLEMING'S PLACE,17-Nov-11
CHURCH AVENUE,17-Nov-11
